,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2022-08-06,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Chelsea,Y,CB,17,0,0,0,0,0,0,0,0,6.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,4.0,0.0,0.0,0.0,/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,0.0,0.5,0.4583333333333333
1,1,1,1,1,1,2022-12-26,Mon,Premier League,Matchweek 17,Home,L 1–2,Everton,Wolves,N,CB,15,0,0,0,0,1,0,0,0,21.0,0.0,0,0.0,0.5,0.5,0.0,0.0,0.0,18.0,19.0,94.7,0.0,15.0,0.0,0.0,0.0,/en/matches/ef424180/Everton-Wolverhampton-Wanderers-December-26-2022-Premier-League,0.0,0.5,0.59375
2,2,2,2,2,2,2022-12-31,Sat,Premier League,Matchweek 18,Away,D 1–1,Everton,Manchester City,Y,CB,89,0,0,0,0,0,0,0,0,38.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,25.0,29.0,86.2,3.0,27.0,0.0,2.0,1.0,/en/matches/bcfb66ff/Manchester-City-Everton-December-31-2022-Premier-League,0.5,0.5,0.7261904761904762
3,3,3,3,3,3,2023-01-06,Fri,FA Cup,Third round proper,Away,L 1–3,Everton,Manchester Utd,Y,CB,90,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/a93b3510/Manchester-United-Everton-January-6-2023-FA-Cup,0.0,0.1666666666666666,0.5
4,4,4,4,4,4,2023-01-14,Sat,Premier League,Matchweek 20,Home,L 1–2,Everton,Southampton,Y,CB,90,0,0,0,0,2,0,0,0,44.0,3.0,1,2.0,0.5,0.5,0.1,1.0,0.0,22.0,34.0,64.7,2.0,15.0,0.0,0.0,0.0,/en/matches/11603f7f/Everton-Southampton-January-14-2023-Premier-League,0.0,0.1666666666666666,0.5
5,5,5,5,5,5,2023-03-01,Wed,Premier League,Matchweek 7,Away,L 0–4,Everton,Arsenal,N,RB,30,0,0,0,0,0,0,1,0,11.0,0.0,0,1.0,0.0,0.0,0.1,1.0,0.0,3.0,6.0,50.0,0.0,4.0,1.0,0.0,0.0,/en/matches/705a2f3c/Arsenal-Everton-March-1-2023-Premier-League,0.0,0.1666666666666666,0.5
6,6,6,6,6,6,2023-03-05,Sun,Premier League,Matchweek 26,Away,D 2–2,Everton,Nott'ham Forest,Y,LB,90,0,0,0,0,0,0,1,0,56.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,38.0,44.7,1.0,16.0,2.0,0.0,0.0,/en/matches/ec770341/Nottingham-Forest-Everton-March-5-2023-Premier-League,0.5,0.0,0.5
7,7,7,7,7,7,2023-03-11,Sat,Premier League,Matchweek 27,Home,W 1–0,Everton,Brentford,Y,"LB,CB",90,0,0,0,0,0,0,0,0,35.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,50.0,0.0,14.0,1.0,1.0,0.0,/en/matches/980f57d4/Everton-Brentford-March-11-2023-Premier-League,1.0,0.1666666666666666,0.5
8,8,8,8,8,8,2023-03-18,Sat,Premier League,Matchweek 28,Away,D 2–2,Everton,Chelsea,Y,"LB,RB",90,0,0,0,0,1,0,0,0,38.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,52.0,1.0,6.0,0.0,0.0,0.0,/en/matches/9453dba7/Chelsea-Everton-March-18-2023-Premier-League,0.5,0.5,0.5
9,9,9,9,9,9,2023-04-03,Mon,Premier League,Matchweek 29,Home,D 1–1,Everton,Tottenham,Y,"LB,RB",90,0,1,0,0,1,0,0,0,54.0,3.0,1,1.0,0.1,0.1,0.0,1.0,1.0,30.0,39.0,76.9,3.0,30.0,1.0,3.0,1.0,/en/matches/c00d9a22/Everton-Tottenham-Hotspur-April-3-2023-Premier-League,0.5,0.6666666666666666,0.5
10,10,10,10,10,10,2023-04-08,Sat,Premier League,Matchweek 30,Away,L 0–2,Everton,Manchester Utd,Y,LB,45,0,0,0,0,0,0,0,0,14.0,3.0,0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,1.0,6.0,2.0,0.0,0.0,/en/matches/e217ed2c/Manchester-United-Everton-April-8-2023-Premier-League,0.0,0.6666666666666666,0.5
11,11,11,11,11,11,2023-04-15,Sat,Premier League,Matchweek 31,Home,L 1–3,Everton,Fulham,Y,RB,57,0,0,0,0,1,0,0,0,29.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,13.0,23.0,56.5,3.0,13.0,0.0,0.0,0.0,/en/matches/ecae749b/Everton-Fulham-April-15-2023-Premier-League,0.0,0.3333333333333333,0.5
12,12,12,12,12,12,2023-04-22,Sat,Premier League,Matchweek 32,Away,D 0–0,Everton,Crystal Palace,N,RB,9,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,/en/matches/25f6dcd1/Crystal-Palace-Everton-April-22-2023-Premier-League,0.5,0.1666666666666666,0.5
13,13,13,13,13,13,2023-04-27,Thu,Premier League,Matchweek 33,Home,L 1–4,Everton,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,0,0,36.0,1.0,1,1.0,0.0,0.0,0.0,1.0,1.0,16.0,24.0,66.7,5.0,11.0,2.0,2.0,1.0,/en/matches/37a741a7/Everton-Newcastle-United-April-27-2023-Premier-League,0.0,0.1666666666666666,0.5
