,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-03,Sat,UEFA Euro,Quarter-finals,Home,L 0–4,ua Ukraine,eng England,Y,"LM,CM",90,0,0,0,0,1.0,0.0,0,0,58.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,46.0,54.0,85.2,4.0,22.0,0.0,0.0,0.0,/en/matches/8589d5c5/Ukraine-England-July-3-2021-UEFA-Euro,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-15,Sun,Premier League,Matchweek 1,Away,L 0–1,Manchester City,Tottenham,N,LB,12,0,0,0,0,0.0,0.0,0,0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,70.6,3.0,8.0,2.0,0.0,0.0,/en/matches/ff51efc7/Tottenham-Hotspur-Manchester-City-August-15-2021-Premier-League,0.0,0.5,0.5357142857142857
2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Home,W 5–0,Manchester City,Arsenal,N,LB,45,0,0,0,0,1.0,0.0,0,0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,41.0,90.2,1.0,28.0,0.0,0.0,0.0,/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League,1.0,0.5,0.4761904761904761
3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-01,Wed,WCQ,First round,Away,D 2–2,ua Ukraine,kz Kazakhstan,Y,CM,90,0,0,0,0,1.0,0.0,1,0,,,3.0,,,,,,,,,,,,,,,/en/matches/cd1f5f1c/Kazakhstan-Ukraine-September-1-2021-WCQ----UEFA-M,0.5,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-08,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,ua Ukraine,cz Czech Republic,Y,CM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/1ead5830/Czech-Republic-Ukraine-September-8-2021-Friendlies-M,0.5,0.5,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-15,Wed,Champions Lg,Group stage,Home,W 6–3,eng Manchester City,de RB Leipzig,Y,LB,90,0,0,0,0,0.0,0.0,1,0,49.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,44.0,79.5,3.0,26.0,0.0,0.0,0.0,/en/matches/c188c958/Manchester-City-RB-Leipzig-September-15-2021-Champions-League,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-27,Wed,EFL Cup,Fourth round,Away,D 0 (3)–0 (5),Manchester City,West Ham,Y,LB,120,0,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/4cc7cf93/West-Ham-United-Manchester-City-October-27-2021-EFL-Cup,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,2021-11-03,Wed,Champions Lg,Group stage,Home,W 4–1,eng Manchester City,be Club Brugge,N,LB,11,0,0,0,0,0.0,0.0,0,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,15.0,86.7,2.0,8.0,1.0,0.0,0.0,/en/matches/7e276b93/Manchester-City-Club-Brugge-November-3-2021-Champions-League,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,2021-11-11,Thu,Friendlies (M),Friendlies (M),Home,D 1–1,ua Ukraine,bg Bulgaria,Y,LM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/7d3f54ed/Ukraine-Bulgaria-November-11-2021-Friendlies-M,0.5,0.8333333333333334,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,2021-11-16,Tue,WCQ,First round,Away,W 2–0,ua Ukraine,ba Bosnia & Herz'na,Y,CM,90,1,0,0,0,3.0,2.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/d084b2ed/Bosnia-and-Herzegovina-Ukraine-November-16-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,2021-11-24,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester City,fr Paris S-G,Y,LM,53,0,0,0,0,2.0,0.0,0,0,26.0,0.0,0.0,1.0,0.2,0.2,0.1,3.0,0.0,21.0,23.0,91.3,3.0,18.0,3.0,0.0,0.0,/en/matches/52e983e7/Manchester-City-Paris-Saint-Germain-November-24-2021-Champions-League,1.0,0.8333333333333334,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,2021-12-01,Wed,Premier League,Matchweek 14,Away,W 2–1,Manchester City,Aston Villa,Y,LB,90,0,0,0,0,2.0,1.0,0,0,97.0,3.0,0.0,1.0,0.1,0.1,0.0,5.0,1.0,85.0,90.0,94.4,9.0,73.0,4.0,1.0,1.0,/en/matches/1993b7ec/Aston-Villa-Manchester-City-December-1-2021-Premier-League,1.0,0.8333333333333334,0.7023809523809524
12,12,12,12,12,12,12,12,12,12,12,12,12,2021-12-07,Tue,Champions Lg,Group stage,Away,L 1–2,eng Manchester City,de RB Leipzig,Y,LB,90,0,1,0,0,0.0,0.0,0,0,84.0,1.0,2.0,0.0,0.0,0.0,0.3,5.0,1.0,68.0,79.0,86.1,9.0,49.0,6.0,1.0,0.0,/en/matches/cccff79c/RB-Leipzig-Manchester-City-December-7-2021-Champions-League,0.0,1.0,0.5
