,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2021-09-11,Sat,PL2 — Div. 1,Matchweek 4,Away,L 1–3,Manchester Utd,Arsenal,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/498201e3/Arsenal-U23-Manchester-United-U23-September-11-2021-Premier-League-2----Division-1,0.0,0.5
1,1,2021-09-18,Sat,PL2 — Div. 1,Matchweek 5,Home,W 2–1,Manchester Utd,Brighton,Y,DM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/eeae01ba/Manchester-United-U23-Brighton-and-Hove-Albion-U23-September-18-2021-Premier-League-2----Division-1,1.0,0.5
2,2,2021-10-16,Sat,PL2 — Div. 1,Matchweek 8,Home,W 3–0,Manchester Utd,Blackburn,Y,CB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b01b5422/Manchester-United-U23-Blackburn-Rovers-U23-October-16-2021-Premier-League-2----Division-1,1.0,0.5
3,3,2022-01-03,Mon,Premier League,Matchweek 21,Home,L 0–1,Manchester Utd,Wolves,Y,CB,90,0,0,0,0,0.0,0.0,0,0,59.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,45.0,50.0,90.0,1.0,33.0,0.0,1.0,1.0,/en/matches/8e966b52/Manchester-United-Wolverhampton-Wanderers-January-3-2022-Premier-League,0.0,0.6666666666666666
4,4,2022-02-04,Fri,FA Cup,Fourth round proper,Home,D 1 (7)–1 (8),Manchester Utd,Middlesbrough,N,,30,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/77616e9d/Manchester-United-Middlesbrough-February-4-2022-FA-Cup,0.5,0.6666666666666666
5,5,2022-04-19,Tue,Premier League,Matchweek 30,Away,L 0–4,Manchester Utd,Liverpool,Y,CB,45,0,0,0,0,0.0,0.0,0,0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,82.4,1.0,15.0,1.0,0.0,0.0,/en/matches/09f1bef7/North-West-Derby-Liverpool-Manchester-United-April-19-2022-Premier-League,0.0,0.5
6,6,2022-04-28,Thu,Premier League,Matchweek 37,Home,D 1–1,Manchester Utd,Chelsea,N,CB,12,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,/en/matches/39f0deaa/Manchester-United-Chelsea-April-28-2022-Premier-League,0.5,0.16666666666666666
7,7,2022-05-02,Mon,Premier League,Matchweek 35,Home,W 3–0,Manchester Utd,Brentford,N,CB,16,0,0,0,0,0.0,0.0,0,0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,8.0,0.0,0.0,0.0,/en/matches/c9b4c96a/Manchester-United-Brentford-May-2-2022-Premier-League,1.0,0.3333333333333333
