,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-03,Sat,UEFA Euro,Quarter-finals,Away,W 4–0,eng England,ua Ukraine,Y,CB,90,0,0,0,0,0,0,0,0,102.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,98.0,94.9,4.0,74.0,0.0,1.0,1.0,/en/matches/8589d5c5/Ukraine-England-July-3-2021-UEFA-Euro,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-07-07,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,CB,120,0,0,0,0,2,0,0,0,88.0,0.0,0,1.0,0.1,0.1,0.0,3.0,0.0,75.0,81.0,92.6,2.0,61.0,0.0,0.0,0.0,/en/matches/3c9e014a/England-Denmark-July-7-2021-UEFA-Euro,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-07-11,Sun,UEFA Euro,Final,Neutral,D 1 (2)–1 (3),eng England,it Italy,Y,CB,120,0,0,0,0,1,1,0,0,62.0,0.0,1,2.0,0.1,0.1,0.0,0.0,0.0,46.0,53.0,86.8,2.0,42.0,0.0,0.0,0.0,/en/matches/56228480/Italy-England-July-11-2021-UEFA-Euro,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-02,Thu,WCQ,First round,Away,W 4–0,eng England,hu Hungary,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7612db0b/Hungary-England-September-2-2021-WCQ----UEFA-M,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-08,Wed,WCQ,First round,Away,D 1–1,eng England,pl Poland,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/d13f36b8/Poland-England-September-8-2021-WCQ----UEFA-M,0.5,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-09,Sat,WCQ,First round,Away,W 5–0,eng England,ad Andorra,Y,CB,59,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/aaa2a351/Andorra-England-October-9-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-12,Tue,WCQ,First round,Home,D 1–1,eng England,hu Hungary,Y,CB,90,1,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/ff6936ad/England-Hungary-October-12-2021-WCQ----UEFA-M,0.5,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-16,Sat,Premier League,Matchweek 8,Home,W 2–0,Manchester City,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,62.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,59.0,89.8,3.0,34.0,1.0,0.0,0.0,/en/matches/55778d0d/Manchester-City-Burnley-October-16-2021-Premier-League,1.0,0.6666666666666666,0.5476190476190477
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-27,Wed,EFL Cup,Fourth round,Away,D 0 (3)–0 (5),Manchester City,West Ham,Y,CB,120,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/4cc7cf93/West-Ham-United-Manchester-City-October-27-2021-EFL-Cup,0.5,0.8333333333333334,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–2,Manchester City,Crystal Palace,N,CB,32,0,0,0,0,0,0,0,0,31.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,22.0,28.0,78.6,0.0,18.0,3.0,0.0,0.0,/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League,0.0,0.6666666666666666,0.5714285714285714
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-11-03,Wed,Champions Lg,Group stage,Home,W 4–1,eng Manchester City,be Club Brugge,Y,CB,90,0,0,0,0,2,1,0,0,104.0,0.0,2,1.0,0.5,0.5,0.0,1.0,0.0,91.0,96.0,94.8,4.0,77.0,1.0,0.0,0.0,/en/matches/7e276b93/Manchester-City-Club-Brugge-November-3-2021-Champions-League,1.0,0.5,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-11-06,Sat,Premier League,Matchweek 11,Away,W 2–0,Manchester City,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,72.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,61.0,69.0,88.4,3.0,51.0,2.0,0.0,0.0,/en/matches/5fa5be28/Manchester-Derby-Manchester-United-Manchester-City-November-6-2021-Premier-League,1.0,0.5,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-11-12,Fri,WCQ,First round,Home,W 5–0,eng England,al Albania,Y,CB,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/a7100028/England-Albania-November-12-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-11-15,Mon,WCQ,First round,Away,W 10–0,eng England,sm San Marino,N,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/4a3eae2f/San-Marino-England-November-15-2021-WCQ----UEFA-M,1.0,1.0,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-11-21,Sun,Premier League,Matchweek 12,Home,W 3–0,Manchester City,Everton,Y,CB,90,0,0,0,0,0,0,0,0,117.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,107.0,113.0,94.7,9.0,81.0,4.0,1.0,1.0,/en/matches/bfbe7402/Manchester-City-Everton-November-21-2021-Premier-League,1.0,1.0,0.2976190476190475
15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-11-24,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester City,fr Paris S-G,Y,CB,90,0,0,0,0,0,0,0,0,43.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,41.0,97.6,2.0,32.0,0.0,1.0,0.0,/en/matches/52e983e7/Manchester-City-Paris-Saint-Germain-November-24-2021-Champions-League,1.0,1.0,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-12-07,Tue,Champions Lg,Group stage,Away,L 1–2,eng Manchester City,de RB Leipzig,Y,CB,90,0,0,0,0,0,0,1,0,76.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,96.1,6.0,66.0,1.0,0.0,0.0,/en/matches/cccff79c/RB-Leipzig-Manchester-City-December-7-2021-Champions-League,0.0,1.0,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,2021-12-14,Tue,Premier League,Matchweek 17,Home,W 7–0,Manchester City,Leeds United,Y,RB,90,1,0,0,0,2,2,0,0,36.0,1.0,2,0.0,0.3,0.3,0.0,2.0,1.0,24.0,27.0,88.9,2.0,16.0,1.0,1.0,0.0,/en/matches/5730a84c/Manchester-City-Leeds-United-December-14-2021-Premier-League,1.0,0.6666666666666666,0.3928571428571428
