,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2022-10-19,Wed,Premier League,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,N,LW,8,0,0,0,0,0,0,0,0,10.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,4.0,0.0,2.0,1.0,/en/matches/8a2bb3b6/Bournemouth-Southampton-October-19-2022-Premier-League,0.0,0.5,0.2395833333333332
1,1,1,1,1,1,1,1,2022-11-08,Tue,EFL Cup,Third round,Home,W 4–1,Bournemouth,Everton,N,,16,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/9900f678/Bournemouth-Everton-November-8-2022-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2022-12-20,Tue,EFL Cup,Fourth round,Away,L 0–1,Bournemouth,Newcastle Utd,N,,14,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/010f09cf/Newcastle-United-Bournemouth-December-20-2022-EFL-Cup,0.0,0.5,0.5
3,3,3,3,3,3,3,3,2022-12-27,Tue,Premier League,Matchweek 17,Away,L 0–2,Bournemouth,Chelsea,N,FW,6,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,4.0,6.0,66.7,1.0,6.0,2.0,2.0,1.0,/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,0.0,0.3333333333333333,0.4333333333333333
4,4,4,4,4,4,4,4,2022-12-31,Sat,Premier League,Matchweek 18,Home,L 0–2,Bournemouth,Crystal Palace,N,"RW,LM",53,0,0,0,0,1,1,0,0,30.0,1.0,0,1.0,0.1,0.1,0.2,3.0,0.0,16.0,22.0,72.7,2.0,16.0,0.0,3.0,2.0,/en/matches/dab2ed3a/Bournemouth-Crystal-Palace-December-31-2022-Premier-League,0.0,0.3333333333333333,0.2261904761904761
5,5,5,5,5,5,5,5,2023-01-03,Tue,Premier League,Matchweek 19,Away,L 0–3,Bournemouth,Manchester Utd,N,RM,15,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,1.0,8.0,1.0,1.0,1.0,/en/matches/63fc7f12/Manchester-United-Bournemouth-January-3-2023-Premier-League,0.0,0.0,0.5
6,6,6,6,6,6,6,6,2023-01-07,Sat,FA Cup,Third round proper,Home,L 2–4,Bournemouth,Burnley,N,,22,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/749e1bf9/Bournemouth-Burnley-January-7-2023-FA-Cup,0.0,0.0,0.5
7,7,7,7,7,7,7,7,2023-01-14,Sat,Premier League,Matchweek 20,Away,L 0–2,Bournemouth,Brentford,N,"WB,LM",25,0,0,0,0,1,1,0,0,10.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,7.0,8.0,87.5,0.0,10.0,2.0,2.0,1.0,/en/matches/3f992264/Brentford-Bournemouth-January-14-2023-Premier-League,0.0,0.0,0.5
8,8,8,8,8,8,8,8,2023-01-21,Sat,Premier League,Matchweek 21,Home,D 1–1,Bournemouth,Nott'ham Forest,N,FW,3,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,/en/matches/38c715b4/Bournemouth-Nottingham-Forest-January-21-2023-Premier-League,0.5,0.0,0.5
9,9,9,9,9,9,9,9,2023-02-05,Sun,Ligue 1,Matchweek 22,Home,D 0–0,Auxerre,Reims,N,"LW,FW",12,0,0,0,0,0,0,0,0,10.0,1.0,0,0.0,0.0,0.0,0.2,1.0,0.0,5.0,6.0,83.3,0.0,6.0,1.0,1.0,0.0,/en/matches/384b2fcb/Auxerre-Reims-February-5-2023-Ligue-1,0.5,0.1666666666666666,0.5
10,10,10,10,10,10,10,10,2023-02-17,Fri,Ligue 1,Matchweek 24,Home,W 2–1,Auxerre,Lyon,N,AM,22,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,3.0,4.0,75.0,2.0,10.0,2.0,5.0,4.0,/en/matches/ab3c5cc9/Auxerre-Lyon-February-17-2023-Ligue-1,1.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,2023-02-26,Sun,Ligue 1,Matchweek 25,Away,W 1–0,Auxerre,Lorient,Y,AM,66,0,0,0,0,1,0,1,0,24.0,0.0,1,0.0,0.1,0.1,0.2,2.0,0.0,15.0,17.0,88.2,2.0,26.0,2.0,4.0,3.0,/en/matches/f9f72ca1/Lorient-Auxerre-February-26-2023-Ligue-1,1.0,0.6666666666666666,0.5
12,12,12,12,12,12,12,12,2023-03-03,Fri,Ligue 1,Matchweek 26,Away,D 1–1,Auxerre,Nice,Y,AM,62,0,0,0,0,1,0,0,0,20.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,14.0,85.7,0.0,17.0,0.0,7.0,5.0,/en/matches/ab7003b3/Nice-Auxerre-March-3-2023-Ligue-1,0.5,0.8333333333333334,0.5
13,13,13,13,13,13,13,13,2023-03-11,Sat,Ligue 1,Matchweek 27,Home,D 0–0,Auxerre,Rennes,N,LM,17,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,4.0,0.0,1.0,0.0,/en/matches/edf3e1c0/Auxerre-Rennes-March-11-2023-Ligue-1,0.5,0.8333333333333334,0.5
