,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,2021-08-28,Sat,Premier League,Matchweek 3,Home,L 0–2,Brighton,Everton,N,FW,32,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,5.0,0.0,2.0,0.0,/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,0.0,0.5,0.6666666666666666
1,1,1,1,1,1,1,1,1,1,1,1,2021-09-11,Sat,Premier League,Matchweek 4,Away,W 1–0,Brighton,Brentford,Y,FW,63,0,0,0,0,1,1,0,0,19.0,1.0,0,1.0,0.2,0.2,0.0,0.0,0.0,8.0,12.0,66.7,1.0,11.0,1.0,2.0,1.0,/en/matches/19a03697/Brentford-Brighton-and-Hove-Albion-September-11-2021-Premier-League,1.0,0.5,0.6666666666666666
2,2,2,2,2,2,2,2,2,2,2,2,2021-09-19,Sun,Premier League,Matchweek 5,Home,W 2–1,Brighton,Leicester City,Y,LM,69,1,0,0,0,2,2,0,0,20.0,0.0,1,1.0,0.1,0.1,0.1,2.0,0.0,9.0,11.0,81.8,0.0,11.0,0.0,1.0,1.0,/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League,1.0,0.5,0.4880952380952381
3,3,3,3,3,3,3,3,3,3,3,3,2021-09-27,Mon,Premier League,Matchweek 6,Away,D 1–1,Brighton,Crystal Palace,Y,"LW,FW",75,0,0,0,0,1,1,0,0,19.0,1.0,0,1.0,0.3,0.3,0.0,0.0,0.0,13.0,14.0,92.9,1.0,12.0,3.0,1.0,1.0,/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League,0.5,0.6666666666666666,0.5357142857142857
4,4,4,4,4,4,4,4,4,4,4,4,2021-12-26,Sun,Premier League,Matchweek 19,Home,W 2–0,Brighton,Brentford,N,FW,45,0,0,0,0,1,1,0,0,24.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,13.0,92.3,1.0,11.0,1.0,2.0,1.0,/en/matches/1f64133b/Brighton-and-Hove-Albion-Brentford-December-26-2021-Premier-League,1.0,0.8333333333333334,0.4523809523809524
5,5,5,5,5,5,5,5,5,5,5,5,2021-12-29,Wed,Premier League,Matchweek 20,Away,D 1–1,Brighton,Chelsea,N,AM,11,1,0,0,0,1,1,0,0,6.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,1.0,0.0,/en/matches/8fbe2e12/Chelsea-Brighton-and-Hove-Albion-December-29-2021-Premier-League,0.5,0.8333333333333334,0.7976190476190477
6,6,6,6,6,6,6,6,6,6,6,6,2022-01-08,Sat,FA Cup,Third round proper,Away,W 2–1,Brighton,West Brom,Y,FW,55,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/0e723845/West-Bromwich-Albion-Brighton-and-Hove-Albion-January-8-2022-FA-Cup,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,2022-01-14,Fri,Premier League,Matchweek 22,Home,D 1–1,Brighton,Crystal Palace,N,FW,18,0,0,0,0,1,0,0,0,6.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,/en/matches/96630936/Brighton-and-Hove-Albion-Crystal-Palace-January-14-2022-Premier-League,0.5,0.8333333333333334,0.5
8,8,8,8,8,8,8,8,8,8,8,8,2022-01-18,Tue,Premier League,Matchweek 24,Home,D 1–1,Brighton,Chelsea,Y,LM,61,0,0,0,0,3,0,0,0,22.0,1.0,0,0.0,0.2,0.2,0.1,2.0,0.0,9.0,11.0,81.8,1.0,11.0,1.0,1.0,0.0,/en/matches/b4c9c369/Brighton-and-Hove-Albion-Chelsea-January-18-2022-Premier-League,0.5,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,2022-01-23,Sun,Premier League,Matchweek 23,Away,D 1–1,Brighton,Leicester City,N,"DM,FW",29,1,0,0,0,2,2,0,0,12.0,0.0,0,1.0,0.3,0.3,0.0,3.0,0.0,6.0,9.0,66.7,1.0,11.0,0.0,0.0,0.0,/en/matches/a28f6f69/Leicester-City-Brighton-and-Hove-Albion-January-23-2022-Premier-League,0.5,0.6666666666666666,0.5
