,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2022-08-24,Wed,EFL Cup,Second round,Away,W 2–1,Newcastle Utd,Tranmere Rovers,Y*,CB,69.0,1,0,0,0,2,1,0,0,,,2,,,,,,,,,,,,,,,/en/matches/8aadb0e6/Tranmere-Rovers-Newcastle-United-August-24-2022-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,2022-08-31,Wed,Premier League,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,Y*,CB,90.0,0,0,0,0,0,0,1,0,22.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,0.0,10.0,0.0,0.0,0.0,/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2022-10-01,Sat,Premier League,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,N,CB,8.0,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,0.0,7.0,0.0,0.0,0.0,/en/matches/dcde1172/Fulham-Newcastle-United-October-1-2022-Premier-League,1.0,0.5,0.5222222222222223
3,3,3,3,3,3,3,2022-10-16,Sun,Premier League,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,N,CB,1.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/matches/e0b9c72c/Manchester-United-Newcastle-United-October-16-2022-Premier-League,0.5,0.6666666666666666,0.9166666666666666
4,4,4,4,4,4,4,2022-10-29,Sat,Premier League,Matchweek 14,Home,W 4–0,Newcastle Utd,Aston Villa,N,CB,8.0,0,0,0,0,1,0,0,0,6.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,4.0,5.0,80.0,1.0,4.0,0.0,0.0,0.0,/en/matches/96f5ee84/Newcastle-United-Aston-Villa-October-29-2022-Premier-League,1.0,0.5,0.34375
5,5,5,5,5,5,5,2022-11-09,Wed,EFL Cup,Third round,Home,D 0 (3)–0 (2),Newcastle Utd,Crystal Palace,Y*,CB,120.0,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/7a475622/Newcastle-United-Crystal-Palace-November-9-2022-EFL-Cup,0.5,0.8333333333333334,0.5
6,6,6,6,6,6,6,2022-11-12,Sat,Premier League,Matchweek 16,Home,W 1–0,Newcastle Utd,Chelsea,N,,,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League,1.0,0.6666666666666666,0.33333333333333326
7,7,7,7,7,7,7,2023-01-03,Tue,Premier League,Matchweek 19,Away,D 0–0,Newcastle Utd,Arsenal,N,,,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/ceebd643/Arsenal-Newcastle-United-January-3-2023-Premier-League,0.5,0.8333333333333334,0.5
8,8,8,8,8,8,8,2023-01-07,Sat,FA Cup,Third round proper,Away,L 1–2,Newcastle Utd,Sheffield Weds,Y*,CB,90.0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/b7923c49/Sheffield-Wednesday-Newcastle-United-January-7-2023-FA-Cup,0.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,2023-01-31,Tue,EFL Cup,Semi-finals,Home,W 2–1,Newcastle Utd,Southampton,N,,1.0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/42c76654/Newcastle-United-Southampton-January-31-2023-EFL-Cup,1.0,0.5,0.5
10,10,10,10,10,10,10,2023-03-04,Sat,Premier League,Matchweek 26,Away,L 0–2,Newcastle Utd,Manchester City,Y*,CB,90.0,0,0,0,0,0,0,1,0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,53.0,83.0,2.0,31.0,0.0,0.0,0.0,/en/matches/b33bcb97/Manchester-City-Newcastle-United-March-4-2023-Premier-League,0.0,0.5,0.5
11,11,11,11,11,11,11,2023-04-08,Sat,Premier League,Matchweek 30,Away,W 2–1,Newcastle Utd,Brentford,N,"CB,FW",4.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/a5e78e89/Brentford-Newcastle-United-April-8-2023-Premier-League,1.0,0.3333333333333333,0.5
12,12,12,12,12,12,12,2023-04-23,Sun,Premier League,Matchweek 32,Home,W 6–1,Newcastle Utd,Tottenham,N,CB,17.0,0,0,0,0,1,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,14.0,100.0,0.0,12.0,0.0,0.0,0.0,/en/matches/dff22d13/Newcastle-United-Tottenham-Hotspur-April-23-2023-Premier-League,1.0,0.6666666666666666,0.5
