,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,2020-09-19,Sat,Premier League,Matchweek 2,Home,L 1–3,Manchester Utd,Crystal Palace,Y,RB,80,0,0,0,0,1,0,1,0,84.0,2.0,3,0.0,0.0,0.0,0.3,5.0,0.0,64.0,74.0,86.5,5.0,45.0,2.0,2.0,2.0,/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League,0.0,0.5,0.5
1,1,1,2020-11-04,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,tr Başakşehir,N,"CB,RB",15,0,0,0,0,0,0,0,0,17.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,0.0,10.0,0.0,0.0,0.0,/en/matches/4efb3cb4/Istanbul-Basaksehir-Manchester-United-November-4-2020-Champions-League,0.0,0.5,0.5
2,2,2,2020-12-08,Tue,Champions Lg,Group stage,Away,L 2–3,eng Manchester Utd,de RB Leipzig,N,RB,13,0,0,0,0,0,0,0,0,10.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,3.0,0.0,0.0,0.0,/en/matches/cdcc523b/RB-Leipzig-Manchester-United-December-8-2020-Champions-League,0.0,0.5,0.5
3,3,3,2021-01-23,Sat,Bundesliga,Matchweek 18,Home,L 0–1,Leverkusen,Wolfsburg,N,RB,45,0,0,0,0,0,0,0,0,58.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,54.0,79.6,7.0,37.0,1.0,2.0,1.0,/en/matches/fbcf759f/Bayer-Leverkusen-Wolfsburg-January-23-2021-Bundesliga,0.0,0.0,0.5
4,4,4,2021-01-30,Sat,Bundesliga,Matchweek 19,Away,L 0–1,Leverkusen,RB Leipzig,Y,RB,80,0,0,0,0,0,0,0,0,68.0,1.0,3,1.0,0.0,0.0,0.0,2.0,0.0,49.0,58.0,84.5,1.0,44.0,1.0,1.0,1.0,/en/matches/0898f32c/RB-Leipzig-Bayer-Leverkusen-January-30-2021-Bundesliga,0.0,0.0,0.5
5,5,5,2021-02-02,Tue,DFB-Pokal,Round of 16,Away,L 1–2,Leverkusen,Rot-Weiss Essen,Y,CB,120,0,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/04f1fdb1/Rot-Weiss-Essen-Bayer-Leverkusen-February-2-2021-DFB-Pokal,0.0,0.0,0.5
6,6,6,2021-02-06,Sat,Bundesliga,Matchweek 20,Home,W 5–2,Leverkusen,Stuttgart,Y,RB,61,0,0,0,0,1,1,0,0,40.0,1.0,1,3.0,0.1,0.1,0.0,1.0,0.0,28.0,32.0,87.5,3.0,20.0,3.0,0.0,0.0,/en/matches/3f791652/Bayer-Leverkusen-Stuttgart-February-6-2021-Bundesliga,1.0,0.0,0.5
7,7,7,2021-02-13,Sat,Bundesliga,Matchweek 21,Home,D 2–2,Leverkusen,Mainz 05,Y,RB,90,0,0,0,0,1,0,1,0,101.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,77.0,92.0,83.7,10.0,57.0,2.0,2.0,1.0,/en/matches/99d32e78/Bayer-Leverkusen-Mainz-05-February-13-2021-Bundesliga,0.5,0.3333333333333333,0.5
8,8,8,2021-02-21,Sun,Bundesliga,Matchweek 22,Away,D 1–1,Leverkusen,Augsburg,Y,RB,90,0,0,0,0,0,0,1,0,93.0,1.0,2,2.0,0.0,0.0,0.1,4.0,0.0,76.0,87.0,87.4,11.0,46.0,1.0,0.0,0.0,/en/matches/2f2af4c0/Augsburg-Bayer-Leverkusen-February-21-2021-Bundesliga,0.5,0.5,0.5
9,9,9,2021-02-28,Sun,Bundesliga,Matchweek 23,Home,L 1–2,Leverkusen,Freiburg,Y,RB,43,0,0,0,0,0,0,0,0,34.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,34.0,85.3,3.0,13.0,0.0,0.0,0.0,/en/matches/66ffc9f2/Bayer-Leverkusen-Freiburg-February-28-2021-Bundesliga,0.0,0.6666666666666666,0.5
