,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-03,Sat,UEFA Euro,Quarter-finals,Home,L 1–2,cz Czech Republic,dk Denmark,Y*,"CM,DM",90,0,0,0,0,3.0,0.0,0,0,64.0,3.0,0.0,1.0,0.3,0.3,0.1,2.0,0.0,40.0,50.0,80.0,5.0,26.0,4.0,1.0,1.0,/en/matches/1a1e61fe/Czech-Republic-Denmark-July-3-2021-UEFA-Euro,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-15,Sun,Premier League,Matchweek 1,Away,W 4–2,West Ham,Newcastle Utd,Y,DM,90,1,0,0,0,4.0,1.0,0,0,55.0,5.0,1.0,1.0,0.9,0.2,0.0,1.0,0.0,33.0,39.0,84.6,2.0,22.0,3.0,1.0,1.0,/en/matches/41091264/Newcastle-United-West-Ham-United-August-15-2021-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-23,Mon,Premier League,Matchweek 2,Home,W 4–1,West Ham,Leicester City,Y,DM,90,0,0,0,0,3.0,0.0,0,0,69.0,2.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,51.0,59.0,86.4,7.0,45.0,1.0,1.0,0.0,/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League,1.0,0.5,0.5238095238095238
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-28,Sat,Premier League,Matchweek 3,Home,D 2–2,West Ham,Crystal Palace,Y,DM,90,0,0,0,0,2.0,1.0,0,0,48.0,3.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,29.0,32.0,90.6,4.0,23.0,1.0,0.0,0.0,/en/matches/8e017435/West-Ham-United-Crystal-Palace-August-28-2021-Premier-League,0.5,0.6666666666666666,0.2222222222222221
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-02,Thu,WCQ,First round,Home,W 1–0,cz Czech Republic,by Belarus,Y*,DM,90,0,0,0,0,5.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/ffbd82d8/Czech-Republic-Belarus-September-2-2021-WCQ----UEFA-M,1.0,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-05,Sun,WCQ,First round,Away,L 0–3,cz Czech Republic,be Belgium,Y*,DM,90,0,0,0,0,1.0,1.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/7d0e1c6f/Belgium-Czech-Republic-September-5-2021-WCQ----UEFA-M,0.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-08,Wed,Friendlies (M),Friendlies (M),Home,D 1–1,cz Czech Republic,ua Ukraine,Y*,DM,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/1ead5830/Czech-Republic-Ukraine-September-8-2021-Friendlies-M,0.5,0.5,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-11,Sat,Premier League,Matchweek 4,Away,D 0–0,West Ham,Southampton,Y,DM,90,0,0,0,0,2.0,0.0,0,0,75.0,2.0,2.0,0.0,0.2,0.2,0.0,0.0,0.0,54.0,63.0,85.7,8.0,48.0,1.0,0.0,0.0,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League,0.5,0.5,0.5384615384615384
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-16,Thu,Europa Lg,Group stage,Away,W 2–0,eng West Ham,hr Dinamo Zagreb,Y,"DM,CM",90,0,0,0,0,0.0,0.0,0,0,72.0,1.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,51.0,63.0,81.0,4.0,40.0,0.0,1.0,1.0,/en/matches/e7e7f198/Dinamo-Zagreb-West-Ham-United-September-16-2021-Europa-League,1.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 1–2,West Ham,Manchester Utd,Y,CM,90,0,0,0,0,2.0,0.0,0,0,68.0,5.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,44.0,54.0,81.5,6.0,32.0,0.0,0.0,0.0,/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League,0.0,0.6666666666666666,0.619047619047619
