,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,N,RW,1,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,2.0,3.0,1.0,2.0,2.0,/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,1.0,0.5,0.4166666666666667
1,1,1,1,1,1,1,1,1,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Manchester City,West Ham,N,RW,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,0.0,/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League,1.0,0.5,0.8888888888888888
2,2,2,2,2,2,2,2,2,2023-09-19,Tue,Champions Lg,Group stage,Home,W 3–1,eng Manchester City,rs Red Star,N,RW,8,0,0,0,0,1,1,0,0,12.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,8.0,87.5,1.0,9.0,0.0,1.0,0.0,/en/matches/3d87750d/Manchester-City-Red-Star-Belgrade-September-19-2023-Champions-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,2023-09-27,Wed,EFL Cup,Third round,Away,L 0–1,Manchester City,Newcastle Utd,Y,RW,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ea61505c/Newcastle-United-Manchester-City-September-27-2023-EFL-Cup,0.0,1.0,0.5
4,4,4,4,4,4,4,4,4,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Manchester City,Wolves,N,"DM,LM",45,0,0,0,0,0,0,0,0,18.0,1.0,0,0.0,0.0,0.0,0.1,3.0,1.0,10.0,12.0,83.3,3.0,12.0,1.0,1.0,1.0,/en/matches/60ce29cd/Wolverhampton-Wanderers-Manchester-City-September-30-2023-Premier-League,0.0,0.6666666666666666,0.2444444444444443
5,5,5,5,5,5,5,5,5,2023-10-12,Thu,Euro Qualifying,Group stage,Away,W 4–0,no Norway,cy Cyprus,N,,28,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/72156869/Cyprus-Norway-October-12-2023-Euro-Qualifying,1.0,0.3333333333333333,0.5
6,6,6,6,6,6,6,6,6,2023-10-15,Sun,Euro Qualifying,Group stage,Home,L 0–1,no Norway,es Spain,Y,AM,58,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/9d087fa7/Norway-Spain-October-15-2023-Euro-Qualifying,0.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,2023-11-04,Sat,Premier League,Matchweek 11,Home,W 6–1,Manchester City,Bournemouth,N,AM,6,0,1,0,0,0,0,0,0,9.0,0.0,0,1.0,0.0,0.0,0.6,2.0,1.0,6.0,7.0,85.7,2.0,7.0,1.0,0.0,0.0,/en/matches/e75a870b/Manchester-City-Bournemouth-November-4-2023-Premier-League,1.0,0.3333333333333333,0.32291666666666663
8,8,8,8,8,8,8,8,8,2023-11-07,Tue,Champions Lg,Group stage,Home,W 3–0,eng Manchester City,ch Young Boys,N,FW,30,0,0,0,0,0,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,11.0,100.0,1.0,9.0,1.0,2.0,1.0,/en/matches/620ab893/Manchester-City-Young-Boys-November-7-2023-Champions-League,1.0,0.6666666666666666,0.5
