,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
15,15,15,2021-12-11,Sat,La Liga,Matchweek 17,Home,W 2–1,Valencia,Elche,Y,RM,81,0,0,0,0,3.0,1.0,0,0,40.0,1.0,0.0,1.0,0.1,0.1,0.2,6.0,0.0,16.0,22.0,72.7,3.0,22.0,8.0,6.0,2.0,/en/matches/4aab63b0/Valencia-Elche-December-11-2021-La-Liga,1.0,0.8333333333333334,0.5
16,16,16,2021-12-16,Thu,Copa del Rey,Second round,Away,W 3–1,Valencia,Arenteiro,N,,33,0,1,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/171727a9/Arenteiro-Valencia-December-16-2021-Copa-del-Rey,1.0,1.0,0.5
17,17,17,2021-12-20,Mon,La Liga,Matchweek 18,Away,W 4–3,Valencia,Levante,Y,RM,90,0,0,0,0,0.0,0.0,1,0,36.0,2.0,0.0,1.0,0.0,0.0,0.2,5.0,0.0,18.0,29.0,62.1,9.0,22.0,3.0,2.0,2.0,/en/matches/e9bf296a/Levante-Valencia-December-20-2021-La-Liga,1.0,1.0,0.5
18,18,18,2021-12-31,Fri,La Liga,Matchweek 19,Home,L 1–2,Valencia,Espanyol,Y,RM,83,0,1,0,0,0.0,0.0,0,0,34.0,2.0,0.0,0.0,0.0,0.0,0.3,4.0,1.0,16.0,25.0,64.0,2.0,23.0,3.0,6.0,4.0,/en/matches/72bd4a17/Valencia-Espanyol-December-31-2021-La-Liga,0.0,1.0,0.5
19,19,19,2022-01-05,Wed,Copa del Rey,Round of 32,Away,W 2–1,Valencia,Cartagena,Y,FW,58,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/ab1b9550/Cartagena-Valencia-January-5-2022-Copa-del-Rey,1.0,0.6666666666666666,0.5
20,20,20,2022-01-08,Sat,La Liga,Matchweek 20,Away,L 1–4,Valencia,Real Madrid,Y,RM,65,0,0,0,0,0.0,0.0,0,0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,18.0,50.0,2.0,12.0,2.0,1.0,1.0,/en/matches/aa6e8a1e/Real-Madrid-Valencia-January-8-2022-La-Liga,0.0,0.6666666666666666,0.5
21,21,21,2022-02-02,Wed,Copa del Rey,Quarter-finals,Home,W 2–1,Valencia,Cádiz,N,,3,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/ebcc8abf/Valencia-Cadiz-February-2-2022-Copa-del-Rey,1.0,0.3333333333333333,0.5
22,22,22,2022-02-10,Thu,Copa del Rey,Semi-finals,Away,D 1–1,Valencia,Athletic Club,N,,7,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/bd510848/Athletic-Club-Valencia-February-10-2022-Copa-del-Rey,0.5,0.6666666666666666,0.5
23,23,23,2022-02-13,Sun,La Liga,Matchweek 24,Away,L 1–2,Valencia,Alavés,Y,RM,45,0,0,0,0,1.0,0.0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,7.0,9.0,77.8,1.0,6.0,0.0,0.0,0.0,/en/matches/8b2bc30e/Alaves-Valencia-February-13-2022-La-Liga,0.0,0.5,0.5
24,24,24,2022-02-26,Sat,La Liga,Matchweek 26,Away,W 1–0,Valencia,Mallorca,N,"WB,CM,RM",13,0,0,0,0,0.0,0.0,0,0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,3.0,0.0,1.0,0.0,/en/matches/ac7f7afd/Mallorca-Valencia-February-26-2022-La-Liga,1.0,0.5,0.5
25,25,25,2022-03-05,Sat,La Liga,Matchweek 27,Home,W 3–1,Valencia,Granada,N,RW,5,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,3.0,0.0,0.0,0.0,/en/matches/3960fc57/Valencia-Granada-March-5-2022-La-Liga,1.0,0.5,0.5
26,26,26,2022-03-12,Sat,La Liga,Matchweek 28,Away,D 0–0,Valencia,Getafe,N,WB,1,0,0,0,0,0.0,0.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,0.0,0.0,/en/matches/c8ccb7d3/Getafe-Valencia-March-12-2022-La-Liga,0.5,0.6666666666666666,0.5
27,27,27,2022-03-19,Sat,La Liga,Matchweek 29,Away,W 1–0,Valencia,Elche,N,RW,5,0,0,0,0,0.0,0.0,0,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,/en/matches/201b86f7/Elche-Valencia-March-19-2022-La-Liga,1.0,0.8333333333333334,0.5
28,28,28,2022-04-03,Sun,La Liga,Matchweek 30,Home,D 0–0,Valencia,Cádiz,N,RW,5,0,0,0,0,0.0,0.0,0,0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,/en/matches/8067a7c1/Valencia-Cadiz-April-3-2022-La-Liga,0.5,0.8333333333333334,0.5
29,29,29,2022-04-16,Sat,La Liga,Matchweek 32,Home,L 1–2,Valencia,Osasuna,Y,RM,64,0,0,0,0,0.0,0.0,0,0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,66.7,0.0,18.0,2.0,2.0,0.0,/en/matches/a1a60233/Valencia-Osasuna-April-16-2022-La-Liga,0.0,0.6666666666666666,0.5
30,30,30,2022-04-19,Tue,La Liga,Matchweek 33,Away,L 0–2,Valencia,Villarreal,Y,FW,90,0,0,0,0,0.0,0.0,0,0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,25.0,64.0,1.0,21.0,1.0,5.0,2.0,/en/matches/c910f5b5/Villarreal-Valencia-April-19-2022-La-Liga,0.0,0.5,0.5
