,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2022-08-06,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Chelsea,N,LM,30,0,0,0,0,0,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,1.0,9.0,0.0,1.0,0.0,/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,0.0,0.5,0.4583333333333333
1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 1–2,Everton,Aston Villa,N,AM,10,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,/en/matches/8cd71c65/Aston-Villa-Everton-August-13-2022-Premier-League,0.0,0.5,0.4270833333333333
2,2,2,2,2,2,2,2,2022-08-29,Mon,Süper Lig,Matchweek 4,Home,W 3–1,Beşiktaş,Sivasspor,Y,AM,77,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/1ea1cfbf/Besiktas-Sivasspor-August-29-2022-Super-Lig,1.0,0.5,0.5
3,3,3,3,3,3,3,3,2022-09-04,Sun,Süper Lig,Matchweek 5,Away,W 3–2,Beşiktaş,Ankaragücü,Y,AM,65,1,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/b5c98d24/Ankaragucu-Besiktas-September-4-2022-Super-Lig,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,2022-10-02,Sun,Süper Lig,Matchweek 8,Home,D 0–0,Beşiktaş,Fenerbahçe,Y,AM,71,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/4411984d/Besiktas-Fenerbahce-October-2-2022-Super-Lig,0.5,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,2022-10-08,Sat,Süper Lig,Matchweek 9,Away,W 1–0,Beşiktaş,Giresunspor,Y,AM,74,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/3253d091/Giresunspor-Besiktas-October-8-2022-Super-Lig,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,2022-10-16,Sun,Süper Lig,Matchweek 10,Home,D 2–2,Beşiktaş,Trabzonspor,Y,AM,66,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/cd34274c/Besiktas-Trabzonspor-October-16-2022-Super-Lig,0.5,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,2022-10-24,Mon,Süper Lig,Matchweek 11,Away,L 1–2,Beşiktaş,Hatayspor,Y,AM,52,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5ca3ae64/Hatayspor-Besiktas-October-24-2022-Super-Lig,0.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,2022-10-30,Sun,Süper Lig,Matchweek 12,Home,W 5–2,Beşiktaş,Ümraniyespor,Y,AM,45,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/56d9ff7c/Besiktas-Umraniyespor-October-30-2022-Super-Lig,1.0,0.5,0.5
9,9,9,9,9,9,9,9,2023-01-14,Sat,Süper Lig,Matchweek 19,Away,W 2–1,Beşiktaş,Konyaspor,N,,1,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/98f462a4/Konyaspor-Besiktas-January-14-2023-Super-Lig,1.0,0.5,0.5
10,10,10,10,10,10,10,10,2023-01-22,Sun,Süper Lig,Matchweek 20,Away,W 2–0,Beşiktaş,Kayserispor,N,,21,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b45e1760/Kayserispor-Besiktas-January-22-2023-Super-Lig,1.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,2023-01-27,Fri,Süper Lig,Matchweek 21,Home,W 3–0,Beşiktaş,Alanyaspor,Y,AM,85,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/0f91e0a9/Besiktas-Alanyaspor-January-27-2023-Super-Lig,1.0,1.0,0.5
12,12,12,12,12,12,12,12,2023-01-31,Tue,Süper Lig,Matchweek 22,Away,D 1–1,Beşiktaş,Fatih Karagümrük,Y,AM,90,0,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/ae8a181e/Fatih-Karagumruk-Besiktas-January-31-2023-Super-Lig,0.5,1.0,0.5
13,13,13,13,13,13,13,13,2023-02-04,Sat,Süper Lig,Matchweek 23,Away,L 0–1,Beşiktaş,Sivasspor,N,,15,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/12f1f268/Sivasspor-Besiktas-February-4-2023-Super-Lig,0.0,0.8333333333333334,0.5
14,14,14,14,14,14,14,14,2023-02-26,Sun,Süper Lig,Matchweek 14,Home,D 0–0,Beşiktaş,Antalyaspor,Y,AM,45,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/e8ba2afd/Besiktas-Antalyaspor-February-26-2023-Super-Lig,0.5,0.5,0.5
