,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2021-08-13,Fri,Premier League,Matchweek 1,Home,W 2–0,Brentford,Arsenal,N,CM,11,0,0,0,0,0,0,0,0,8.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Away,D 0–0,Brentford,Crystal Palace,N,CM,4,0,0,0,0,0,0,0,0,5.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,/en/matches/c8945d11/Crystal-Palace-Brentford-August-21-2021-Premier-League,0.5,0.5,0.4861111111111111
2,2,2,2,2,2,2,2,2021-08-24,Tue,EFL Cup,Second round,Home,W 3–1,Brentford,FG Rovers,Y,DM,45,0,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/7f1ff137/Brentford-Forest-Green-Rovers-August-24-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,2021-09-21,Tue,EFL Cup,Third round,Home,W 7–0,Brentford,Oldham Athletic,N,,20,0,0,0,0,3,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/85244b49/Brentford-Oldham-Athletic-September-21-2021-EFL-Cup,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,2021-10-03,Sun,Premier League,Matchweek 7,Away,W 2–1,Brentford,West Ham,N,CM,10,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,/en/matches/f1eead63/West-Ham-United-Brentford-October-3-2021-Premier-League,1.0,0.8333333333333334,0.7424242424242423
5,5,5,5,5,5,5,5,2021-10-27,Wed,EFL Cup,Fourth round,Away,W 2–1,Brentford,Stoke City,Y,CM,61,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/9a33ffe9/Stoke-City-Brentford-October-27-2021-EFL-Cup,1.0,1.0,0.5
6,6,6,6,6,6,6,6,2021-12-29,Wed,Premier League,Matchweek 20,Home,L 0–1,Brentford,Manchester City,N,CM,16,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,0.0,/en/matches/1a0df937/Brentford-Manchester-City-December-29-2021-Premier-League,0.0,1.0,0.9393939393939394
7,7,7,7,7,7,7,7,2022-01-08,Sat,FA Cup,Third round proper,Away,W 4–1,Brentford,Port Vale,Y,CM,90,0,2,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/266a7ddd/Port-Vale-Brentford-January-8-2022-FA-Cup,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,2022-02-20,Sun,Superliga,Regular season,Home,L 0–2,Nordsjælland,Brøndby,Y,DM,87,0,0,0,0,1,0,0,0,,,4,,,,,,,,,,,,,,,/en/matches/3d31f031/Nordsjaelland-Brondby-February-20-2022-Superliga,0.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,2022-02-27,Sun,Superliga,Regular season,Home,D 0–0,Nordsjælland,Randers,Y,DM,80,0,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,/en/matches/368bc31b/Nordsjaelland-Randers-February-27-2022-Superliga,0.5,0.3333333333333333,0.5
