,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 6–1,Aston Villa,Brighton,Y*,RW,90,0,1,0,0,1.0,0.0,0,0,36.0,5.0,1.0,1.0,0.0,0.0,0.3,4.0,2.0,20.0,24.0,83.3,6.0,19.0,1.0,2.0,2.0,/en/matches/2df9a3a1/Aston-Villa-Brighton-and-Hove-Albion-September-30-2023-Premier-League,1.0,0.3333333333333333,0.5625
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-10-05,Thu,Conf Lg,Group stage,Home,W 1–0,eng Aston Villa,ba Zrinjski Mostar,Y*,"CM,LM",90,1,0,0,0,1.0,1.0,1,0,66.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,51.0,59.0,86.4,14.0,44.0,3.0,3.0,1.0,/en/matches/83cda6e4/Aston-Villa-Zrinjski-Mostar-October-5-2023-Europa-Conference-League,1.0,0.6666666666666666,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-10-08,Sun,Premier League,Matchweek 8,Away,D 1–1,Aston Villa,Wolves,Y*,"LM,AM",90,0,0,0,0,2.0,0.0,1,0,38.0,0.0,2.0,0.0,0.1,0.1,0.4,8.0,0.0,24.0,28.0,85.7,8.0,21.0,1.0,1.0,0.0,/en/matches/3292ed35/Wolverhampton-Wanderers-Aston-Villa-October-8-2023-Premier-League,0.5,0.6666666666666666,0.4777777777777777
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2023-10-12,Thu,Euro Qualifying,Group stage,Away,L 0–2,sct Scotland,es Spain,Y,RM,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/816e3943/Spain-Scotland-October-12-2023-Euro-Qualifying,0.0,0.8333333333333334,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2023-10-17,Tue,Friendlies (M),Friendlies (M),Away,L 1–4,sct Scotland,fr France,N,,2,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/49c3cf63/France-Scotland-October-17-2023-Friendlies-M,0.0,0.5,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2023-10-22,Sun,Premier League,Matchweek 9,Home,W 4–1,Aston Villa,West Ham,Y*,"RM,LM",90,0,1,0,0,1.0,0.0,0,0,51.0,0.0,1.0,0.0,0.0,0.0,0.1,6.0,1.0,37.0,42.0,88.1,7.0,35.0,3.0,0.0,0.0,/en/matches/7efcc598/Aston-Villa-West-Ham-United-October-22-2023-Premier-League,1.0,0.1666666666666666,0.6428571428571429
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-10-26,Thu,Conf Lg,Group stage,Away,W 4–1,eng Aston Villa,nl AZ Alkmaar,Y*,"LM,RM",80,1,1,0,0,1.0,1.0,0,0,29.0,2.0,2.0,1.0,0.1,0.1,0.1,1.0,1.0,17.0,24.0,70.8,1.0,10.0,0.0,1.0,1.0,/en/matches/7505cf4e/AZ-Alkmaar-Aston-Villa-October-26-2023-Europa-Conference-League,1.0,0.3333333333333333,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–1,Aston Villa,Luton Town,Y*,"LM,RM",90,1,0,0,0,3.0,2.0,0,0,43.0,1.0,0.0,1.0,0.4,0.4,0.0,3.0,2.0,31.0,35.0,88.6,2.0,35.0,1.0,4.0,2.0,/en/matches/ee677172/Aston-Villa-Luton-Town-October-29-2023-Premier-League,1.0,0.6666666666666666,0.27083333333333326
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2023-11-05,Sun,Premier League,Matchweek 11,Away,L 0–2,Aston Villa,Nott'ham Forest,Y*,"LM,RM",90,0,0,0,0,1.0,0.0,0,0,59.0,0.0,1.0,0.0,0.1,0.1,0.3,4.0,0.0,40.0,49.0,81.6,11.0,46.0,1.0,4.0,2.0,/en/matches/ac18f108/Nottingham-Forest-Aston-Villa-November-5-2023-Premier-League,0.0,1.0,0.3888888888888889
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2023-11-09,Thu,Conf Lg,Group stage,Home,W 2–1,eng Aston Villa,nl AZ Alkmaar,Y*,LW,90,0,0,0,0,0.0,0.0,0,0,28.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,19.0,23.0,82.6,1.0,22.0,1.0,0.0,0.0,/en/matches/41fb8ff8/Aston-Villa-AZ-Alkmaar-November-9-2023-Europa-Conference-League,1.0,0.6666666666666666,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–1,Aston Villa,Fulham,Y*,"AM,LM",90,1,0,0,0,1.0,1.0,0,0,43.0,1.0,1.0,2.0,0.1,0.1,0.0,5.0,2.0,22.0,32.0,68.8,6.0,28.0,3.0,10.0,7.0,/en/matches/d6a70a44/Aston-Villa-Fulham-November-12-2023-Premier-League,1.0,0.6666666666666666,0.375
