,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-07,Mon,UEFA Nations League,League A,Away,W 1–0,it Italy,nl Netherlands,Y,CM,90,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/35f19d92/Netherlands-Italy-September-7-2020-UEFA-Nations-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-14,Mon,Premier League,Matchweek 1,Away,W 3–1,Chelsea,Brighton,Y*,DM,84,1,1,1,1,0.0,0.0,0,0,61.0,2.0,2.0,0.0,0.8,0.0,0.0,3.0,2.0,45.0,54.0,83.3,6.0,29.0,1.0,0.0,0.0,/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–2,Chelsea,Liverpool,Y*,CM,78,0,0,0,1,0.0,0.0,0,0,64.0,3.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,44.0,53.0,83.0,1.0,29.0,0.0,0.0,0.0,/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,0.0,0.5,0.5714285714285714
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-09-29,Tue,EFL Cup,Fourth round,Away,D 1 (4)–1 (5),Chelsea,Tottenham,Y,DM,90,0,0,0,0,0.0,0.0,1,0,,,1.0,,,,,,,,,,,,,,,/en/matches/2e02cd1a/Tottenham-Hotspur-Chelsea-September-29-2020-EFL-Cup,0.5,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-03,Sat,Premier League,Matchweek 4,Home,W 4–0,Chelsea,Crystal Palace,Y,DM,90,2,0,2,2,1.0,0.0,0,0,89.0,1.0,3.0,1.0,1.6,0.1,0.2,4.0,0.0,69.0,75.0,92.0,11.0,43.0,0.0,2.0,1.0,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League,1.0,0.5,0.6153846153846154
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,it Italy,pl Poland,Y,CM,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/c940abe8/Poland-Italy-October-11-2020-UEFA-Nations-League,0.5,0.5,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-10-14,Wed,UEFA Nations League,League A,Home,D 1–1,it Italy,nl Netherlands,Y,DM,90,0,0,0,0,0.0,0.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/4c323195/Italy-Netherlands-October-14-2020-UEFA-Nations-League,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-10-17,Sat,Premier League,Matchweek 5,Home,D 3–3,Chelsea,Southampton,Y,DM,90,0,0,0,0,0.0,0.0,0,0,73.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,58.0,68.0,85.3,5.0,46.0,0.0,1.0,1.0,/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League,0.5,0.6666666666666666,0.7023809523809523
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-10-20,Tue,Champions Lg,Group stage,Home,D 0–0,eng Chelsea,es Sevilla,Y*,DM,64,0,0,0,0,0.0,0.0,1,0,41.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,33.0,78.8,5.0,28.0,0.0,0.0,0.0,/en/matches/b9aeb47f/Chelsea-Sevilla-October-20-2020-Champions-League,0.5,0.5,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-10-24,Sat,Premier League,Matchweek 6,Away,D 0–0,Chelsea,Manchester Utd,Y,CM,90,0,0,0,0,1.0,0.0,0,0,79.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,56.0,66.0,84.8,0.0,26.0,0.0,1.0,0.0,/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League,0.5,0.5,0.7738095238095238
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2020-10-28,Wed,Champions Lg,Group stage,Away,W 4–0,eng Chelsea,ru Krasnodar,Y,CM,70,0,0,0,1,0.0,0.0,0,0,59.0,1.0,0.0,1.0,0.8,0.0,0.0,1.0,0.0,46.0,51.0,90.2,3.0,32.0,0.0,0.0,0.0,/en/matches/1ef61ea1/Krasnodar-Chelsea-October-28-2020-Champions-League,1.0,0.5,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2020-10-31,Sat,Premier League,Matchweek 7,Away,W 3–0,Chelsea,Burnley,N,CM,5,0,0,0,0,0.0,0.0,0,0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,/en/matches/0f158c5c/Burnley-Chelsea-October-31-2020-Premier-League,1.0,0.6666666666666666,0.2692307692307692
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2020-11-04,Wed,Champions Lg,Group stage,Home,W 3–0,eng Chelsea,fr Rennes,Y*,CM,90,0,0,0,0,0.0,0.0,1,0,80.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,75.0,82.7,8.0,61.0,0.0,2.0,1.0,/en/matches/795e6e29/Chelsea-Rennes-November-4-2020-Champions-League,1.0,0.8333333333333334,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2020-11-07,Sat,Premier League,Matchweek 8,Home,W 4–1,Chelsea,Sheffield Utd,N,CM,20,0,0,0,0,0.0,0.0,0,0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,1.0,13.0,0.0,0.0,0.0,/en/matches/089916ee/Chelsea-Sheffield-United-November-7-2020-Premier-League,1.0,1.0,0.1666666666666665
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2020-11-15,Sun,UEFA Nations League,League A,Home,W 2–0,it Italy,pl Poland,Y,CM,90,1,0,1,1,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/c5e1e6a0/Italy-Poland-November-15-2020-UEFA-Nations-League,1.0,1.0,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2020-11-18,Wed,UEFA Nations League,League A,Away,W 2–0,it Italy,ba Bosnia & Herz'na,Y,CM,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/e864fced/Bosnia-and-Herzegovina-Italy-November-18-2020-UEFA-Nations-League,1.0,1.0,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2020-11-24,Tue,Champions Lg,Group stage,Away,W 2–1,eng Chelsea,fr Rennes,Y,CM,90,0,0,0,0,0.0,0.0,0,0,85.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,64.0,72.0,88.9,2.0,50.0,0.0,1.0,1.0,/en/matches/242bdedd/Rennes-Chelsea-November-24-2020-Champions-League,1.0,1.0,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2020-12-02,Wed,Champions Lg,Group stage,Away,W 4–0,eng Chelsea,es Sevilla,Y,CM,84,0,0,0,0,0.0,0.0,0,0,57.0,2.0,1.0,2.0,0.0,0.0,0.3,5.0,3.0,46.0,47.0,97.9,6.0,30.0,1.0,1.0,0.0,/en/matches/d3a1eed4/Sevilla-Chelsea-December-2-2020-Champions-League,1.0,1.0,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2020-12-08,Tue,Champions Lg,Group stage,Home,D 1–1,eng Chelsea,ru Krasnodar,Y,CM,90,1,0,1,1,0.0,0.0,0,0,76.0,2.0,2.0,2.0,0.8,0.0,0.0,4.0,0.0,60.0,68.0,88.2,6.0,45.0,3.0,0.0,0.0,/en/matches/58e872f7/Chelsea-Krasnodar-December-8-2020-Champions-League,0.5,1.0,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2020-12-21,Mon,Premier League,Matchweek 14,Home,W 3–0,Chelsea,West Ham,Y,CM,65,0,0,0,0,1.0,0.0,0,0,66.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,51.0,80.4,5.0,40.0,0.0,2.0,0.0,/en/matches/9a718e42/Chelsea-West-Ham-United-December-21-2020-Premier-League,1.0,0.8333333333333334,0.5384615384615384
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2020-12-26,Sat,Premier League,Matchweek 15,Away,L 1–3,Chelsea,Arsenal,N,RM,45,0,0,0,1,0.0,0.0,0,0,39.0,0.0,1.0,1.0,0.8,0.0,0.0,2.0,0.0,33.0,35.0,94.3,4.0,27.0,3.0,0.0,0.0,/en/matches/c5de8a0c/North-West-London-Derby-Arsenal-Chelsea-December-26-2020-Premier-League,0.0,0.8333333333333334,0.2857142857142856
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2020-12-28,Mon,Premier League,Matchweek 16,Home,D 1–1,Chelsea,Aston Villa,Y,CM,71,0,0,0,0,0.0,0.0,0,0,55.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,46.0,82.6,3.0,24.0,0.0,0.0,0.0,/en/matches/ac7d1071/Chelsea-Aston-Villa-December-28-2020-Premier-League,0.5,0.5,0.8076923076923077
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2021-01-16,Sat,Premier League,Matchweek 19,Away,W 1–0,Chelsea,Fulham,Y,CM,64,0,0,0,0,0.0,0.0,0,0,80.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,61.0,69.0,88.4,5.0,47.0,0.0,0.0,0.0,/en/matches/714c642d/Fulham-Chelsea-January-16-2021-Premier-League,1.0,0.5,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2021-01-27,Wed,Premier League,Matchweek 20,Home,D 0–0,Chelsea,Wolves,Y,"CM,DM",90,0,0,0,0,0.0,0.0,0,0,146.0,3.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,132.0,139.0,95.0,10.0,92.0,2.0,1.0,0.0,/en/matches/42eeae0e/Chelsea-Wolverhampton-Wanderers-January-27-2021-Premier-League,0.5,0.5,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2021-01-31,Sun,Premier League,Matchweek 21,Home,W 2–0,Chelsea,Burnley,Y,CM,90,0,0,0,0,0.0,0.0,0,0,111.0,1.0,0.0,1.0,0.0,0.0,0.3,8.0,0.0,101.0,107.0,94.4,19.0,57.0,2.0,2.0,2.0,/en/matches/3372f3f3/Chelsea-Burnley-January-31-2021-Premier-League,1.0,0.6666666666666666,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2021-02-04,Thu,Premier League,Matchweek 22,Away,W 1–0,Chelsea,Tottenham,Y,CM,90,1,0,1,1,0.0,0.0,0,0,86.0,1.0,1.0,3.0,0.8,0.0,0.1,4.0,0.0,71.0,78.0,91.0,5.0,47.0,0.0,0.0,0.0,/en/matches/7d98a679/Tottenham-Hotspur-Chelsea-February-4-2021-Premier-League,1.0,0.8333333333333334,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2021-02-07,Sun,Premier League,Matchweek 23,Away,W 2–1,Chelsea,Sheffield Utd,Y,CM,90,1,0,1,1,0.0,0.0,0,0,100.0,4.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,81.0,93.0,87.1,5.0,58.0,2.0,1.0,1.0,/en/matches/d3467620/Sheffield-United-Chelsea-February-7-2021-Premier-League,1.0,0.8333333333333334,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2021-02-15,Mon,Premier League,Matchweek 24,Home,W 2–0,Chelsea,Newcastle Utd,Y,CM,90,0,0,0,0,0.0,0.0,0,0,93.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,74.0,79.0,93.7,5.0,59.0,0.0,1.0,0.0,/en/matches/dd033287/Chelsea-Newcastle-United-February-15-2021-Premier-League,1.0,1.0,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2021-02-20,Sat,Premier League,Matchweek 25,Away,D 1–1,Chelsea,Southampton,N,CM,15,0,0,0,0,0.0,0.0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,3.0,0.0,0.0,0.0,/en/matches/9e4c8c99/Southampton-Chelsea-February-20-2021-Premier-League,0.5,1.0,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2021-02-23,Tue,Champions Lg,Round of 16,Away,W 1–0,eng Chelsea,es Atlético Madrid,Y,CM,90,0,0,0,0,0.0,0.0,1,0,111.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,91.0,103.0,88.3,12.0,64.0,1.0,1.0,1.0,/en/matches/70de7028/Atletico-Madrid-Chelsea-February-23-2021-Champions-League,1.0,0.8333333333333334,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2021-03-04,Thu,Premier League,Matchweek 29,Away,W 1–0,Chelsea,Liverpool,Y,CM,90,0,0,0,0,0.0,0.0,0,0,79.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,55.0,64.0,85.9,2.0,39.0,0.0,2.0,2.0,/en/matches/86920e88/Liverpool-Chelsea-March-4-2021-Premier-League,1.0,0.8333333333333334,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2021-03-08,Mon,Premier League,Matchweek 27,Home,W 2–0,Chelsea,Everton,Y,CM,90,1,0,1,1,2.0,0.0,0,0,99.0,3.0,2.0,0.0,0.8,0.1,0.0,1.0,0.0,73.0,86.0,84.9,7.0,57.0,1.0,2.0,2.0,/en/matches/7e4a240e/Chelsea-Everton-March-8-2021-Premier-League,1.0,0.8333333333333334,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2021-03-13,Sat,Premier League,Matchweek 28,Away,D 0–0,Chelsea,Leeds United,Y,"DM,CM",90,0,0,0,0,0.0,0.0,0,0,65.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,59.0,88.1,4.0,49.0,2.0,0.0,0.0,/en/matches/a711769f/Leeds-United-Chelsea-March-13-2021-Premier-League,0.5,1.0,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2021-04-03,Sat,Premier League,Matchweek 30,Home,L 2–5,Chelsea,West Brom,Y,CM,71,0,0,0,0,0.0,0.0,0,0,68.0,1.0,2.0,1.0,0.0,0.0,0.1,2.0,0.0,55.0,63.0,87.3,8.0,45.0,0.0,0.0,0.0,/en/matches/c5d6a493/Chelsea-West-Bromwich-Albion-April-3-2021-Premier-League,0.0,0.8333333333333334,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2021-04-07,Wed,Champions Lg,Quarter-finals,Away,W 2–0,eng Chelsea,pt Porto,Y,CM,90,0,1,0,0,0.0,0.0,0,0,78.0,2.0,2.0,0.0,0.0,0.0,0.1,2.0,2.0,65.0,70.0,92.9,0.0,60.0,0.0,0.0,0.0,/en/matches/d0f7ab16/Porto-Chelsea-April-7-2021-Champions-League,1.0,0.5,0.5
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2021-04-10,Sat,Premier League,Matchweek 31,Away,W 4–1,Chelsea,Crystal Palace,Y,CM,60,0,0,0,0,0.0,0.0,0,0,96.0,2.0,2.0,2.0,0.0,0.0,0.3,3.0,0.0,84.0,90.0,93.3,7.0,56.0,0.0,0.0,0.0,/en/matches/54b07679/Crystal-Palace-Chelsea-April-10-2021-Premier-League,1.0,0.5,0.5
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2021-04-13,Tue,Champions Lg,Quarter-finals,Home,L 0–1,eng Chelsea,pt Porto,Y,CM,90,0,0,0,0,0.0,0.0,0,0,90.0,8.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,56.0,66.0,84.8,5.0,29.0,0.0,1.0,1.0,/en/matches/9cc1ec07/Chelsea-Porto-April-13-2021-Champions-League,0.0,0.6666666666666666,0.5
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2021-04-17,Sat,FA Cup,Semi-finals,Home,W 1–0,Chelsea,Manchester City,Y,DM,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/6ac1f629/Chelsea-Manchester-City-April-17-2021-FA-Cup,1.0,0.6666666666666666,0.5
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2021-04-20,Tue,Premier League,Matchweek 32,Home,D 0–0,Chelsea,Brighton,Y*,"CM,DM",90,0,0,0,0,0.0,0.0,1,0,101.0,3.0,4.0,2.0,0.0,0.0,0.1,2.0,0.0,82.0,87.0,94.3,1.0,56.0,1.0,4.0,3.0,/en/matches/07b4e58b/Chelsea-Brighton-and-Hove-Albion-April-20-2021-Premier-League,0.5,0.6666666666666666,0.5
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2021-04-24,Sat,Premier League,Matchweek 33,Away,W 1–0,Chelsea,West Ham,Y,CM,90,0,0,0,0,0.0,0.0,0,0,76.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,61.0,67.0,91.0,2.0,45.0,1.0,1.0,1.0,/en/matches/ea1579bb/West-Ham-United-Chelsea-April-24-2021-Premier-League,1.0,0.5,0.5
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2021-04-27,Tue,Champions Lg,Semi-finals,Away,D 1–1,eng Chelsea,es Real Madrid,Y,CM,90,0,0,0,0,0.0,0.0,0,0,100.0,1.0,3.0,4.0,0.0,0.0,0.1,2.0,0.0,82.0,92.0,89.1,4.0,60.0,3.0,0.0,0.0,/en/matches/8fc28915/Real-Madrid-Chelsea-April-27-2021-Champions-League,0.5,0.8333333333333334,0.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2021-05-05,Wed,Champions Lg,Semi-finals,Home,W 2–0,eng Chelsea,es Real Madrid,Y,DM,90,0,0,0,0,0.0,0.0,1,0,44.0,2.0,6.0,1.0,0.0,0.0,0.4,2.0,0.0,35.0,39.0,89.7,6.0,26.0,0.0,2.0,1.0,/en/matches/0da2e01d/Chelsea-Real-Madrid-May-5-2021-Champions-League,1.0,0.6666666666666666,0.5
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2021-05-08,Sat,Premier League,Matchweek 35,Away,W 2–1,Chelsea,Manchester City,N,CM,23,0,0,0,0,0.0,0.0,0,0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,90.9,3.0,8.0,0.0,0.0,0.0,/en/matches/b657d658/Manchester-City-Chelsea-May-8-2021-Premier-League,1.0,0.8333333333333334,0.5
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2021-05-12,Wed,Premier League,Matchweek 36,Home,L 0–1,Chelsea,Arsenal,Y,"CM,DM",90,0,0,0,0,0.0,0.0,0,0,105.0,1.0,0.0,3.0,0.0,0.0,0.1,2.0,0.0,84.0,97.0,86.6,8.0,76.0,1.0,2.0,2.0,/en/matches/51632a55/North-West-London-Derby-Chelsea-Arsenal-May-12-2021-Premier-League,0.0,0.8333333333333334,0.5
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2021-05-15,Sat,FA Cup,Final,Neutral,L 0–1,Chelsea,Leicester City,Y,DM,74,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/49aa79e1/Chelsea-Leicester-City-May-15-2021-FA-Cup,0.0,0.6666666666666666,0.5
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2021-05-18,Tue,Premier League,Matchweek 37,Home,W 2–1,Chelsea,Leicester City,Y,CM,90,1,0,1,1,0.0,0.0,0,0,75.0,3.0,2.0,1.0,0.8,0.0,0.1,4.0,0.0,54.0,63.0,85.7,9.0,44.0,0.0,3.0,2.0,/en/matches/509c9927/Chelsea-Leicester-City-May-18-2021-Premier-League,1.0,0.3333333333333333,0.5
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2021-05-23,Sun,Premier League,Matchweek 38,Away,L 1–2,Chelsea,Aston Villa,Y,CM,59,0,0,0,0,0.0,0.0,1,0,55.0,2.0,0.0,2.0,0.0,0.0,0.3,4.0,0.0,47.0,49.0,95.9,9.0,28.0,0.0,0.0,0.0,/en/matches/0143966a/Aston-Villa-Chelsea-May-23-2021-Premier-League,0.0,0.3333333333333333,0.5
