,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,2020-09-22,Tue,EFL Cup,Third round,Away,W 3–0,Manchester Utd,Luton Town,Y,LB,90,0,0,0,0,0.0,0.0,1,0,,,1.0,,,,,,,,,,,,,,,/en/matches/8b6d5b78/Luton-Town-Manchester-United-September-22-2020-EFL-Cup,1.0,0.5,0.5
1,1,1,2020-09-30,Wed,EFL Cup,Fourth round,Away,W 3–0,Manchester Utd,Brighton,Y,LB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/310f1db8/Brighton-and-Hove-Albion-Manchester-United-September-30-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2020-10-23,Fri,PL2 — Div. 1,Matchweek 6,Home,W 2–1,Manchester Utd,Everton,Y,RM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/04e72706/Manchester-United-U23-Everton-U23-October-23-2020-Premier-League-2----Division-1,1.0,0.5,0.5
3,3,3,2020-11-24,Tue,Champions Lg,Group stage,Home,W 4–1,eng Manchester Utd,tr Başakşehir,N,RB,32,0,0,0,0,0.0,0.0,0,0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,0.0,6.0,0.0,0.0,0.0,/en/matches/22a1280b/Manchester-United-Istanbul-Basaksehir-November-24-2020-Champions-League,1.0,1.0,0.5
4,4,4,2020-11-29,Sun,Premier League,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,N,LB,7,0,0,0,0,0.0,0.0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,5.0,0.0,0.0,0.0,/en/matches/e0a84e7e/Southampton-Manchester-United-November-29-2020-Premier-League,1.0,1.0,0.75
5,5,5,2020-12-08,Tue,Champions Lg,Group stage,Away,L 2–3,eng Manchester Utd,de RB Leipzig,N,LB,30,0,0,0,0,0.0,0.0,1,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,18.0,88.9,0.0,13.0,0.0,3.0,1.0,/en/matches/cdcc523b/RB-Leipzig-Manchester-United-December-8-2020-Champions-League,0.0,1.0,0.5
6,6,6,2020-12-13,Sun,PL2 — Div. 1,Matchweek 11,Home,D 2–2,Manchester Utd,Manchester City,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/0227923f/Manchester-United-U23-Manchester-City-U23-December-13-2020-Premier-League-2----Division-1,0.5,0.6666666666666666,0.5
7,7,7,2021-01-09,Sat,FA Cup,Third round proper,Home,W 1–0,Manchester Utd,Watford,Y,RB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/2cccbd68/Manchester-United-Watford-January-9-2021-FA-Cup,1.0,0.5,0.5
8,8,8,2021-01-30,Sat,PL2 — Div. 1,Matchweek 16,Away,W 6–3,Manchester Utd,Liverpool,Y,RB,66,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4b8ad2c4/Liverpool-U23-Manchester-United-U23-January-30-2021-Premier-League-2----Division-1,1.0,0.5,0.5
9,9,9,2021-02-09,Tue,FA Cup,Fifth round proper,Home,W 1–0,Manchester Utd,West Ham,N,,30,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/286eff41/Manchester-United-West-Ham-United-February-9-2021-FA-Cup,1.0,0.8333333333333334,0.5
10,10,10,2021-02-25,Thu,Europa Lg,Round of 32,Neutral,D 0–0,eng Manchester Utd,es Real Sociedad,N,RB,45,0,0,0,0,0.0,0.0,1,0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,80.0,2.0,13.0,1.0,1.0,1.0,/en/matches/be78aee3/Manchester-United-Real-Sociedad-February-25-2021-Europa-League,0.5,1.0,0.5
11,11,11,2021-03-07,Sun,Premier League,Matchweek 27,Away,W 2–0,Manchester Utd,Manchester City,N,FW,1,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,/en/matches/28ebbc70/Manchester-Derby-Manchester-City-Manchester-United-March-7-2021-Premier-League,1.0,0.8333333333333334,0.5
12,12,12,2021-03-11,Thu,Europa Lg,Round of 16,Home,D 1–1,eng Manchester Utd,it Milan,N,RB,17,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,3.0,1.0,0.0,0.0,/en/matches/277f9a5b/Manchester-United-Milan-March-11-2021-Europa-League,0.5,0.8333333333333334,0.5
13,13,13,2021-04-09,Fri,PL2 — Div. 1,Matchweek 23,Home,L 2–3,Manchester Utd,West Ham,Y,RB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ae671e4b/Manchester-United-U23-West-Ham-United-U23-April-9-2021-Premier-League-2----Division-1,0.0,0.6666666666666666,0.5
14,14,14,2021-04-15,Thu,Europa Lg,Quarter-finals,Home,W 2–0,eng Manchester Utd,es Granada,N,RB,9,0,0,0,0,0.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,3.0,1.0,0.0,0.0,/en/matches/e0a56f66/Manchester-United-Granada-April-15-2021-Europa-League,1.0,0.5,0.5
15,15,15,2021-04-23,Fri,PL2 — Div. 1,Matchweek 25,Home,W 4–2,Manchester Utd,Chelsea,Y,LB,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6dac17f6/Manchester-United-U23-Chelsea-U23-April-23-2021-Premier-League-2----Division-1,1.0,0.5,0.5
16,16,16,2021-05-06,Thu,Europa Lg,Semi-finals,Away,L 2–3,eng Manchester Utd,it Roma,N,RB,45,0,0,0,0,1.0,0.0,1,0,26.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,19.0,20.0,95.0,0.0,10.0,0.0,0.0,0.0,/en/matches/8d7537d2/Roma-Manchester-United-May-6-2021-Europa-League,0.0,0.6666666666666666,0.5
17,17,17,2021-05-11,Tue,Premier League,Matchweek 36,Home,L 1–2,Manchester Utd,Leicester City,Y,RB,90,0,0,0,0,0.0,0.0,0,0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,66.0,86.4,1.0,36.0,3.0,2.0,2.0,/en/matches/855994bf/Manchester-United-Leicester-City-May-11-2021-Premier-League,0.0,0.6666666666666666,0.5
18,18,18,2021-05-23,Sun,Premier League,Matchweek 38,Away,W 2–1,Manchester Utd,Wolves,Y,RB,90,0,0,0,0,1.0,1.0,0,0,83.0,0.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,57.0,67.0,85.1,4.0,56.0,2.0,2.0,0.0,/en/matches/2c081c94/Wolverhampton-Wanderers-Manchester-United-May-23-2021-Premier-League,1.0,0.3333333333333333,0.5
