,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
31,Sat,Premier League,Matchweek 36,Home,L 1–3,Burnley,Aston Villa,Y,RB,90,0,0,0,0,1,1,0,0,75,1,2,2,0.0,0.0,0.0,2,0,57,69,82.6,8,48,4,0,0,Match Report
32,Sun,Premier League,Matchweek 37,Away,L 0–1,Burnley,Tottenham,Y,RB,90,0,0,0,0,0,0,1,0,53,1,0,0,0.0,0.0,0.0,3,0,35,47,74.5,3,33,1,1,0,Match Report
33,Thu,Premier League,Matchweek 18,Away,D 1–1,Burnley,Aston Villa,Y,"RB,RM",90,0,0,0,0,1,1,0,0,41,2,0,0,0.2,0.2,0.4,2,0,21,33,63.6,0,18,0,0,0,Match Report
34,Sun,Premier League,Matchweek 38,Home,L 1–2,Burnley,Newcastle Utd,Y,RM,45,0,0,0,0,0,0,0,0,19,2,0,1,0.0,0.0,0.0,0,0,7,16,43.8,2,5,0,0,0,Match Report
35,Wed,UEFA Nations League,League A,Away,L 1–2,wls Wales,pl Poland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sun,WCQ,Finals,Home,W 1–0,wls Wales,ua Ukraine,Y,RB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
37,Wed,UEFA Nations League,League A,Home,L 1–2,wls Wales,nl Netherlands,Y,RB,90,0,1,0,0,1,0,0,0,,,4,,,,,,,,,,,,,,,Match Report
38,Sat,UEFA Nations League,League A,Home,D 1–1,wls Wales,be Belgium,Y,RB,60,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
39,Tue,UEFA Nations League,League A,Away,L 2–3,wls Wales,nl Netherlands,N,,45,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,Match Report
40,,,,,10-10-12,,,28/32,,"2,509",2,2,0,0,18,6,4,0,1045,20,29,25,0.4,0.4,1.2,29,1,579,863,67.1,61,443,23,12,6,
