,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-04,Fri,UEFA Nations League,League B,Away,D 1–1,nir Northern Ireland,ro Romania,Y,DM,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/47a0a344/Romania-Northern-Ireland-September-4-2020-UEFA-Nations-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-12,Sat,Premier League,Matchweek 1,Away,W 2–0,Newcastle Utd,West Ham,Y,LB,90,0,0,0,0,0.0,0.0,0,0,50.0,2.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,32.0,41.0,78.0,3.0,33.0,0.0,0.0,0.0,/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–3,Newcastle Utd,Brighton,Y,LB,90,0,0,0,0,0.0,0.0,1,0,44.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,34.0,76.5,3.0,17.0,0.0,0.0,0.0,/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,0.0,0.5,0.4761904761904761
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-09-27,Sun,Premier League,Matchweek 3,Away,D 1–1,Newcastle Utd,Tottenham,N,LB,22,0,0,0,0,0.0,0.0,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,4.0,0.0,0.0,0.0,/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League,0.5,0.5,0.8809523809523808
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-09-30,Wed,EFL Cup,Fourth round,Away,D 1 (5)–1 (4),Newcastle Utd,Newport County,Y,LB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/23c0879d/Newport-County-Newcastle-United-September-30-2020-EFL-Cup,0.5,0.5,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-03,Sat,Premier League,Matchweek 4,Home,W 3–1,Newcastle Utd,Burnley,Y,LB,90,0,0,0,0,0.0,0.0,1,0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,45.0,71.1,1.0,33.0,1.0,0.0,0.0,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League,1.0,0.3333333333333333,0.3076923076923077
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-10-08,Thu,UEFA Euro Qualifying,Semi-finals,Away,D 1 (4)–1 (3),nir Northern Ireland,ba Bosnia & Herz'na,Y,LB,120,0,0,0,0,1.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/9fd93665/Bosnia-and-Herzegovina-Northern-Ireland-October-8-2020-UEFA-Euro-Qualifying,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-10-11,Sun,UEFA Nations League,League B,Home,L 0–1,nir Northern Ireland,at Austria,Y,LB,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/645d2ba8/Northern-Ireland-Austria-October-11-2020-UEFA-Nations-League,0.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-10-17,Sat,Premier League,Matchweek 5,Home,L 1–4,Newcastle Utd,Manchester Utd,Y,LB,90,0,0,0,0,0.0,0.0,0,0,47.0,1.0,1.0,2.0,0.0,0.0,0.1,2.0,0.0,28.0,37.0,75.7,4.0,19.0,1.0,3.0,3.0,/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League,0.0,0.5,0.5238095238095237
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-10-25,Sun,Premier League,Matchweek 6,Away,D 1–1,Newcastle Utd,Wolves,Y,LB,90,0,0,0,0,0.0,0.0,0,0,58.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,77.8,0.0,32.0,3.0,2.0,1.0,/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League,0.5,0.1666666666666666,0.7619047619047619
