,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2022-08-06,Sat,Matchweek 4,Home,L 0–1,Southampton,Manchester Utd,N,LB,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,/en/matches/dff99b20/Southampton-Manchester-United-August-27-2022-Premier-League
1,2022-08-06,Tue,Matchweek 5,Home,W 2–1,Southampton,Chelsea,Y,LB,72,16,9,7,0,0,0,1,7,0,0,0,0,11,0,0,/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League
2,2022-08-06,Sat,Matchweek 6,Away,L 0–1,Southampton,Wolves,Y,LB,72,30,25,5,0,0,0,4,5,0,0,0,0,16,0,1,/en/matches/13f50518/Wolverhampton-Wanderers-Southampton-September-3-2022-Premier-League
3,2022-08-06,Fri,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,Y,LB,45,20,15,5,0,0,0,1,5,0,0,0,0,13,0,3,/en/matches/1219daa1/Aston-Villa-Southampton-September-16-2022-Premier-League
4,2022-08-06,Sat,Matchweek 9,Home,L 1–2,Southampton,Everton,N,LB,31,23,20,3,0,0,0,3,3,0,0,0,0,19,0,2,/en/matches/06d00bcb/Southampton-Everton-October-1-2022-Premier-League
5,2022-08-06,Sat,Matchweek 10,Away,L 0–4,Southampton,Manchester City,Y,LB,90,39,34,5,1,0,0,4,4,0,0,0,0,32,0,0,/en/matches/864294c0/Manchester-City-Southampton-October-8-2022-Premier-League
6,2022-08-06,Sun,Matchweek 11,Home,D 1–1,Southampton,West Ham,Y,LB,90,36,32,4,0,0,0,2,4,0,0,0,0,27,0,1,/en/matches/2f5adfad/Southampton-West-Ham-United-October-16-2022-Premier-League
7,2022-08-06,Wed,Matchweek 12,Away,W 1–0,Southampton,Bournemouth,Y,LB,87,43,36,7,1,0,0,3,6,0,0,0,0,31,0,0,/en/matches/8a2bb3b6/Bournemouth-Southampton-October-19-2022-Premier-League
8,2022-08-06,Sun,Matchweek 13,Home,D 1–1,Southampton,Arsenal,Y,"LB,WB",90,30,24,5,0,0,0,3,5,0,0,0,0,22,1,1,/en/matches/d8138438/Southampton-Arsenal-October-23-2022-Premier-League
9,2022-08-06,Sat,Matchweek 14,Away,L 0–1,Southampton,Crystal Palace,Y,WB,73,38,34,3,0,0,0,6,3,0,0,0,0,26,1,1,/en/matches/4be07239/Crystal-Palace-Southampton-October-29-2022-Premier-League
10,2022-08-06,Sun,Matchweek 15,Home,L 1–4,Southampton,Newcastle Utd,Y,LB,90,58,50,6,0,0,0,5,6,0,0,0,0,40,2,4,/en/matches/57f9bcc9/Southampton-Newcastle-United-November-6-2022-Premier-League
