,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-10-29,Sat,Premier League,Matchweek 14,Away,D 0–0,Everton,Fulham,Y,RW,85,0,0,0,0,2,0,0,0,32.0,1.0,0,2.0,0.1,0.1,0.0,1.0,0.0,11.0,19.0,57.9,0.0,16.0,2.0,1.0,0.0,/en/matches/9c4402e1/Fulham-Everton-October-29-2022-Premier-League,0.5,0.3333333333333333,0.7976190476190477
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2022-11-05,Sat,Premier League,Matchweek 15,Home,L 0–2,Everton,Leicester City,N,LW,20,0,0,0,0,1,0,0,0,10.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,4.0,8.0,50.0,0.0,4.0,1.0,0.0,0.0,/en/matches/831c73fc/Everton-Leicester-City-November-5-2022-Premier-League,0.0,0.5,0.6555555555555554
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-11-08,Tue,EFL Cup,Third round,Away,L 1–4,Everton,Bournemouth,Y,FW,51,0,0,0,0,2,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/9900f678/Bournemouth-Everton-November-8-2022-EFL-Cup,0.0,0.5,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-11-12,Sat,Premier League,Matchweek 16,Away,L 0–3,Everton,Bournemouth,N,RW,16,0,0,0,0,0,0,0,0,11.0,1.0,0,1.0,0.0,0.0,0.1,2.0,0.0,9.0,10.0,90.0,0.0,8.0,0.0,0.0,0.0,/en/matches/54f23f03/Bournemouth-Everton-November-12-2022-Premier-League,0.0,0.1666666666666666,0.1666666666666666
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2022-12-26,Mon,Premier League,Matchweek 17,Home,L 1–2,Everton,Wolves,Y,RW,90,0,0,0,0,3,1,0,0,41.0,6.0,2,2.0,0.6,0.6,0.0,2.0,0.0,11.0,19.0,57.9,1.0,22.0,2.0,6.0,0.0,/en/matches/ef424180/Everton-Wolverhampton-Wanderers-December-26-2022-Premier-League,0.0,0.0,0.59375
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2023-01-06,Fri,FA Cup,Third round proper,Away,L 1–3,Everton,Manchester Utd,N,,10,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a93b3510/Manchester-United-Everton-January-6-2023-FA-Cup,0.0,0.0,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2023-01-14,Sat,Premier League,Matchweek 20,Home,L 1–2,Everton,Southampton,N,WB,22,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,25.0,1.0,8.0,1.0,2.0,2.0,/en/matches/11603f7f/Everton-Southampton-January-14-2023-Premier-League,0.0,0.0,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-02-04,Sat,Premier League,Matchweek 22,Home,D 1–1,Newcastle Utd,West Ham,N,LW,22,0,0,0,0,1,0,0,0,14.0,0.0,0,0.0,0.1,0.1,0.1,2.0,0.0,10.0,11.0,90.9,1.0,9.0,1.0,0.0,0.0,/en/matches/34e9160c/Newcastle-United-West-Ham-United-February-4-2023-Premier-League,0.5,0.0,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2023-02-11,Sat,Premier League,Matchweek 23,Away,D 1–1,Newcastle Utd,Bournemouth,N,"LM,LW",55,0,0,0,0,2,0,1,0,31.0,1.0,0,1.0,0.2,0.2,0.1,2.0,0.0,16.0,21.0,76.2,1.0,18.0,4.0,2.0,1.0,/en/matches/d9339e30/Bournemouth-Newcastle-United-February-11-2023-Premier-League,0.5,0.1666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2023-02-18,Sat,Premier League,Matchweek 24,Home,L 0–2,Newcastle Utd,Liverpool,N,RM,27,0,0,0,0,0,0,0,0,22.0,0.0,1,0.0,0.0,0.0,0.4,2.0,0.0,15.0,17.0,88.2,2.0,10.0,1.0,4.0,2.0,/en/matches/2f909763/Newcastle-United-Liverpool-February-18-2023-Premier-League,0.0,0.3333333333333333,0.5
