,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Away,L 2–3,Aston Villa,Watford,Y,"RW,LW",59,0,0,0,0,0,0,0,0,20.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,13.0,69.2,0.0,15.0,2.0,0.0,0.0,/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Home,W 2–0,Aston Villa,Newcastle Utd,Y,LW,90,1,0,1,1,2,0,0,0,25.0,1.0,0,0.0,0.8,0.1,0.0,1.0,0.0,12.0,15.0,80.0,0.0,19.0,1.0,1.0,0.0,/en/matches/662d4074/Aston-Villa-Newcastle-United-August-21-2021-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-24,Tue,EFL Cup,Second round,Away,W 6–0,Aston Villa,Barrow,Y,AM,62,2,2,1,1,3,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c211cfee/Barrow-Aston-Villa-August-24-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-28,Sat,Premier League,Matchweek 3,Home,D 1–1,Aston Villa,Brentford,Y,LM,90,0,0,0,0,1,0,1,0,50.0,1.0,0,4.0,0.0,0.0,0.2,5.0,1.0,26.0,31.0,83.9,4.0,32.0,3.0,5.0,3.0,/en/matches/a08ef96c/Aston-Villa-Brentford-August-28-2021-Premier-League,0.5,0.6666666666666666,0.619047619047619
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-22,Wed,EFL Cup,Third round,Away,D 1 (3)–1 (4),Aston Villa,Chelsea,Y,AM,90,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/29251311/Chelsea-Aston-Villa-September-22-2021-EFL-Cup,0.5,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-22,Fri,Premier League,Matchweek 9,Away,L 1–3,Aston Villa,Arsenal,N,LW,14,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,/en/matches/ac95a75a/Arsenal-Aston-Villa-October-22-2021-Premier-League,0.0,0.6666666666666666,0.7023809523809524
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-31,Sun,Premier League,Matchweek 10,Home,L 1–4,Aston Villa,West Ham,N,LM,19,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,37.5,0.0,4.0,1.0,2.0,0.0,/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League,0.0,0.3333333333333333,0.7857142857142858
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-11-05,Fri,Premier League,Matchweek 11,Away,L 0–1,Aston Villa,Southampton,Y,LW,78,0,0,0,0,3,1,1,0,36.0,0.0,0,0.0,0.2,0.2,0.1,2.0,0.0,15.0,25.0,60.0,0.0,22.0,3.0,1.0,0.0,/en/matches/868bd31f/Southampton-Aston-Villa-November-5-2021-Premier-League,0.0,0.1666666666666666,0.6785714285714285
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-11-20,Sat,Premier League,Matchweek 12,Home,W 2–0,Aston Villa,Brighton,N,LW,7,0,0,0,0,0,0,0,0,9.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,4.0,1.0,0.0,0.0,/en/matches/88f081ac/Aston-Villa-Brighton-and-Hove-Albion-November-20-2021-Premier-League,1.0,0.0,0.4642857142857142
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-11-27,Sat,Premier League,Matchweek 13,Away,W 2–1,Aston Villa,Crystal Palace,N,LW,14,0,1,0,0,0,0,0,0,14.0,2.0,0,0.0,0.0,0.0,0.1,1.0,1.0,6.0,10.0,60.0,0.0,10.0,2.0,1.0,1.0,/en/matches/4a7a9e3b/Crystal-Palace-Aston-Villa-November-27-2021-Premier-League,1.0,0.3333333333333333,0.7380952380952381
