,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2020-09-23,Wed,EFL Cup,Third round,Home,W 6–0,Chelsea,Barnsley,Y,LB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/9c3229db/Chelsea-Barnsley-September-23-2020-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,2020-09-29,Tue,EFL Cup,Fourth round,Away,D 1 (4)–1 (5),Chelsea,Tottenham,N,,25,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/2e02cd1a/Tottenham-Hotspur-Chelsea-September-29-2020-EFL-Cup,0.5,0.5,0.5
2,2,2,2,2,2,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,W 6–0,it Italy,md Moldova,N,,25,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/aec8b571/Italy-Moldova-October-7-2020-Friendlies-M,1.0,0.5,0.5
3,3,3,3,3,3,2020-10-11,Sun,UEFA Nations League,League A,Away,D 0–0,it Italy,pl Poland,Y,LB,90,0,0,0,0,3.0,1.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/c940abe8/Poland-Italy-October-11-2020-UEFA-Nations-League,0.5,0.8333333333333334,0.5
4,4,4,4,4,4,2020-10-28,Wed,Champions Lg,Group stage,Away,W 4–0,eng Chelsea,ru Krasnodar,N,LB,10,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,0.0,5.0,0.0,0.0,0.0,/en/matches/1ef61ea1/Krasnodar-Chelsea-October-28-2020-Champions-League,1.0,0.6666666666666666,0.5
5,5,5,5,5,5,2020-11-04,Wed,Champions Lg,Group stage,Home,W 3–0,eng Chelsea,fr Rennes,N,LB,28,0,0,0,0,0.0,0.0,0,0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,0.0,11.0,0.0,0.0,0.0,/en/matches/795e6e29/Chelsea-Rennes-November-4-2020-Champions-League,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,2020-11-11,Wed,Friendlies (M),Friendlies (M),Home,W 4–0,it Italy,ee Estonia,Y,LB,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/996d1f8f/Italy-Estonia-November-11-2020-Friendlies-M,1.0,0.8333333333333334,0.5
7,7,7,7,7,7,2020-11-15,Sun,UEFA Nations League,League A,Home,W 2–0,it Italy,pl Poland,Y,LB,90,0,0,0,0,1.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/c5e1e6a0/Italy-Poland-November-15-2020-UEFA-Nations-League,1.0,1.0,0.5
8,8,8,8,8,8,2020-11-18,Wed,UEFA Nations League,League A,Away,W 2–0,it Italy,ba Bosnia & Herz'na,Y,LB,90,0,0,0,0,2.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/e864fced/Bosnia-and-Herzegovina-Italy-November-18-2020-UEFA-Nations-League,1.0,1.0,0.5
9,9,9,9,9,9,2020-11-21,Sat,Premier League,Matchweek 9,Away,W 2–0,Chelsea,Newcastle Utd,N,LB,9,0,0,0,0,0.0,0.0,0,0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,8.0,0.0,0.0,0.0,/en/matches/dbcba6c6/Newcastle-United-Chelsea-November-21-2020-Premier-League,1.0,1.0,0.5000000000000001
