,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2023-09-18,Sat,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y,LB,90,52,58,89.7,783,264,33,35,94.3,16,19,84.2,2,3,66.7,0,0.0,0.0,0,2,0,0,1,/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League
1,2023-09-18,Tue,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y,LB,90,40,60,66.7,768,332,20,26,76.9,16,23,69.6,4,9,44.4,0,0.0,0.1,0,3,0,0,1,/en/matches/4f7b3f27/Luton-Town-Burnley-October-3-2023-Premier-League
2,2023-09-18,Sat,Matchweek 8,Home,L 1–4,Burnley,Chelsea,Y,LB,90,48,64,75.0,752,309,30,34,88.2,14,20,70.0,4,9,44.4,0,0.0,0.0,1,2,0,0,3,/en/matches/cfd83ca3/Burnley-Chelsea-October-7-2023-Premier-League
