,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Bournemouth,Brentford,N,"LW,LM",20,0,1,0,0,0,0,0,0,6.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,/en/matches/e2946b10/Brentford-Bournemouth-September-2-2023-Premier-League,0.5,0.5,0.6354166666666666
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-09-17,Sun,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Chelsea,Y,RW,72,0,0,0,0,2,1,0,0,26.0,1.0,0,0.0,0.1,0.1,0.0,3.0,0.0,15.0,19.0,78.9,0.0,16.0,3.0,5.0,3.0,/en/matches/be0cbf88/Bournemouth-Chelsea-September-17-2023-Premier-League,0.5,0.5,0.5357142857142857
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,Bournemouth,Brighton,Y,RW,62,0,0,0,0,0,0,0,0,29.0,2.0,2,2.0,0.0,0.0,0.1,1.0,0.0,14.0,19.0,73.7,2.0,15.0,0.0,5.0,4.0,/en/matches/5593f16c/Brighton-and-Hove-Albion-Bournemouth-September-24-2023-Premier-League,0.0,0.5,0.6041666666666666
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-27,Wed,EFL Cup,Third round,Home,W 2–0,Bournemouth,Stoke City,N,,29,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/22f62b32/Bournemouth-Stoke-City-September-27-2023-EFL-Cup,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–4,Bournemouth,Arsenal,Y,RW,58,0,0,0,0,1,0,0,0,26.0,0.0,0,1.0,0.0,0.0,0.1,2.0,0.0,9.0,18.0,50.0,1.0,13.0,4.0,4.0,2.0,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,0.0,0.5,0.8437500000000001
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 0–3,Bournemouth,Everton,Y,"RW,LB",90,0,0,0,0,2,1,0,0,64.0,1.0,0,3.0,0.0,0.0,0.0,2.0,0.0,36.0,46.0,78.3,4.0,32.0,5.0,10.0,7.0,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League,0.0,0.3333333333333333,0.6190476190476192
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-10-21,Sat,Premier League,Matchweek 9,Home,L 1–2,Bournemouth,Wolves,Y,LW,74,0,0,0,0,0,0,0,0,29.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,20.0,80.0,1.0,18.0,3.0,4.0,2.0,/en/matches/007b352e/Bournemouth-Wolverhampton-Wanderers-October-21-2023-Premier-League,0.0,0.3333333333333333,0.5357142857142857
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 2–1,Bournemouth,Burnley,Y,LW,81,0,0,0,0,3,2,0,0,55.0,8.0,0,1.0,0.4,0.4,0.0,2.0,0.0,25.0,41.0,61.0,1.0,29.0,0.0,3.0,2.0,/en/matches/c4c42d3e/Bournemouth-Burnley-October-28-2023-Premier-League,1.0,0.0,0.3854166666666666
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-11-01,Wed,EFL Cup,Fourth round,Home,L 1–2,Bournemouth,Liverpool,N,,30,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fcc1e67b/Bournemouth-Liverpool-November-1-2023-EFL-Cup,0.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 1–6,Bournemouth,Manchester City,Y,LM,71,0,0,0,0,0,0,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,65.0,0.0,13.0,0.0,0.0,0.0,/en/matches/e75a870b/Manchester-City-Bournemouth-November-4-2023-Premier-League,0.0,0.3333333333333333,0.8645833333333333
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 2–0,Bournemouth,Newcastle Utd,Y,"LW,RW",89,0,0,0,0,2,1,0,0,57.0,3.0,0,2.0,0.2,0.2,0.1,4.0,0.0,36.0,43.0,83.7,6.0,32.0,7.0,2.0,2.0,/en/matches/641024cf/Bournemouth-Newcastle-United-November-11-2023-Premier-League,1.0,0.3333333333333333,0.6
