,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-06-25,Sun,Matchweek 33,Home,W 1–0,Southampton,Manchester City,N,"On matchday squad, but did not play",/en/matches/260c5c31/Southampton-Manchester-City-July-5-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2020-06-25,Thu,Matchweek 34,Away,D 1–1,Southampton,Everton,N,"On matchday squad, but did not play",/en/matches/1357ee3b/Everton-Southampton-July-9-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2020-06-25,Mon,Matchweek 35,Away,D 2–2,Southampton,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/668c9423/Manchester-United-Southampton-July-13-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2020-06-25,Thu,Matchweek 36,Home,D 1–1,Southampton,Brighton,Y,LB,90,57,71,80.3,922,312,26,27,96.3,23,29,79.3,5,9,55.6,0,0.1,0.1,1,6,2,0,3,/en/matches/793f900e/Southampton-Brighton-and-Hove-Albion-July-16-2020-Premier-League
4,2020-06-25,Sun,Matchweek 37,Away,W 2–0,Southampton,Bournemouth,N,"On matchday squad, but did not play",/en/matches/bbd4160f/Bournemouth-Southampton-July-19-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2020-06-25,Sun,Matchweek 38,Home,W 3–1,Southampton,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/3e5b45b7/Southampton-Sheffield-United-July-26-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
