,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2019-10-26,Sat,Premier League,Matchweek 10,Home,W 3–2,Brighton,Everton,N,RM,25.0,0,0,0,0,0,0,0,0,11.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,1.0,4.0,0.0,0.0,0.0,/en/matches/f728ceea/Brighton-and-Hove-Albion-Everton-October-26-2019-Premier-League,1.0,0.5,0.6071428571428571
1,1,1,1,1,1,1,2019-11-02,Sat,Premier League,Matchweek 11,Home,W 2–0,Brighton,Norwich City,N,FW,5.0,0,0,0,0,1,0,0,0,3.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,1.0,0.0,0.0,/en/matches/21f39009/Brighton-and-Hove-Albion-Norwich-City-November-2-2019-Premier-League,1.0,0.5,0.1904761904761904
2,2,2,2,2,2,2,2019-11-23,Sat,Premier League,Matchweek 13,Home,L 0–2,Brighton,Leicester City,N,RB,14.0,0,0,0,0,0,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,100.0,3.0,7.0,1.0,0.0,0.0,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League,0.0,0.5,0.9642857142857144
3,3,3,3,3,3,3,2019-12-26,Thu,Premier League,Matchweek 19,Away,L 1–2,Brighton,Tottenham,Y,"WB,RB",82.0,0,0,0,0,0,0,0,0,43.0,1.0,1,1.0,0.0,0.0,0.0,2.0,1.0,26.0,32.0,81.3,1.0,22.0,3.0,2.0,2.0,/en/matches/eebe09b9/Tottenham-Hotspur-Brighton-and-Hove-Albion-December-26-2019-Premier-League,0.0,0.6666666666666666,0.4999999999999999
4,4,4,4,4,4,4,2020-01-04,Sat,FA Cup,Third round,Home,L 0–1,Brighton,Sheffield Weds,Y,RM,90.0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d9c16c13/Brighton-and-Hove-Albion-Sheffield-Wednesday-January-4-2020-FA-Cup,0.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,2020-02-01,Sat,Premier League,Matchweek 25,Away,D 3–3,Brighton,West Ham,N,RB,19.0,0,0,0,0,0,0,0,0,29.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,22.0,59.1,1.0,16.0,0.0,1.0,0.0,/en/matches/14d877cc/West-Ham-United-Brighton-and-Hove-Albion-February-1-2020-Premier-League,0.5,0.0,0.5
6,6,6,6,6,6,6,2020-02-08,Sat,Premier League,Matchweek 26,Home,D 1–1,Brighton,Watford,Y,RB,72.0,0,0,0,0,1,0,1,0,51.0,0.0,1,0.0,0.1,0.1,0.0,1.0,0.0,32.0,44.0,72.7,3.0,24.0,4.0,1.0,0.0,/en/matches/111b8b45/Brighton-and-Hove-Albion-Watford-February-8-2020-Premier-League,0.5,0.1666666666666666,0.5
7,7,7,7,7,7,7,2020-02-22,Sat,Premier League,Matchweek 27,Away,D 1–1,Brighton,Sheffield Utd,Y,RB,74.0,0,0,0,0,1,0,0,0,50.0,1.0,4,0.0,0.1,0.1,0.0,1.0,0.0,13.0,28.0,46.4,0.0,22.0,2.0,4.0,3.0,/en/matches/c24b02bd/Sheffield-United-Brighton-and-Hove-Albion-February-22-2020-Premier-League,0.5,0.3333333333333333,0.5
8,8,8,8,8,8,8,2020-02-29,Sat,Premier League,Matchweek 28,Home,L 0–1,Brighton,Crystal Palace,N,,,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/aeb979e2/Brighton-and-Hove-Albion-Crystal-Palace-February-29-2020-Premier-League,0.0,0.5,0.5
9,9,9,9,9,9,9,2020-06-20,Sat,Premier League,Matchweek 30,Home,W 2–1,Brighton,Arsenal,Y,RB,70.0,0,0,0,0,1,1,0,0,33.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,67.9,0.0,17.0,4.0,0.0,0.0,/en/matches/1abcdcde/Brighton-and-Hove-Albion-Arsenal-June-20-2020-Premier-League,1.0,0.3333333333333333,0.5
