,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2020-09-06,Sun,UEFA Nations League,League B,Away,D 0–0,tr Türkiye,rs Serbia,Y,CB,90,0,0,0,0,1.0,0.0,1,0,,,4.0,,,,,,,,,,,,,,,/en/matches/2b8c2420/Serbia-Turkiye-September-6-2020-UEFA-Nations-League,0.5,0.5,0.5
1,1,1,1,2020-09-18,Fri,Bundesliga,Matchweek 1,Away,L 0–8,Schalke 04,Bayern Munich,Y,CB,90,0,0,0,0,0.0,0.0,1,0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,39.0,94.9,4.0,23.0,0.0,6.0,4.0,/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,0.0,0.5,0.5
2,2,2,2,2020-09-26,Sat,Bundesliga,Matchweek 2,Home,L 1–3,Schalke 04,Werder Bremen,Y,CB,83,0,0,0,0,0.0,0.0,2,1,64.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,45.0,51.0,88.2,3.0,39.0,0.0,2.0,2.0,/en/matches/075c3255/Schalke-04-Werder-Bremen-September-26-2020-Bundesliga,0.0,0.5,0.5
3,3,3,3,2020-10-07,Wed,Friendlies (M),Friendlies (M),Away,D 3–3,tr Türkiye,de Germany,N,,16,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c693c08e/Germany-Turkiye-October-7-2020-Friendlies-M,0.5,0.1666666666666666,0.5
4,4,4,4,2020-10-11,Sun,UEFA Nations League,League B,Away,D 1–1,tr Türkiye,ru Russia,Y,CB,90,0,0,0,0,0.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8fbbf3e8/Russia-Turkiye-October-11-2020-UEFA-Nations-League,0.5,0.1666666666666666,0.5
5,5,5,5,2020-11-07,Sat,Bundesliga,Matchweek 7,Away,D 2–2,Schalke 04,Mainz 05,Y,CB,80,0,0,0,0,4.0,0.0,1,0,76.0,0.0,0.0,2.0,0.5,0.5,0.1,3.0,0.0,59.0,64.0,92.2,9.0,59.0,2.0,3.0,2.0,/en/matches/f12d89c7/Mainz-05-Schalke-04-November-7-2020-Bundesliga,0.5,0.3333333333333333,0.5
6,6,6,6,2020-11-11,Wed,Friendlies (M),Friendlies (M),Home,D 3–3,tr Türkiye,hr Croatia,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/b63e435c/Turkiye-Croatia-November-11-2020-Friendlies-M,0.5,0.5,0.5
7,7,7,7,2020-11-15,Sun,UEFA Nations League,League B,Home,W 3–2,tr Türkiye,ru Russia,N,,27,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/4de26b78/Turkiye-Russia-November-15-2020-UEFA-Nations-League,1.0,0.5,0.5
8,8,8,8,2020-11-18,Wed,UEFA Nations League,League B,Away,L 0–2,tr Türkiye,hu Hungary,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/646580bb/Hungary-Turkiye-November-18-2020-UEFA-Nations-League,0.0,0.6666666666666666,0.5
9,9,9,9,2020-11-28,Sat,Bundesliga,Matchweek 9,Away,L 1–4,Schalke 04,M'Gladbach,Y,CB,90,0,0,0,0,0.0,0.0,0,0,56.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,42.0,88.1,2.0,35.0,1.0,4.0,2.0,/en/matches/56d26e32/Monchengladbach-Schalke-04-November-28-2020-Bundesliga,0.0,0.5,0.5
10,10,10,10,2020-12-06,Sun,Bundesliga,Matchweek 10,Home,L 0–3,Schalke 04,Leverkusen,Y,CB,90,0,0,0,0,2.0,0.0,0,0,38.0,0.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,23.0,30.0,76.7,3.0,23.0,1.0,0.0,0.0,/en/matches/eee4567b/Schalke-04-Bayer-Leverkusen-December-6-2020-Bundesliga,0.0,0.3333333333333333,0.5
11,11,11,11,2020-12-13,Sun,Bundesliga,Matchweek 11,Away,D 2–2,Schalke 04,Augsburg,Y,CB,90,0,0,0,0,0.0,0.0,1,0,78.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,61.0,70.0,87.1,5.0,57.0,1.0,3.0,2.0,/en/matches/1be1089b/Augsburg-Schalke-04-December-13-2020-Bundesliga,0.5,0.0,0.5
12,12,12,12,2020-12-16,Wed,Bundesliga,Matchweek 12,Home,L 0–2,Schalke 04,Freiburg,Y,CB,90,0,0,0,0,1.0,0.0,0,0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,81.0,87.7,3.0,68.0,0.0,0.0,0.0,/en/matches/71693047/Schalke-04-Freiburg-December-16-2020-Bundesliga,0.0,0.1666666666666666,0.5
13,13,13,13,2020-12-19,Sat,Bundesliga,Matchweek 13,Home,L 0–1,Schalke 04,Arminia,Y,CB,90,0,0,0,0,1.0,0.0,0,0,51.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,82.4,3.0,26.0,0.0,2.0,1.0,/en/matches/844cb66a/Schalke-04-Arminia-December-19-2020-Bundesliga,0.0,0.1666666666666666,0.5
14,14,14,14,2021-01-02,Sat,Bundesliga,Matchweek 14,Away,L 0–3,Schalke 04,Hertha BSC,Y,CB,90,0,0,0,0,0.0,0.0,0,0,40.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,23.0,28.0,82.1,1.0,17.0,0.0,0.0,0.0,/en/matches/fa99b883/Hertha-BSC-Schalke-04-January-2-2021-Bundesliga,0.0,0.1666666666666666,0.5
15,15,15,15,2021-01-09,Sat,Bundesliga,Matchweek 15,Home,W 4–0,Schalke 04,Hoffenheim,Y,CB,90,0,0,0,0,1.0,0.0,1,0,51.0,1.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,36.0,43.0,83.7,4.0,33.0,1.0,1.0,1.0,/en/matches/f00e265e/Schalke-04-Hoffenheim-January-9-2021-Bundesliga,1.0,0.0,0.5
16,16,16,16,2021-01-17,Sun,Bundesliga,Matchweek 16,Away,L 1–3,Schalke 04,Eint Frankfurt,Y,CB,90,0,0,0,0,0.0,0.0,0,0,34.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,1.0,19.0,0.0,0.0,0.0,/en/matches/818dc8f0/Eintracht-Frankfurt-Schalke-04-January-17-2021-Bundesliga,0.0,0.3333333333333333,0.5
17,17,17,17,2021-01-20,Wed,Bundesliga,Matchweek 17,Home,L 1–2,Schalke 04,Köln,Y,CB,90,0,0,0,0,1.0,0.0,0,0,94.0,2.0,1.0,1.0,0.1,0.1,0.1,3.0,0.0,71.0,80.0,88.8,6.0,67.0,1.0,4.0,3.0,/en/matches/291968f3/Schalke-04-Koln-January-20-2021-Bundesliga,0.0,0.3333333333333333,0.5
18,18,18,18,2021-01-24,Sun,Bundesliga,Matchweek 18,Home,L 0–4,Schalke 04,Bayern Munich,Y,CB,90,0,0,0,0,2.0,0.0,0,0,39.0,0.0,1.0,3.0,0.2,0.2,0.0,0.0,0.0,25.0,27.0,92.6,3.0,14.0,1.0,2.0,1.0,/en/matches/515026cb/Schalke-04-Bayern-Munich-January-24-2021-Bundesliga,0.0,0.3333333333333333,0.5
19,19,19,19,2021-01-30,Sat,Bundesliga,Matchweek 19,Away,D 1–1,Schalke 04,Werder Bremen,Y,CB,90,0,0,0,0,0.0,0.0,0,0,92.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,77.0,94.8,7.0,58.0,1.0,1.0,0.0,/en/matches/975c5e67/Werder-Bremen-Schalke-04-January-30-2021-Bundesliga,0.5,0.0,0.5
20,20,20,20,2021-02-13,Sat,Premier League,Matchweek 24,Away,L 1–3,Liverpool,Leicester City,Y,CB,90,0,0,0,0,0.0,0.0,1,0,58.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,51.0,94.1,3.0,37.0,1.0,0.0,0.0,/en/matches/666f6961/Leicester-City-Liverpool-February-13-2021-Premier-League,0.0,0.1666666666666666,0.5
21,21,21,21,2021-02-16,Tue,Champions Lg,Round of 16,Away,W 2–0,eng Liverpool,de RB Leipzig,Y,CB,90,0,0,0,0,0.0,0.0,1,0,64.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,51.0,84.3,1.0,40.0,0.0,1.0,1.0,/en/matches/a986c2fd/RB-Leipzig-Liverpool-February-16-2021-Champions-League,1.0,0.1666666666666666,0.5
22,22,22,22,2021-02-20,Sat,Premier League,Matchweek 25,Home,L 0–2,Liverpool,Everton,Y,CB,90,0,0,0,0,0.0,0.0,1,0,95.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,86.0,93.0,3.0,60.0,0.0,0.0,0.0,/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League,0.0,0.5,0.5
23,23,23,23,2021-02-28,Sun,Premier League,Matchweek 26,Away,W 2–0,Liverpool,Sheffield Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,73.0,79.5,2.0,54.0,0.0,0.0,0.0,/en/matches/3826d9aa/Sheffield-United-Liverpool-February-28-2021-Premier-League,1.0,0.3333333333333333,0.5
24,24,24,24,2021-03-04,Thu,Premier League,Matchweek 29,Home,L 0–1,Liverpool,Chelsea,Y,CB,90,0,0,0,0,0.0,0.0,0,0,87.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,67.0,73.0,91.8,2.0,63.0,0.0,0.0,0.0,/en/matches/86920e88/Liverpool-Chelsea-March-4-2021-Premier-League,0.0,0.6666666666666666,0.5
25,25,25,25,2021-03-10,Wed,Champions Lg,Round of 16,Home,W 2–0,eng Liverpool,de RB Leipzig,Y,CB,90,0,0,0,0,0.0,0.0,0,0,42.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,35.0,77.1,1.0,22.0,0.0,1.0,1.0,/en/matches/0120c1ad/Liverpool-RB-Leipzig-March-10-2021-Champions-League,1.0,0.3333333333333333,0.5
26,26,26,26,2021-03-15,Mon,Premier League,Matchweek 28,Away,W 1–0,Liverpool,Wolves,Y,CB,90,0,0,0,0,1.0,0.0,0,0,54.0,2.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,36.0,41.0,87.8,3.0,28.0,0.0,1.0,1.0,/en/matches/ad3063c2/Wolverhampton-Wanderers-Liverpool-March-15-2021-Premier-League,1.0,0.6666666666666666,0.5
27,27,27,27,2021-03-24,Wed,WCQ,First round,Home,W 4–2,tr Türkiye,nl Netherlands,Y,CB,90,0,0,0,0,0.0,0.0,1,0,,,3.0,,,,,,,,,,,,,,,/en/matches/610e3a27/Turkiye-Netherlands-March-24-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
