,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,2022-08-07,Sun,Premier League,Matchweek 1,Home,L 0–2,West Ham,Manchester City,Y,CB,90,0,0,0,0,0.0,0.0,0,0,45.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,3.0,24.0,0.0,1.0,1.0,/en/matches/ece62baf/West-Ham-United-Manchester-City-August-7-2022-Premier-League,0.0,0.5,0.4166666666666667
1,1,1,1,1,1,1,1,1,1,1,2022-08-14,Sun,Premier League,Matchweek 2,Away,L 0–1,West Ham,Nott'ham Forest,Y,CB,90,0,0,0,0,0.0,0.0,0,0,42.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,58.8,2.0,7.0,0.0,1.0,0.0,/en/matches/b1ebeda5/Nottingham-Forest-West-Ham-United-August-14-2022-Premier-League,0.0,0.5,0.4404761904761904
2,2,2,2,2,2,2,2,2,2,2,2022-08-18,Thu,Conf Lg,Play-off round,Home,W 3–1,eng West Ham,dk Viborg,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3d017f98/West-Ham-United-Viborg-August-18-2022-Europa-Conference-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,2022-08-21,Sun,Premier League,Matchweek 3,Home,L 0–2,West Ham,Brighton,N,RB,16,0,0,0,0,0.0,0.0,0,0,19.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,16.0,17.0,94.1,3.0,10.0,2.0,0.0,0.0,/en/matches/aa2a3517/West-Ham-United-Brighton-and-Hove-Albion-August-21-2022-Premier-League,0.0,0.3333333333333333,0.5238095238095238
4,4,4,4,4,4,4,4,4,4,4,2022-08-25,Thu,Conf Lg,Play-off round,Away,W 3–0,eng West Ham,dk Viborg,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/186dcc75/Viborg-West-Ham-United-August-25-2022-Europa-Conference-League,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,5,5,5,5,2022-08-28,Sun,Premier League,Matchweek 4,Away,W 1–0,West Ham,Aston Villa,Y,WB,22,0,0,0,0,0.0,0.0,0,0,17.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,6.0,0.0,0.0,0.0,/en/matches/659b9113/Aston-Villa-West-Ham-United-August-28-2022-Premier-League,1.0,0.6666666666666666,0.5777777777777777
6,6,6,6,6,6,6,6,6,6,6,2022-10-06,Thu,Conf Lg,Group stage,Away,W 1–0,eng West Ham,be Anderlecht,Y,CB,90,0,0,0,0,0.0,0.0,0,0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,69.0,85.5,9.0,45.0,2.0,1.0,1.0,/en/matches/e89660f6/Anderlecht-West-Ham-United-October-6-2022-Europa-Conference-League,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,2022-10-13,Thu,Conf Lg,Group stage,Home,W 2–1,eng West Ham,be Anderlecht,Y,CB,90,0,0,0,0,0.0,0.0,1,0,75.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,66.0,87.9,5.0,43.0,1.0,0.0,0.0,/en/matches/ee2454c5/West-Ham-United-Anderlecht-October-13-2022-Europa-Conference-League,1.0,1.0,0.5
8,8,8,8,8,8,8,8,8,8,8,2022-10-16,Sun,Premier League,Matchweek 11,Away,D 1–1,West Ham,Southampton,Y,CB,90,0,0,0,0,0.0,0.0,0,0,75.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,54.0,66.0,81.8,6.0,36.0,0.0,0.0,0.0,/en/matches/2f5adfad/Southampton-West-Ham-United-October-16-2022-Premier-League,0.5,1.0,0.1249999999999999
9,9,9,9,9,9,9,9,9,9,9,2022-10-19,Wed,Premier League,Matchweek 12,Away,L 0–1,West Ham,Liverpool,Y,RB,90,0,0,0,0,0.0,0.0,0,0,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,78.0,71.8,6.0,44.0,3.0,6.0,3.0,/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,0.0,0.8333333333333334,0.6874999999999999
