,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
25,25,25,25,25,25,25,25,25,25,2022-03-05,Sat,Championship,Matchweek 36,Away,W 2–1,Cardiff City,QPR,Y,WB,90,0,0,0,0,0.0,0.0,0,0,57.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,26.0,45.0,57.8,4.0,23.0,3.0,1.0,0.0,/en/matches/3d92984a/Queens-Park-Rangers-Cardiff-City-March-5-2022-Championship,1.0,0.3333333333333333,0.5
26,26,26,26,26,26,26,26,26,26,2022-03-12,Sat,Championship,Matchweek 37,Home,D 0–0,Cardiff City,Preston,Y,RB,90,0,0,0,0,1.0,0.0,0,0,58.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,40.0,70.0,4.0,24.0,2.0,5.0,2.0,/en/matches/f30cb475/Cardiff-City-Preston-North-End-March-12-2022-Championship,0.5,0.6666666666666666,0.5
27,27,27,27,27,27,27,27,27,27,2022-03-16,Wed,Championship,Matchweek 38,Home,W 2–1,Cardiff City,Stoke City,Y,RB,90,0,1,0,0,1.0,0.0,0,0,50.0,6.0,2.0,1.0,0.1,0.1,0.4,4.0,1.0,28.0,38.0,73.7,2.0,17.0,6.0,6.0,4.0,/en/matches/3bb7bd03/Cardiff-City-Stoke-City-March-16-2022-Championship,1.0,0.8333333333333334,0.5
28,28,28,28,28,28,28,28,28,28,2022-04-02,Sat,Championship,Matchweek 40,Home,L 0–4,Cardiff City,Swansea City,Y,RB,90,0,0,0,0,1.0,0.0,0,0,51.0,4.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,31.0,42.0,73.8,3.0,23.0,6.0,5.0,5.0,/en/matches/4cd4a29b/Cardiff-City-Swansea-City-April-2-2022-Championship,0.0,0.8333333333333334,0.5
29,29,29,29,29,29,29,29,29,29,2022-04-09,Sat,Championship,Matchweek 41,Away,W 2–1,Cardiff City,Reading,Y,RB,90,0,0,0,0,0.0,0.0,0,0,80.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,63.0,65.1,1.0,32.0,2.0,2.0,1.0,/en/matches/5fbde557/Reading-Cardiff-City-April-9-2022-Championship,1.0,0.5,0.5
30,30,30,30,30,30,30,30,30,30,2022-04-15,Fri,Championship,Matchweek 42,Away,L 1–2,Cardiff City,Hull City,Y,"RB,RM",90,0,0,0,0,0.0,0.0,0,0,61.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,41.0,50.0,82.0,6.0,31.0,2.0,1.0,1.0,/en/matches/b588c560/Hull-City-Cardiff-City-April-15-2022-Championship,0.0,0.6666666666666666,0.5
31,31,31,31,31,31,31,31,31,31,2022-04-18,Mon,Championship,Matchweek 43,Home,L 0–1,Cardiff City,Luton Town,Y,RB,90,0,0,0,0,0.0,0.0,0,0,80.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,69.0,62.3,3.0,39.0,1.0,2.0,1.0,/en/matches/74fc93f3/Cardiff-City-Luton-Town-April-18-2022-Championship,0.0,0.3333333333333333,0.5
32,32,32,32,32,32,32,32,32,32,2022-04-23,Sat,Championship,Matchweek 44,Away,L 0–1,Cardiff City,Sheffield Utd,Y,WB,45,0,0,0,0,0.0,0.0,0,0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,50.0,0.0,13.0,1.0,1.0,1.0,/en/matches/2284293e/Sheffield-United-Cardiff-City-April-23-2022-Championship,0.0,0.3333333333333333,0.5
33,33,33,33,33,33,33,33,33,33,2022-04-27,Wed,Championship,Matchweek 39,Away,L 0–2,Cardiff City,Middlesbrough,Y,RB,90,0,0,0,0,0.0,0.0,0,0,70.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,58.0,87.9,1.0,30.0,2.0,1.0,0.0,/en/matches/415d371b/Middlesbrough-Cardiff-City-April-27-2022-Championship,0.0,0.0,0.5
34,34,34,34,34,34,34,34,34,34,2022-04-30,Sat,Championship,Matchweek 45,Home,D 1–1,Cardiff City,Birmingham City,Y,RB,90,0,0,0,0,1.0,1.0,1,0,66.0,2.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,37.0,52.0,71.2,3.0,36.0,6.0,1.0,0.0,/en/matches/ef2f6953/Cardiff-City-Birmingham-City-April-30-2022-Championship,0.5,0.0,0.5
35,35,35,35,35,35,35,35,35,35,2022-05-07,Sat,Championship,Matchweek 46,Away,W 1–0,Cardiff City,Derby County,Y,RB,90,0,0,0,0,0.0,0.0,0,0,45.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,40.0,77.5,2.0,14.0,0.0,0.0,0.0,/en/matches/1c12d9ed/Derby-County-Cardiff-City-May-7-2022-Championship,1.0,0.1666666666666666,0.5
