,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,2021-08-24,Tue,EFL Cup,Second round,Home,W 1–0,Watford,Crystal Palace,Y,FW,90,1,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e7c899e5/Watford-Crystal-Palace-August-24-2021-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,2021-09-21,Tue,EFL Cup,Third round,Home,L 1–3,Watford,Stoke City,Y,FW,90,1,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7cfca76c/Watford-Stoke-City-September-21-2021-EFL-Cup,0.0,0.5,0.5
2,2,2,2,2,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–1,Watford,Southampton,N,FW,9,0,0,0,0,1,1,0,0,2.0,0.0,0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,/en/matches/e3521093/Watford-Southampton-October-30-2021-Premier-League,0.0,0.5,0.5714285714285714
3,3,3,3,3,2021-11-07,Sun,Premier League,Matchweek 11,Away,L 0–1,Watford,Arsenal,N,FW,1,0,0,0,0,0,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League,0.0,0.3333333333333333,0.9047619047619048
4,4,4,4,4,2021-11-28,Sun,Premier League,Matchweek 13,Away,L 2–4,Watford,Leicester City,N,FW,20,0,0,0,0,1,0,0,0,11.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,50.0,0.0,9.0,1.0,0.0,0.0,/en/matches/c2e426c8/Leicester-City-Watford-November-28-2021-Premier-League,0.0,0.0,0.5000000000000001
5,5,5,5,5,2022-01-08,Sat,FA Cup,Third round proper,Away,L 1–4,Watford,Leicester City,Y,AM,57,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fd2ca892/Leicester-City-Watford-January-8-2022-FA-Cup,0.0,0.0,0.5
6,6,6,6,6,2022-03-20,Sun,MLS,Regular Season,Home,D 1–1,NY Red Bulls,Columbus Crew,N,FW,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,/en/matches/c070de8f/New-York-Red-Bulls-Columbus-Crew-March-20-2022-Major-League-Soccer,0.5,0.0,0.5
7,7,7,7,7,2022-04-02,Sat,MLS,Regular Season,Away,W 1–0,NY Red Bulls,New England,N,FW,13,0,0,0,0,1,0,0,0,13.0,1.0,0,2.0,0.1,0.1,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,0.0,1.0,1.0,/en/matches/067487d2/New-England-Revolution-New-York-Red-Bulls-April-2-2022-Major-League-Soccer,1.0,0.1666666666666666,0.5
8,8,8,8,8,2022-04-09,Sat,MLS,Regular Season,Home,L 1–2,NY Red Bulls,CF Montréal,N,"RB,RW",7,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,1.0,0.0,/en/matches/945ec24e/New-York-Red-Bulls-CF-Montreal-April-9-2022-Major-League-Soccer,0.0,0.5,0.5
9,9,9,9,9,2022-04-16,Sat,MLS,Regular Season,Home,D 0–0,NY Red Bulls,FC Dallas,Y,FW,71,0,0,0,0,2,0,0,0,33.0,1.0,0,2.0,0.2,0.2,0.0,2.0,0.0,17.0,23.0,73.9,3.0,18.0,1.0,5.0,3.0,/en/matches/8512d9a7/New-York-Red-Bulls-FC-Dallas-April-16-2022-Major-League-Soccer,0.5,0.5,0.5
10,10,10,10,10,2022-04-24,Sun,MLS,Regular Season,Away,W 3–0,NY Red Bulls,Orlando City,Y,FW,57,0,0,0,0,4,2,1,0,20.0,0.0,1,1.0,0.2,0.2,0.3,3.0,0.0,4.0,8.0,50.0,1.0,6.0,0.0,0.0,0.0,/en/matches/8be73858/Orlando-City-New-York-Red-Bulls-April-24-2022-Major-League-Soccer,1.0,0.5,0.5
11,11,11,11,11,2022-04-30,Sat,MLS,Regular Season,Away,W 2–1,NY Red Bulls,Chicago Fire,Y,FW,55,0,0,0,0,2,1,1,0,19.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,11.0,45.5,0.0,9.0,0.0,0.0,0.0,/en/matches/55abf826/Chicago-Fire-New-York-Red-Bulls-April-30-2022-Major-League-Soccer,1.0,0.5,0.5
12,12,12,12,12,2022-06-11,Sat,MLS,Regular Season,Away,L 0–2,NY Red Bulls,Charlotte,N,"FW,AM",45,0,0,0,0,1,0,0,0,18.0,0.0,1,0.0,0.0,0.0,0.3,2.0,0.0,8.0,10.0,80.0,1.0,11.0,0.0,1.0,0.0,/en/matches/12f702e6/Charlotte-FC-New-York-Red-Bulls-June-11-2022-Major-League-Soccer,0.0,0.8333333333333334,0.5
