,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2021-09-11,Sat,Matchweek 8,Home,L 2–3,Aston Villa,Wolves,N,"On matchday squad, but did not play",/en/matches/a1668499/Aston-Villa-Wolverhampton-Wanderers-October-16-2021-Premier-League,,,,,,,,,,,,,,,,,
1,2021-09-11,Fri,Matchweek 9,Away,L 1–3,Aston Villa,Arsenal,N,"On matchday squad, but did not play",/en/matches/ac95a75a/Arsenal-Aston-Villa-October-22-2021-Premier-League,,,,,,,,,,,,,,,,,
2,2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-09-11,Sat,Matchweek 12,Home,W 2–0,Aston Villa,Brighton,N,"On matchday squad, but did not play",/en/matches/88f081ac/Aston-Villa-Brighton-and-Hove-Albion-November-20-2021-Premier-League,,,,,,,,,,,,,,,,,
4,2021-09-11,Sat,Matchweek 13,Away,W 2–1,Aston Villa,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/4a7a9e3b/Crystal-Palace-Aston-Villa-November-27-2021-Premier-League,,,,,,,,,,,,,,,,,
5,2021-09-11,Wed,Matchweek 14,Home,L 1–2,Aston Villa,Manchester City,N,LM,14,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,/en/matches/1993b7ec/Aston-Villa-Manchester-City-December-1-2021-Premier-League
6,2021-09-11,Sun,Matchweek 15,Home,W 2–1,Aston Villa,Leicester City,N,"CM,LM",14,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,/en/matches/49cc65ac/Aston-Villa-Leicester-City-December-5-2021-Premier-League
7,2021-09-11,Sat,Matchweek 16,Away,L 0–1,Aston Villa,Liverpool,N,CM,34,2,1,1,0,1,0,1,0.0,1,3,0,3,1,3,0,0,/en/matches/678d7dca/Liverpool-Aston-Villa-December-11-2021-Premier-League
8,2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-09-11,Sun,Matchweek 19,Home,L 1–3,Aston Villa,Chelsea,Y,RM,75,4,1,4,0,0,1,1,100.0,0,2,0,2,2,6,1,0,/en/matches/61396bd8/Aston-Villa-Chelsea-December-26-2021-Premier-League
