,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-09-25,Sat,Premier League,Matchweek 6,Home,L 0–1,Manchester Utd,Aston Villa,Y,AM,90,0,0,0,1,5.0,0.0,0,0,65.0,1.0,2.0,0.0,1.0,0.2,0.5,14.0,0.0,37.0,56.0,66.1,8.0,38.0,3.0,3.0,3.0,/en/matches/7c21232e/Manchester-United-Aston-Villa-September-25-2021-Premier-League,0.0,0.3333333333333333,0.6153846153846154
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-09-29,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester Utd,es Villarreal,Y*,AM,90,0,1,0,0,3.0,0.0,0,0,68.0,3.0,0.0,0.0,0.1,0.1,0.2,5.0,1.0,41.0,54.0,75.9,8.0,33.0,1.0,3.0,2.0,/en/matches/8ad62c4a/Manchester-United-Villarreal-September-29-2021-Champions-League,1.0,0.3333333333333333,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-10-02,Sat,Premier League,Matchweek 7,Home,D 1–1,Manchester Utd,Everton,Y*,AM,90,0,1,0,0,1.0,0.0,0,0,104.0,2.0,0.0,1.0,0.0,0.0,0.3,4.0,1.0,70.0,95.0,73.7,11.0,45.0,1.0,2.0,0.0,/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League,0.5,0.3333333333333333,0.5641025641025641
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-10-09,Sat,Friendlies (M),Friendlies (M),Home,W 3–0,pt Portugal,qa Qatar,N,,20,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/d0977428/Portugal-Qatar-October-9-2021-Friendlies-M,1.0,0.5,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-10-12,Tue,WCQ,First round,Home,W 5–0,pt Portugal,lu Luxembourg,Y,CM,79,1,1,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/b2bf17f2/Portugal-Luxembourg-October-12-2021-WCQ----UEFA-M,1.0,0.8333333333333334,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-10-16,Sat,Premier League,Matchweek 8,Away,L 2–4,Manchester Utd,Leicester City,Y,AM,90,0,1,0,0,2.0,0.0,0,0,66.0,1.0,0.0,2.0,0.0,0.0,0.5,11.0,1.0,41.0,55.0,74.5,8.0,33.0,3.0,0.0,0.0,/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League,0.0,0.8333333333333334,0.4404761904761905
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-10-20,Wed,Champions Lg,Group stage,Home,W 3–2,eng Manchester Utd,it Atalanta,Y,AM,90,0,2,0,0,3.0,1.0,0,0,89.0,4.0,0.0,2.0,0.2,0.2,1.2,13.0,2.0,46.0,74.0,62.2,10.0,35.0,3.0,0.0,0.0,/en/matches/35f45718/Manchester-United-Atalanta-October-20-2021-Champions-League,1.0,0.6666666666666666,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2021-10-24,Sun,Premier League,Matchweek 9,Home,L 0–5,Manchester Utd,Liverpool,Y,"AM,CM",61,0,0,0,0,1.0,0.0,1,0,40.0,1.0,0.0,0.0,0.4,0.4,0.1,3.0,0.0,29.0,37.0,78.4,6.0,17.0,1.0,2.0,2.0,/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League,0.0,0.6666666666666666,0.8452380952380952
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2021-10-30,Sat,Premier League,Matchweek 10,Away,W 3–0,Manchester Utd,Tottenham,Y,CM,75,0,1,0,0,0.0,0.0,0,0,61.0,1.0,1.0,3.0,0.0,0.0,0.2,3.0,1.0,35.0,51.0,68.6,7.0,39.0,1.0,1.0,1.0,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,1.0,0.3333333333333333,0.5833333333333334
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2021-11-02,Tue,Champions Lg,Group stage,Away,D 2–2,eng Manchester Utd,it Atalanta,Y,AM,86,0,1,0,0,1.0,0.0,0,0,72.0,1.0,0.0,0.0,0.1,0.1,0.5,4.0,1.0,52.0,63.0,82.5,9.0,33.0,1.0,2.0,1.0,/en/matches/16b0abb7/Atalanta-Manchester-United-November-2-2021-Champions-League,0.5,0.6666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2021-11-06,Sat,Premier League,Matchweek 11,Home,L 0–2,Manchester Utd,Manchester City,Y,"AM,CM",90,0,0,0,0,1.0,0.0,0,0,47.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,38.0,71.1,1.0,25.0,0.0,0.0,0.0,/en/matches/5fa5be28/Manchester-Derby-Manchester-United-Manchester-City-November-6-2021-Premier-League,0.0,0.5,0.5909090909090909
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2021-11-11,Thu,WCQ,First round,Away,D 0–0,pt Portugal,ie Rep. of Ireland,Y,CM,74,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/8b321574/Republic-of-Ireland-Portugal-November-11-2021-WCQ----UEFA-M,0.5,0.5,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2021-11-14,Sun,WCQ,First round,Home,L 1–2,pt Portugal,rs Serbia,N,,28,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0cc44e9b/Portugal-Serbia-November-14-2021-WCQ----UEFA-M,0.0,0.3333333333333333,0.5
