,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 2–2,Tottenham,Brentford,Y,RW,90,0,0,0,0,3,0,0,0,67.0,4.0,1,0.0,0.0,0.0,0.1,5.0,0.0,49.0,60.0,81.7,3.0,51.0,4.0,1.0,1.0,/en/matches/67ed3ba2/Brentford-Tottenham-Hotspur-August-13-2023-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Tottenham,Manchester Utd,Y,RW,87,0,0,0,0,2,2,0,0,33.0,0.0,0,1.0,0.1,0.1,0.0,1.0,0.0,12.0,20.0,60.0,1.0,24.0,6.0,2.0,0.0,/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 2–0,Tottenham,Bournemouth,Y,RW,90,1,0,0,0,2,1,0,0,35.0,2.0,2,1.0,0.4,0.4,0.1,6.0,0.0,21.0,27.0,77.8,3.0,31.0,5.0,4.0,2.0,/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (3)–1 (5),Tottenham,Fulham,N,,49,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2ec5a2ca/Fulham-Tottenham-Hotspur-August-29-2023-EFL-Cup,0.5,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 5–2,Tottenham,Burnley,Y,RW,85,0,0,0,0,0,0,1,0,50.0,2.0,2,1.0,0.0,0.0,0.2,2.0,0.0,29.0,36.0,80.6,3.0,36.0,5.0,7.0,3.0,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,1.0,0.8333333333333334,0.4166666666666666
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-09,Sat,Euro Qualifying,Group stage,Away,W 5–0,se Sweden,ee Estonia,Y,RM,90,1,1,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a1056614/Estonia-Sweden-September-9-2023-Euro-Qualifying,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-12,Tue,Euro Qualifying,Group stage,Home,L 1–3,se Sweden,at Austria,Y,RM,90,0,1,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/3a859826/Sweden-Austria-September-12-2023-Euro-Qualifying,0.0,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-16,Sat,Premier League,Matchweek 5,Home,W 2–1,Tottenham,Sheffield Utd,Y,"RW,RM",90,1,0,0,0,7,2,0,0,61.0,1.0,0,0.0,0.3,0.3,0.9,8.0,0.0,38.0,51.0,74.5,6.0,43.0,9.0,3.0,0.0,/en/matches/e56e96e1/Tottenham-Hotspur-Sheffield-United-September-16-2023-Premier-League,1.0,0.6666666666666666,0.3571428571428571
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-24,Sun,Premier League,Matchweek 6,Away,D 2–2,Tottenham,Arsenal,Y,RW,90,0,0,0,0,0,0,0,0,41.0,2.0,1,0.0,0.0,0.0,0.2,6.0,0.0,24.0,33.0,72.7,5.0,29.0,4.0,3.0,0.0,/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,0.5,0.6666666666666666,0.8333333333333333
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Liverpool,Y,RW,90,0,0,0,0,2,0,0,0,62.0,0.0,0,0.0,0.1,0.1,0.3,6.0,0.0,40.0,53.0,75.5,7.0,45.0,13.0,7.0,4.0,/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League,1.0,0.5,0.9791666666666666
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-07,Sat,Premier League,Matchweek 8,Away,W 1–0,Tottenham,Luton Town,Y,"RW,FW",89,0,0,0,0,1,1,0,0,43.0,0.0,0,0.0,0.0,0.0,0.5,3.0,0.0,26.0,33.0,78.8,2.0,32.0,5.0,6.0,3.0,/en/matches/d021f28f/Luton-Town-Tottenham-Hotspur-October-7-2023-Premier-League,1.0,0.8333333333333334,0.3645833333333333
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-16,Mon,Euro Qualifying,Group stage,Away,D 1–1,se Sweden,be Belgium,Y,FW,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2a681bd1/Belgium-Sweden-October-16-2023-Euro-Qualifying,0.5,0.8333333333333334,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-10-23,Mon,Premier League,Matchweek 9,Home,W 2–0,Tottenham,Fulham,Y,RW,90,0,0,0,0,2,0,0,0,37.0,1.0,0,1.0,0.2,0.2,0.1,3.0,0.0,17.0,27.0,63.0,3.0,24.0,4.0,4.0,2.0,/en/matches/8c6293a3/Tottenham-Hotspur-Fulham-October-23-2023-Premier-League,1.0,0.8333333333333334,0.6249999999999999
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-10-27,Fri,Premier League,Matchweek 10,Away,W 2–1,Tottenham,Crystal Palace,Y,RW,89,0,0,0,0,1,0,0,0,39.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,33.0,87.9,4.0,23.0,2.0,3.0,1.0,/en/matches/6b0aa474/Crystal-Palace-Tottenham-Hotspur-October-27-2023-Premier-League,1.0,0.8333333333333334,0.4374999999999999
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-11-06,Mon,Premier League,Matchweek 11,Home,L 1–4,Tottenham,Chelsea,Y,"RW,FW",60,1,0,0,0,1,1,0,0,25.0,4.0,0,1.0,0.1,0.1,0.1,1.0,0.0,10.0,14.0,71.4,1.0,13.0,4.0,3.0,1.0,/en/matches/478e4eb3/Tottenham-Hotspur-Chelsea-November-6-2023-Premier-League,0.0,0.8333333333333334,0.5888888888888888
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2023-11-11,Sat,Premier League,Matchweek 12,Away,L 1–2,Tottenham,Wolves,Y,RW,90,0,0,0,0,1,0,0,0,45.0,0.0,0,0.0,0.0,0.0,0.1,2.0,1.0,28.0,35.0,80.0,2.0,35.0,9.0,2.0,0.0,/en/matches/1634f066/Wolverhampton-Wanderers-Tottenham-Hotspur-November-11-2023-Premier-League,0.0,0.6666666666666666,0.4666666666666666
