,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 0–4,Bournemouth,Manchester City,N,CB,11,0,0,0,0,0,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,0.0,8.0,0.0,0.0,0.0,/en/matches/311d705c/Manchester-City-Bournemouth-August-13-2022-Premier-League,0.0,0.5,0.4687499999999999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-20,Sat,Premier League,Matchweek 3,Home,L 0–3,Bournemouth,Arsenal,Y,CB,45,0,0,0,0,0,0,0,0,22.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,94.7,1.0,12.0,0.0,0.0,0.0,/en/matches/7f11dd9e/Bournemouth-Arsenal-August-20-2022-Premier-League,0.0,0.5,0.625
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-23,Tue,EFL Cup,Second round,Away,D 2 (5)–2 (3),Bournemouth,Norwich City,Y,CB,73,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/b44a73fc/Norwich-City-Bournemouth-August-23-2022-EFL-Cup,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-27,Sat,Premier League,Matchweek 4,Away,L 0–9,Bournemouth,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,39.0,4.0,2,2.0,0.0,0.0,0.0,1.0,0.0,22.0,26.0,84.6,1.0,10.0,0.0,0.0,0.0,/en/matches/de515487/Liverpool-Bournemouth-August-27-2022-Premier-League,0.0,0.1666666666666666,0.3854166666666666
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-09-17,Sat,Premier League,Matchweek 8,Away,D 1–1,Bournemouth,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,42.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,17.0,31.0,54.8,1.0,10.0,0.0,0.0,0.0,/en/matches/177da679/Newcastle-United-Bournemouth-September-17-2022-Premier-League,0.5,0.1666666666666666,0.3571428571428571
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-10-01,Sat,Premier League,Matchweek 9,Home,D 0–0,Bournemouth,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,57.0,2.0,3,1.0,0.0,0.0,0.1,1.0,0.0,38.0,48.0,79.2,2.0,35.0,0.0,1.0,1.0,/en/matches/f2e86b27/Bournemouth-Brentford-October-1-2022-Premier-League,0.5,0.3333333333333333,0.44791666666666663
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-10-08,Sat,Premier League,Matchweek 10,Home,W 2–1,Bournemouth,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,63.0,3.0,1,2.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0,89.3,4.0,35.0,0.0,0.0,0.0,/en/matches/7db2a40a/Bournemouth-Leicester-City-October-8-2022-Premier-League,1.0,0.3333333333333333,0.3555555555555555
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-10-15,Sat,Premier League,Matchweek 11,Away,D 2–2,Bournemouth,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,45.0,0.0,2,4.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,1.0,19.0,0.0,0.0,0.0,/en/matches/ab7f61dd/Fulham-Bournemouth-October-15-2022-Premier-League,0.5,0.6666666666666666,0.2999999999999999
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-19,Wed,Premier League,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,Y,CB,76,0,0,0,0,1,0,0,0,83.0,2.0,2,0.0,0.1,0.1,0.0,2.0,0.0,64.0,76.0,84.2,2.0,49.0,0.0,0.0,0.0,/en/matches/8a2bb3b6/Bournemouth-Southampton-October-19-2022-Premier-League,0.0,0.6666666666666666,0.2395833333333332
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-24,Mon,Premier League,Matchweek 13,Away,L 0–2,Bournemouth,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,72.0,4.0,1,2.0,0.0,0.0,0.0,0.0,0.0,40.0,55.0,72.7,2.0,37.0,1.0,1.0,0.0,/en/matches/e9d1a18b/West-Ham-United-Bournemouth-October-24-2022-Premier-League,0.0,0.5,0.5595238095238095
