,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2022-07-20,Wed,Série A,Matchweek 18,Home,W 3–1,Corinthians,Coritiba,Y,RW,64,0,0,0,0,3,2,0,0,56.0,0.0,0,0.0,0.2,0.2,0.1,4.0,0.0,37.0,51.0,72.5,13.0,41.0,4.0,6.0,4.0,/en/matches/e752dd0a/Corinthians-Coritiba-July-20-2022-Serie-A,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2022-07-24,Sun,Série A,Matchweek 19,Away,W 2–1,Corinthians,Atlético Mineiro,Y,LW,45,0,0,0,0,0,0,0,0,22.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,72.2,1.0,14.0,1.0,4.0,4.0,/en/matches/5aa15358/Atletico-Mineiro-Corinthians-July-24-2022-Serie-A,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2022-07-30,Sat,Série A,Matchweek 20,Home,W 1–0,Corinthians,Botafogo (RJ),N,LW,31,0,0,0,0,0,0,0,0,18.0,1.0,0,0.0,0.0,0.0,0.1,2.0,0.0,7.0,9.0,77.8,0.0,12.0,3.0,4.0,1.0,/en/matches/69235a12/Corinthians-Botafogo-RJ-July-30-2022-Serie-A,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-09,Tue,Libertadores,Quarter-finals,Away,L 0–1,br Corinthians,br Flamengo,Y,LW,83,0,0,0,0,2,1,0,0,52.0,1.0,1,0.0,0.1,0.1,0.1,4.0,0.0,33.0,40.0,82.5,5.0,41.0,2.0,3.0,0.0,/en/matches/e204ba14/Flamengo-Corinthians-August-9-2022-Copa-Libertadores,0.0,1.0,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2022-09-03,Sat,Premier League,Matchweek 6,Away,L 1–2,Fulham,Tottenham,N,"LW,LM",31,0,0,0,0,0,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,83.3,1.0,10.0,0.0,1.0,0.0,/en/matches/a497b725/Tottenham-Hotspur-Fulham-September-3-2022-Premier-League,0.0,0.6666666666666666,0.7820512820512822
5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-16,Fri,Premier League,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y,RW,69,0,1,0,0,0,0,0,0,46.0,1.0,1,1.0,0.0,0.0,0.1,7.0,3.0,29.0,36.0,80.6,4.0,30.0,3.0,4.0,1.0,/en/matches/d0d07e66/Nottingham-Forest-Fulham-September-16-2022-Premier-League,1.0,0.3333333333333333,0.1562499999999999
6,6,6,6,6,6,6,6,6,6,6,6,6,2022-10-15,Sat,Premier League,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,N,RW,45,0,0,0,0,1,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.1,3.0,0.0,22.0,27.0,81.5,5.0,22.0,2.0,1.0,1.0,/en/matches/ab7f61dd/Fulham-Bournemouth-October-15-2022-Premier-League,0.5,0.3333333333333333,0.6888888888888889
7,7,7,7,7,7,7,7,7,7,7,7,7,2022-10-20,Thu,Premier League,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,LW,72,0,0,0,0,4,3,0,0,44.0,1.0,0,3.0,0.4,0.4,0.3,8.0,0.0,28.0,33.0,84.8,6.0,29.0,7.0,2.0,0.0,/en/matches/e6102606/Fulham-Aston-Villa-October-20-2022-Premier-League,1.0,0.5,0.3555555555555555
8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-23,Sun,Premier League,Matchweek 13,Away,W 3–2,Fulham,Leeds United,Y,LW,88,1,0,0,0,1,1,0,0,40.0,1.0,1,0.0,0.5,0.5,0.5,4.0,2.0,25.0,31.0,80.6,5.0,28.0,2.0,5.0,5.0,/en/matches/d7b30e2b/Leeds-United-Fulham-October-23-2022-Premier-League,1.0,0.8333333333333334,0.1222222222222222
9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-29,Sat,Premier League,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,LW,90,0,0,0,0,4,3,0,0,61.0,0.0,0,0.0,0.8,0.8,0.1,8.0,0.0,43.0,50.0,86.0,9.0,34.0,15.0,2.0,1.0,/en/matches/9c4402e1/Fulham-Everton-October-29-2022-Premier-League,0.5,0.8333333333333334,0.3666666666666666
10,10,10,10,10,10,10,10,10,10,10,10,10,2022-11-05,Sat,Premier League,Matchweek 15,Away,L 1–2,Fulham,Manchester City,Y,LW,79,0,0,0,0,0,0,0,0,33.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,24.0,83.3,2.0,22.0,0.0,1.0,0.0,/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,0.0,0.8333333333333334,0.761904761904762
11,11,11,11,11,11,11,11,11,11,11,11,11,2022-11-13,Sun,Premier League,Matchweek 16,Home,L 1–2,Fulham,Manchester Utd,Y,LW,90,0,0,0,0,2,0,0,0,49.0,0.0,1,0.0,0.1,0.1,0.2,6.0,1.0,30.0,40.0,75.0,6.0,38.0,6.0,1.0,1.0,/en/matches/af75b6b0/Fulham-Manchester-United-November-13-2022-Premier-League,0.0,0.5,0.7179487179487178
12,12,12,12,12,12,12,12,12,12,12,12,12,2022-12-26,Mon,Premier League,Matchweek 17,Away,W 3–0,Fulham,Crystal Palace,Y,LW,80,0,0,0,0,2,0,0,0,42.0,0.0,0,0.0,0.2,0.2,0.0,3.0,1.0,29.0,35.0,82.9,3.0,29.0,2.0,0.0,0.0,/en/matches/bbb301a6/Crystal-Palace-Fulham-December-26-2022-Premier-League,1.0,0.1666666666666666,0.5416666666666666
13,13,13,13,13,13,13,13,13,13,13,13,13,2022-12-31,Sat,Premier League,Matchweek 18,Home,W 2–1,Fulham,Southampton,Y,LW,90,0,0,0,0,1,0,0,0,55.0,1.0,2,2.0,0.1,0.1,0.1,5.0,0.0,33.0,44.0,75.0,6.0,27.0,2.0,1.0,0.0,/en/matches/a15bf99e/Fulham-Southampton-December-31-2022-Premier-League,1.0,0.3333333333333333,0.3749999999999999
14,14,14,14,14,14,14,14,14,14,14,14,14,2023-01-03,Tue,Premier League,Matchweek 19,Away,W 1–0,Fulham,Leicester City,Y,LW,81,0,1,0,0,2,0,0,0,35.0,1.0,1,0.0,0.1,0.1,0.5,2.0,1.0,22.0,28.0,78.6,3.0,27.0,5.0,3.0,2.0,/en/matches/12e0894b/Leicester-City-Fulham-January-3-2023-Premier-League,1.0,0.6666666666666666,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,2023-01-12,Thu,Premier League,Matchweek 7,Home,W 2–1,Fulham,Chelsea,Y,LW,82,1,0,0,0,2,1,0,0,43.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,31.0,38.0,81.6,8.0,26.0,2.0,3.0,1.0,/en/matches/2902a42d/Fulham-Chelsea-January-12-2023-Premier-League,1.0,1.0,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,2023-01-15,Sun,Premier League,Matchweek 20,Away,L 0–1,Fulham,Newcastle Utd,Y,RW,77,0,0,0,0,0,0,0,0,23.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,21.0,47.6,5.0,18.0,1.0,0.0,0.0,/en/matches/f93d11e7/Newcastle-United-Fulham-January-15-2023-Premier-League,0.0,1.0,0.5
