,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2019-08-27,Tue,EFL Cup,Second round,Away,W 6–1,Aston Villa,Crewe Alexandra,Y,CB,90,0,0,0,0,2.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/cad624a0/Crewe-Alexandra-Aston-Villa-August-27-2019-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,2019-09-25,Wed,EFL Cup,Third round,Away,W 3–1,Aston Villa,Brighton,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/61b05292/Brighton-and-Hove-Albion-Aston-Villa-September-25-2019-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2019-10-21,Mon,PL2 — Div. 2,Matchweek 8,Home,W 1–0,Aston Villa,Fulham,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/282c7777/Aston-Villa-U23-Fulham-U23-October-21-2019-Premier-League-2----Division-2,1.0,0.5,0.5
3,3,3,3,3,3,3,3,2019-10-30,Wed,EFL Cup,Fourth round,Home,W 2–1,Aston Villa,Wolves,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/1d8c3ef1/Aston-Villa-Wolverhampton-Wanderers-October-30-2019-EFL-Cup,1.0,1.0,0.5
4,4,4,4,4,4,4,4,2019-12-14,Sat,Premier League,Matchweek 17,Away,L 0–2,Aston Villa,Sheffield Utd,Y,CB,90,0,0,0,0,1.0,0.0,1,0,79.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,58.0,58.6,3.0,34.0,0.0,0.0,0.0,/en/matches/b1b5e590/Sheffield-United-Aston-Villa-December-14-2019-Premier-League,0.0,1.0,0.511904761904762
5,5,5,5,5,5,5,5,2019-12-17,Tue,EFL Cup,Quarter-finals,Home,W 5–0,Aston Villa,Liverpool,N,,14,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/d315ece1/Aston-Villa-Liverpool-December-17-2019-EFL-Cup,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,2019-12-21,Sat,Premier League,Matchweek 18,Home,L 1–3,Aston Villa,Southampton,Y,CB,90,0,0,0,0,0.0,0.0,0,0,71.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,53.0,79.2,2.0,29.0,0.0,0.0,0.0,/en/matches/d50390a8/Aston-Villa-Southampton-December-21-2019-Premier-League,0.0,0.6666666666666666,0.35714285714285715
7,7,7,7,7,7,7,7,2019-12-26,Thu,Premier League,Matchweek 19,Home,W 1–0,Aston Villa,Norwich City,Y,CB,90,0,0,0,0,1.0,0.0,0,0,59.0,5.0,1.0,3.0,0.1,0.1,0.0,0.0,0.0,26.0,40.0,65.0,2.0,31.0,0.0,0.0,0.0,/en/matches/010301bf/Aston-Villa-Norwich-City-December-26-2019-Premier-League,1.0,0.3333333333333333,0.1785714285714284
8,8,8,8,8,8,8,8,2019-12-28,Sat,Premier League,Matchweek 20,Away,L 0–3,Aston Villa,Watford,Y,CB,90,0,0,0,0,0.0,0.0,0,0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,49.0,75.5,4.0,30.0,0.0,2.0,1.0,/en/matches/36dc1eb8/Watford-Aston-Villa-December-28-2019-Premier-League,0.0,0.6666666666666666,0.4880952380952381
9,9,9,9,9,9,9,9,2020-01-01,Wed,Premier League,Matchweek 21,Away,W 2–1,Aston Villa,Burnley,Y,CB,90,0,0,0,0,1.0,0.0,0,0,49.0,2.0,0.0,4.0,0.3,0.3,0.0,0.0,0.0,20.0,35.0,57.1,1.0,19.0,0.0,0.0,0.0,/en/matches/ac409026/Burnley-Aston-Villa-January-1-2020-Premier-League,1.0,0.3333333333333333,0.5
