,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,West Ham,N,RB,16,0,0,0,0,0,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,90.9,3.0,9.0,0.0,0.0,0.0,/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,0.5,0.5,0.511904761904762
1,1,1,2023-09-16,Sat,Championship,Matchweek 6,Home,W 2–1,Blackburn,Middlesbrough,N,DM,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/285d9c71/Blackburn-Rovers-Middlesbrough-September-16-2023-Championship,1.0,0.5,0.5
2,2,2,2023-09-27,Wed,EFL Cup,Third round,Home,W 5–2,Blackburn,Cardiff City,Y,CB,90,0,1,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/fed6c470/Blackburn-Rovers-Cardiff-City-September-27-2023-EFL-Cup,1.0,0.5,0.5
3,3,3,2023-10-04,Wed,Championship,Matchweek 10,Away,L 0–1,Blackburn,Coventry City,Y,RB,90,0,0,0,0,2,1,1,0,90.0,1.0,0,1.0,0.1,0.1,0.0,2.0,0.0,65.0,78.0,83.3,6.0,56.0,0.0,1.0,0.0,/en/matches/ec296c1c/Coventry-City-Blackburn-Rovers-October-4-2023-Championship,0.0,0.8333333333333334,0.5
4,4,4,2023-10-07,Sat,Championship,Matchweek 11,Away,W 4–0,Blackburn,QPR,Y,RB,90,0,0,0,0,1,1,0,0,76.0,3.0,2,0.0,0.0,0.0,0.0,1.0,0.0,51.0,65.0,78.5,5.0,29.0,0.0,1.0,0.0,/en/matches/9fef6ea0/Queens-Park-Rangers-Blackburn-Rovers-October-7-2023-Championship,1.0,0.6666666666666666,0.5
5,5,5,2023-10-21,Sat,Championship,Matchweek 12,Home,W 1–0,Blackburn,Cardiff City,Y,RB,90,0,0,0,0,1,0,0,0,102.0,1.0,2,3.0,0.0,0.0,0.0,2.0,0.0,65.0,85.0,76.5,4.0,49.0,1.0,1.0,0.0,/en/matches/d098d4ce/Blackburn-Rovers-Cardiff-City-October-21-2023-Championship,1.0,0.6666666666666666,0.5
6,6,6,2023-10-24,Tue,Championship,Matchweek 13,Away,W 2–1,Blackburn,Millwall,Y,RB,90,0,1,0,0,0,0,0,0,96.0,4.0,4,1.0,0.0,0.0,0.1,1.0,1.0,66.0,82.0,80.5,6.0,40.0,4.0,0.0,0.0,/en/matches/d31113ba/Millwall-Blackburn-Rovers-October-24-2023-Championship,1.0,0.6666666666666666,0.5
7,7,7,2023-10-28,Sat,Championship,Matchweek 14,Home,L 0–1,Blackburn,Swansea City,Y,RB,90,0,0,0,0,2,0,0,0,80.0,1.0,5,2.0,0.2,0.2,0.3,3.0,0.0,49.0,65.0,75.4,9.0,41.0,4.0,0.0,0.0,/en/matches/d5cfc501/Blackburn-Rovers-Swansea-City-October-28-2023-Championship,0.0,1.0,0.5
8,8,8,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 0–2,Blackburn,Chelsea,Y,CB,90,0,0,0,0,1,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/9d433031/Chelsea-Blackburn-Rovers-November-1-2023-EFL-Cup,0.0,0.6666666666666666,0.5
9,9,9,2023-11-05,Sun,Championship,Matchweek 15,Away,W 3–1,Blackburn,Norwich City,Y,CB,90,0,0,0,0,1,0,0,0,74.0,2.0,3,1.0,0.0,0.0,0.0,1.0,1.0,41.0,56.0,73.2,4.0,31.0,0.0,0.0,0.0,/en/matches/5c365549/Norwich-City-Blackburn-Rovers-November-5-2023-Championship,1.0,0.3333333333333333,0.5
10,10,10,2023-11-10,Fri,Championship,Matchweek 16,Home,L 1–2,Blackburn,Preston,Y,CB,90,0,0,0,0,0,0,0,0,54.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,46.0,71.7,3.0,30.0,1.0,1.0,0.0,/en/matches/254ac040/Blackburn-Rovers-Preston-North-End-November-10-2023-Championship,0.0,0.3333333333333333,0.5
