,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,D 1 (1)–1 (4),Manchester City,Arsenal,N,,33,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,"RM,LW",90,0,0,0,0,3.0,1.0,0,0,58.0,0.0,1.0,1.0,0.3,0.3,0.1,4.0,0.0,37.0,48.0,77.1,5.0,43.0,1.0,2.0,1.0,/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-16,Wed,Super Cup,UEFA Super Cup,Home,D 1 (5)–1 (4),eng Manchester City,es Sevilla,Y,AM,90,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/572ae2f0/Manchester-City-Sevilla-August-16-2023-UEFA-Super-Cup,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,RW,90,0,1,0,0,3.0,1.0,0,0,61.0,0.0,0.0,1.0,0.3,0.3,0.5,9.0,1.0,50.0,56.0,89.3,11.0,32.0,6.0,3.0,3.0,/en/matches/0b8f50a5/Manchester-City-Newcastle-United-August-19-2023-Premier-League,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,N,RW,5,0,1,0,0,1.0,0.0,0,0,12.0,1.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,9.0,9.0,100.0,2.0,11.0,0.0,2.0,1.0,/en/matches/0844ff10/Sheffield-United-Manchester-City-August-27-2023-Premier-League,1.0,0.8333333333333334,0.4444444444444444
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,"LW,RW",89,0,1,0,0,0.0,0.0,0,0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,44.0,79.5,1.0,31.0,2.0,4.0,2.0,/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,1.0,0.8333333333333334,0.4166666666666667
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-09,Sat,Euro Qualifying,Group stage,Away,D 1–1,eng England,ua Ukraine,N,,25,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a067451d/Ukraine-England-September-9-2023-Euro-Qualifying,0.5,1.0,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-12,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,eng England,sct Scotland,Y,AM,70,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/1461ddd6/Scotland-England-September-12-2023-Friendlies-M,1.0,0.8333333333333334,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Manchester City,West Ham,Y,RW,66,0,0,0,0,5.0,1.0,0,0,48.0,1.0,0.0,0.0,0.1,0.1,0.1,5.0,0.0,29.0,38.0,76.3,3.0,40.0,2.0,1.0,0.0,/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League,1.0,0.8333333333333334,0.8888888888888888
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-19,Tue,Champions Lg,Group stage,Home,W 3–1,eng Manchester City,rs Red Star,Y,"LW,RW",82,0,1,0,0,5.0,1.0,0,0,74.0,0.0,0.0,1.0,0.9,0.9,0.5,6.0,1.0,58.0,63.0,92.1,9.0,38.0,4.0,3.0,2.0,/en/matches/3d87750d/Manchester-City-Red-Star-Belgrade-September-19-2023-Champions-League,1.0,0.8333333333333334,0.5
