,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Home,L 0–3,Watford,Brighton,Y,CB,90,0,0,0,0,0.0,0.0,0,0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,80.0,3.0,32.0,0.0,0.0,0.0,/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 0–1,Watford,Everton,Y,CB,90,0,0,0,0,0.0,0.0,0,0,56.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,86.0,7.0,36.0,1.0,2.0,1.0,/en/matches/f35c8c3a/Everton-Watford-August-17-2019-Premier-League,0.0,0.5,0.5119047619047619
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–3,Watford,West Ham,Y,CB,90,0,0,0,0,0.0,0.0,0,0,61.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,49.0,87.8,3.0,40.0,0.0,0.0,0.0,/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Watford,Newcastle Utd,Y*,CB,90,0,0,0,0,0.0,0.0,1,0,63.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,51.0,88.2,8.0,41.0,0.0,1.0,0.0,/en/matches/533c240c/Newcastle-United-Watford-August-31-2019-Premier-League,0.5,0.0,0.4404761904761904
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-09,Mon,UEFA Euro Qualifying,Group stage,Home,L 0–2,nir Northern Ireland,de Germany,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/4a08c262/Northern-Ireland-Germany-September-9-2019-UEFA-Euro-Qualifying,0.0,0.1666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Watford,Wolves,Y,CB,90,0,0,0,0,0.0,0.0,0,0,69.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,63.0,93.7,4.0,39.0,0.0,0.0,0.0,/en/matches/4c088365/Wolverhampton-Wanderers-Watford-September-28-2019-Premier-League,0.0,0.1666666666666666,0.2142857142857142
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-10-05,Sat,Premier League,Matchweek 8,Home,D 0–0,Watford,Sheffield Utd,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,41.0,65.9,5.0,24.0,1.0,1.0,1.0,/en/matches/2b83068d/Watford-Sheffield-United-October-5-2019-Premier-League,0.5,0.1666666666666666,0.3333333333333333
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-10,Thu,UEFA Euro Qualifying,Group stage,Away,L 1–3,nir Northern Ireland,nl Netherlands,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/cc63f2ca/Netherlands-Northern-Ireland-October-10-2019-UEFA-Euro-Qualifying,0.0,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-10-14,Mon,Friendlies (M),Friendlies (M),Away,W 3–2,nir Northern Ireland,cz Czech Republic,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/84e5432a/Czech-Republic-Northern-Ireland-October-14-2019-Friendlies-M,1.0,0.1666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-19,Sat,Premier League,Matchweek 9,Away,D 1–1,Watford,Tottenham,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,24.0,75.0,0.0,15.0,0.0,0.0,0.0,/en/matches/4df24be7/Tottenham-Hotspur-Watford-October-19-2019-Premier-League,0.5,0.5,0.3928571428571428
