,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-22,Wed,EFL Cup,Third round,Home,L 0–1,Manchester Utd,West Ham,Y,LB,72,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/6cb102d3/Manchester-United-West-Ham-United-September-22-2021-EFL-Cup,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2021-09-29,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester Utd,es Villarreal,Y,LB,88,1,0,0,0,1,1,1,0,83.0,0.0,0,2.0,0.0,0.0,0.1,2.0,0.0,65.0,76.0,85.5,8.0,34.0,0.0,0.0,0.0,/en/matches/8ad62c4a/Manchester-United-Villarreal-September-29-2021-Champions-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2021-11-06,Sat,Premier League,Matchweek 11,Home,L 0–2,Manchester Utd,Manchester City,N,LB,18,0,0,0,0,0,0,0,0,16.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,3.0,0.0,0.0,0.0,/en/matches/5fa5be28/Manchester-Derby-Manchester-United-Manchester-City-November-6-2021-Premier-League,0.0,0.5,0.5909090909090909
3,3,3,3,3,3,3,3,3,3,3,3,3,2021-11-23,Tue,Champions Lg,Group stage,Away,W 2–0,eng Manchester Utd,es Villarreal,Y,LB,90,0,0,0,0,0,0,0,0,66.0,0.0,1,2.0,0.0,0.0,0.0,3.0,0.0,44.0,60.0,73.3,1.0,19.0,1.0,0.0,0.0,/en/matches/fd901849/Villarreal-Manchester-United-November-23-2021-Champions-League,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2021-11-28,Sun,Premier League,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,60.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,28.0,49.0,57.1,1.0,18.0,0.0,1.0,0.0,/en/matches/08b3c5d8/Chelsea-Manchester-United-November-28-2021-Premier-League,0.5,0.6666666666666666,0.880952380952381
5,5,5,5,5,5,5,5,5,5,5,5,5,2021-12-02,Thu,Premier League,Matchweek 14,Home,W 3–2,Manchester Utd,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,58.0,2.0,1,1.0,0.0,0.0,0.0,2.0,0.0,34.0,48.0,70.8,2.0,29.0,1.0,0.0,0.0,/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League,1.0,0.5,0.6785714285714285
6,6,6,6,6,6,6,6,6,6,6,6,6,2021-12-05,Sun,Premier League,Matchweek 15,Home,W 1–0,Manchester Utd,Crystal Palace,Y,LB,90,0,0,0,0,2,0,0,0,105.0,7.0,2,2.0,0.1,0.1,0.1,3.0,0.0,65.0,87.0,74.7,10.0,43.0,2.0,1.0,0.0,/en/matches/8d10c8d4/Manchester-United-Crystal-Palace-December-5-2021-Premier-League,1.0,0.8333333333333334,0.226190476190476
7,7,7,7,7,7,7,7,7,7,7,7,7,2021-12-11,Sat,Premier League,Matchweek 16,Away,W 1–0,Manchester Utd,Norwich City,Y,LB,90,0,0,0,0,1,1,0,0,60.0,4.0,2,2.0,0.1,0.1,0.1,2.0,0.0,36.0,48.0,75.0,3.0,23.0,1.0,0.0,0.0,/en/matches/11a67612/Norwich-City-Manchester-United-December-11-2021-Premier-League,1.0,0.8333333333333334,0.4285714285714285
8,8,8,8,8,8,8,8,8,8,8,8,8,2021-12-27,Mon,Premier League,Matchweek 19,Away,D 1–1,Manchester Utd,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,73.0,1.0,2,2.0,0.0,0.0,0.5,4.0,0.0,54.0,62.0,87.1,1.0,41.0,0.0,3.0,0.0,/en/matches/f91fee43/Newcastle-United-Manchester-United-December-27-2021-Premier-League,0.5,1.0,0.13095238095238093
9,9,9,9,9,9,9,9,9,9,9,9,9,2022-01-15,Sat,Premier League,Matchweek 22,Away,D 2–2,Manchester Utd,Aston Villa,Y,LB,90,0,1,0,0,1,1,0,0,95.0,4.0,2,0.0,0.0,0.0,0.0,3.0,2.0,61.0,85.0,71.8,6.0,54.0,4.0,1.0,0.0,/en/matches/745dc664/Aston-Villa-Manchester-United-January-15-2022-Premier-League,0.5,0.8333333333333334,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,2022-01-19,Wed,Premier League,Matchweek 17,Away,W 3–1,Manchester Utd,Brentford,Y,"LB,LM",90,0,0,0,0,0,0,0,0,82.0,0.0,2,1.0,0.0,0.0,0.0,2.0,0.0,52.0,75.0,69.3,3.0,41.0,3.0,0.0,0.0,/en/matches/f7c0bd68/Brentford-Manchester-United-January-19-2022-Premier-League,1.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,2022-01-22,Sat,Premier League,Matchweek 23,Home,W 1–0,Manchester Utd,West Ham,Y,LB,90,0,0,0,0,1,0,0,0,85.0,5.0,0,1.0,0.0,0.0,0.0,1.0,0.0,55.0,77.0,71.4,4.0,44.0,0.0,1.0,1.0,/en/matches/7c23f694/Manchester-United-West-Ham-United-January-22-2022-Premier-League,1.0,0.6666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,2022-02-01,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 4–0,br Brazil,py Paraguay,Y,LB,90,0,0,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/8ce68c2d/Brazil-Paraguay-February-1-2022-WCQ----CONMEBOL-M,1.0,0.8333333333333334,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,2022-02-15,Tue,Premier League,Matchweek 18,Home,W 2–0,Manchester Utd,Brighton,N,LW,11,0,0,0,0,1,0,0,0,13.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,7.0,11.0,63.6,0.0,7.0,0.0,0.0,0.0,/en/matches/a1fb5fa2/Manchester-United-Brighton-and-Hove-Albion-February-15-2022-Premier-League,1.0,1.0,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,2022-02-23,Wed,Champions Lg,Round of 16,Away,D 1–1,eng Manchester Utd,es Atlético Madrid,N,LB,24,0,0,0,0,0,0,1,0,19.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,66.7,0.0,11.0,1.0,1.0,1.0,/en/matches/f898d45f/Atletico-Madrid-Manchester-United-February-23-2022-Champions-League,0.5,1.0,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,2022-02-26,Sat,Premier League,Matchweek 27,Home,D 0–0,Manchester Utd,Watford,Y,LB,73,0,0,0,0,1,0,0,0,70.0,2.0,0,0.0,0.1,0.1,0.3,4.0,0.0,50.0,63.0,79.4,8.0,45.0,4.0,0.0,0.0,/en/matches/43737c9c/Manchester-United-Watford-February-26-2022-Premier-League,0.5,0.8333333333333334,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,2022-03-06,Sun,Premier League,Matchweek 28,Away,L 1–4,Manchester Utd,Manchester City,Y,LB,90,0,0,0,0,1,0,0,0,45.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,26.0,34.0,76.5,1.0,18.0,0.0,2.0,1.0,/en/matches/2dc5b8b0/Manchester-Derby-Manchester-City-Manchester-United-March-6-2022-Premier-League,0.0,0.6666666666666666,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,2022-03-12,Sat,Premier League,Matchweek 29,Home,W 3–2,Manchester Utd,Tottenham,Y,"LB,LM",90,0,1,0,0,0,0,0,0,60.0,2.0,0,1.0,0.0,0.0,0.1,2.0,1.0,39.0,54.0,72.2,1.0,40.0,2.0,3.0,3.0,/en/matches/e5e7becb/Manchester-United-Tottenham-Hotspur-March-12-2022-Premier-League,1.0,0.3333333333333333,0.5
