,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-15,Sun,Süper Lig,Matchweek 1,Away,W 1–0,Fenerbahçe,Adana Demirspor,N,,15,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/39690cce/Adana-Demirspor-Fenerbahce-August-15-2021-Super-Lig,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-09-07,Tue,WCQ,First round,Away,L 1–6,tr Türkiye,nl Netherlands,N,,45,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/3b32eef9/Netherlands-Turkiye-September-7-2021-WCQ----UEFA-M,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-09-21,Tue,EFL Cup,Third round,Home,L 1–3,Watford,Stoke City,Y,CM,90,0,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7cfca76c/Watford-Stoke-City-September-21-2021-EFL-Cup,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-25,Sat,Premier League,Matchweek 6,Home,D 1–1,Watford,Newcastle Utd,N,"AM,DM",45,0,0,0,0,1,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.3,4.0,0.0,17.0,23.0,73.9,5.0,19.0,2.0,2.0,1.0,/en/matches/70fda3e9/Watford-Newcastle-United-September-25-2021-Premier-League,0.5,0.3333333333333333,0.3333333333333333
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-10-02,Sat,Premier League,Matchweek 7,Away,L 0–1,Watford,Leeds United,Y,AM,58,0,0,0,0,1,0,0,0,18.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,9.0,12.0,75.0,3.0,6.0,0.0,0.0,0.0,/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,0.0,0.1666666666666666,0.3333333333333333
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-08,Fri,WCQ,First round,Home,D 1–1,tr Türkiye,no Norway,Y,DM,57,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/32f97ddc/Turkiye-Norway-October-8-2021-WCQ----UEFA-M,0.5,0.1666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-23,Sat,Premier League,Matchweek 9,Away,W 5–2,Watford,Everton,Y,CM,63,0,0,0,0,0,0,0,0,40.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,34.0,67.6,3.0,16.0,0.0,1.0,0.0,/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League,1.0,0.3333333333333333,0.5256410256410257
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-11-07,Sun,Premier League,Matchweek 11,Away,L 0–1,Watford,Arsenal,Y,CM,61,0,0,0,0,0,0,0,0,30.0,2.0,2,0.0,0.0,0.0,0.0,1.0,0.0,16.0,23.0,69.6,2.0,12.0,0.0,2.0,1.0,/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League,0.0,0.5,0.9047619047619048
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-11-28,Sun,Premier League,Matchweek 13,Away,L 2–4,Watford,Leicester City,N,DM,45,0,0,0,0,1,0,0,0,18.0,0.0,0,1.0,0.5,0.5,0.0,0.0,0.0,9.0,14.0,64.3,2.0,8.0,0.0,0.0,0.0,/en/matches/c2e426c8/Leicester-City-Watford-November-28-2021-Premier-League,0.0,0.5,0.5000000000000001
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-12-10,Fri,Premier League,Matchweek 16,Away,L 1–2,Watford,Brentford,N,FW,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/49a36a4e/Brentford-Watford-December-10-2021-Premier-League,0.0,0.3333333333333333,0.4761904761904761
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-12-28,Tue,Premier League,Matchweek 20,Home,L 1–4,Watford,West Ham,Y,CM,61,0,0,0,0,0,0,0,0,20.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,68.8,1.0,9.0,0.0,1.0,1.0,/en/matches/b56fd899/Watford-West-Ham-United-December-28-2021-Premier-League,0.0,0.0,0.1666666666666666
11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-01-08,Sat,FA Cup,Third round proper,Away,L 1–4,Watford,Leicester City,Y,AM,63,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fd2ca892/Leicester-City-Watford-January-8-2022-FA-Cup,0.0,0.0,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,2022-02-05,Sat,Süper Lig,Matchweek 24,Home,L 0–1,Fenerbahçe,Başakşehir,N,,45,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/66bdbfb6/Fenerbahce-Istanbul-Basaksehir-February-5-2022-Super-Lig,0.0,0.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-02-17,Thu,Conf Lg,Knockout round play-offs,Home,L 2–3,tr Fenerbahçe,cz Slavia Prague,N,DM,32,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,8.0,8.0,100.0,1.0,7.0,1.0,0.0,0.0,/en/matches/304227e4/Fenerbahce-Slavia-Prague-February-17-2022-Europa-Conference-League,0.0,0.0,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-02-20,Sun,Süper Lig,Matchweek 26,Home,W 2–0,Fenerbahçe,Hatayspor,Y*,RB,45,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/40841ac3/Fenerbahce-Hatayspor-February-20-2022-Super-Lig,1.0,0.0,0.5
