,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,Y,CM,89,0,0,0,0,0.0,0.0,0,0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,82.1,1.0,12.0,0.0,0.0,0.0,/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,Y,CM,67,0,0,0,0,0.0,0.0,1,0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,27.0,92.6,0.0,22.0,0.0,1.0,0.0,/en/matches/b66a7def/Burnley-Aston-Villa-August-27-2023-Premier-League,0.0,0.5,0.6222222222222222
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-30,Wed,EFL Cup,Second round,Away,W 1–0,Burnley,Nott'ham Forest,N,,40,0,0,0,0,0.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/26950ade/Nottingham-Forest-Burnley-August-30-2023-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,Y,CM,45,0,0,0,0,0.0,0.0,0,0,28.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,20.0,22.0,90.9,0.0,21.0,0.0,2.0,1.0,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,0.0,0.3333333333333333,0.7708333333333335
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-07,Thu,Friendlies (M),Friendlies (M),Home,W 6–0,no Norway,jo Jordan,Y,CM,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/29f3e91c/Norway-Jordan-September-7-2023-Friendlies-M,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-12,Tue,Euro Qualifying,Group stage,Home,W 2–1,no Norway,ge Georgia,N,,20,0,0,0,0,0.0,0.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/079f2ab1/Norway-Georgia-September-12-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,N,AM,28,0,0,0,0,0.0,0.0,0,0,23.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,64.7,3.0,12.0,2.0,1.0,1.0,/en/matches/ad7ecfad/Nottingham-Forest-Burnley-September-18-2023-Premier-League,0.5,0.6666666666666666,0.5222222222222221
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,N,RM,18,0,0,0,0,1.0,0.0,0,0,17.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,14.0,16.0,87.5,3.0,8.0,1.0,1.0,1.0,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,0.0,0.8333333333333334,0.282051282051282
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-26,Tue,EFL Cup,Third round,Away,W 4–0,Burnley,Salford City,Y,DM,90,1,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/145848e6/Salford-City-Burnley-September-26-2023-EFL-Cup,1.0,0.5,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y,DM,87,0,0,0,0,1.0,0.0,0,0,50.0,2.0,1.0,1.0,0.1,0.1,0.1,3.0,0.0,33.0,38.0,86.8,1.0,27.0,1.0,0.0,0.0,/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League,0.0,0.5,0.8111111111111112
