,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,2020-08-23,Sun,Ligue 1,Matchweek 1,Away,L 0–4,Brest,Nîmes,Y,"DM,CM",90,0,0,0,0,0.0,0.0,0,0,58.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,44.0,55.0,80.0,4.0,41.0,1.0,4.0,4.0,/en/matches/da8136ae/Nimes-Brest-August-23-2020-Ligue-1,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,2020-08-30,Sun,Ligue 1,Matchweek 2,Home,L 2–3,Brest,Marseille,Y,DM,84,0,0,0,0,0.0,0.0,0,0,67.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,56.0,83.9,2.0,50.0,0.0,1.0,1.0,/en/matches/f5d3ffde/Brest-Marseille-August-30-2020-Ligue-1,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2020-09-13,Sun,Ligue 1,Matchweek 3,Away,W 2–0,Brest,Dijon,Y,DM,90,0,0,0,0,0.0,0.0,0,0,61.0,3.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,52.0,58.0,89.7,3.0,45.0,0.0,2.0,1.0,/en/matches/d10137c1/Dijon-Brest-September-13-2020-Ligue-1,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,2020-09-20,Sun,Ligue 1,Matchweek 4,Home,W 3–2,Brest,Lorient,Y,DM,90,0,0,0,0,0.0,0.0,0,0,62.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,57.0,84.2,5.0,41.0,2.0,1.0,1.0,/en/matches/addca7be/Brest-Lorient-September-20-2020-Ligue-1,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,2020-09-27,Sun,Ligue 1,Matchweek 5,Away,L 2–3,Brest,Angers,Y,DM,86,0,0,0,0,1.0,0.0,1,0,73.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,56.0,62.0,90.3,9.0,36.0,1.0,4.0,2.0,/en/matches/940f811f/Angers-Brest-September-27-2020-Ligue-1,0.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,2020-10-17,Sat,Premier League,Matchweek 5,Away,D 3–3,Southampton,Chelsea,N,CM,4,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League,0.5,0.6666666666666666,0.6904761904761906
6,6,6,6,6,6,6,6,6,6,6,2020-10-25,Sun,Premier League,Matchweek 6,Home,W 2–0,Southampton,Everton,N,RM,5,0,0,0,0,0.0,0.0,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,0.0,6.0,0.0,0.0,0.0,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League,1.0,0.5,0.642857142857143
7,7,7,7,7,7,7,7,7,7,7,2020-11-01,Sun,Premier League,Matchweek 7,Away,W 4–3,Southampton,Aston Villa,N,CM,12,0,0,0,0,0.0,0.0,1,0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League,1.0,0.5,0.6410256410256411
8,8,8,8,8,8,8,8,8,8,8,2020-11-23,Mon,Premier League,Matchweek 9,Away,D 1–1,Southampton,Wolves,N,RM,1,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,/en/matches/e5bfd125/Wolverhampton-Wanderers-Southampton-November-23-2020-Premier-League,0.5,0.8333333333333334,0.4871794871794871
9,9,9,9,9,9,9,9,9,9,9,2020-11-29,Sun,Premier League,Matchweek 10,Home,L 2–3,Southampton,Manchester Utd,N,RM,1,0,0,0,0,0.0,0.0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/e0a84e7e/Southampton-Manchester-United-November-29-2020-Premier-League,0.0,0.8333333333333334,0.8571428571428571
10,10,10,10,10,10,10,10,10,10,10,2020-11-30,Mon,PL2 — Div. 1,Matchweek 10,Home,L 0–1,Southampton,Brighton,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/e502c486/Southampton-U23-Brighton-and-Hove-Albion-U23-November-30-2020-Premier-League-2----Division-1,0.0,0.5,0.5
11,11,11,11,11,11,11,11,11,11,11,2020-12-13,Sun,Premier League,Matchweek 12,Home,W 3–0,Southampton,Sheffield Utd,N,CM,5,0,0,0,0,0.0,0.0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,1.0,12.0,0.0,1.0,1.0,/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League,1.0,0.1666666666666666,0.1309523809523809
12,12,12,12,12,12,12,12,12,12,12,2020-12-26,Sat,Premier League,Matchweek 15,Away,D 0–0,Southampton,Fulham,Y,CM,90,0,0,0,0,0.0,0.0,0,0,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,82.5,2.0,26.0,0.0,3.0,1.0,/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League,0.5,0.3333333333333333,0.5000000000000001
13,13,13,13,13,13,13,13,13,13,13,2021-01-04,Mon,Premier League,Matchweek 17,Home,W 1–0,Southampton,Liverpool,Y,CM,90,0,0,0,0,0.0,0.0,0,0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.0,76.9,2.0,17.0,1.0,2.0,1.0,/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League,1.0,0.5,0.5
14,14,14,14,14,14,14,14,14,14,14,2021-01-16,Sat,Premier League,Matchweek 19,Away,L 0–2,Southampton,Leicester City,Y,CM,86,0,0,0,0,0.0,0.0,1,0,54.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0,77.5,5.0,37.0,1.0,1.0,1.0,/en/matches/85d4ec49/Leicester-City-Southampton-January-16-2021-Premier-League,0.0,0.8333333333333334,0.5
15,15,15,15,15,15,15,15,15,15,15,2021-01-19,Tue,FA Cup,Third round proper,Home,W 2–0,Southampton,Shrewsbury,Y,CM,89,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8ca72c38/Southampton-Shrewsbury-Town-January-19-2021-FA-Cup,1.0,0.5,0.5
16,16,16,16,16,16,16,16,16,16,16,2021-01-23,Sat,FA Cup,Fourth round proper,Home,W 1–0,Southampton,Arsenal,Y,CM,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/37753f62/Southampton-Arsenal-January-23-2021-FA-Cup,1.0,0.6666666666666666,0.5
17,17,17,17,17,17,17,17,17,17,17,2021-01-26,Tue,Premier League,Matchweek 20,Home,L 1–3,Southampton,Arsenal,Y,"CM,LB",90,0,0,0,0,2.0,0.0,0,0,68.0,1.0,0.0,1.0,0.2,0.2,0.0,2.0,0.0,54.0,61.0,88.5,5.0,55.0,2.0,2.0,2.0,/en/matches/ac54f8a6/Southampton-Arsenal-January-26-2021-Premier-League,0.0,0.6666666666666666,0.5
18,18,18,18,18,18,18,18,18,18,18,2021-01-30,Sat,Premier League,Matchweek 21,Home,L 0–1,Southampton,Aston Villa,Y,CM,58,0,0,0,0,0.0,0.0,0,0,43.0,2.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,31.0,40.0,77.5,4.0,21.0,1.0,1.0,1.0,/en/matches/10d13e5b/Southampton-Aston-Villa-January-30-2021-Premier-League,0.0,0.6666666666666666,0.5
19,19,19,19,19,19,19,19,19,19,19,2021-03-06,Sat,Premier League,Matchweek 27,Away,W 2–0,Southampton,Sheffield Utd,Y,CM,90,0,0,0,0,0.0,0.0,0,0,62.0,2.0,0.0,0.0,0.0,0.0,0.1,3.0,1.0,47.0,54.0,87.0,5.0,34.0,1.0,1.0,0.0,/en/matches/9d08bb4e/Sheffield-United-Southampton-March-6-2021-Premier-League,1.0,0.3333333333333333,0.5
