,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Away,L 1–5,Leeds United,Manchester Utd,Y,"CM,DM",90,0,0,0,0,0,0,0,0,37.0,2.0,3,1.0,0.0,0.0,0.0,1.0,0.0,20.0,27.0,74.1,5.0,15.0,0.0,3.0,3.0,/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League,0.0,0.5,0.5595238095238095
1,1,1,1,1,1,1,2021-12-18,Sat,Premier League,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,CB,90,0,0,0,0,0,0,1,0,51.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,77.8,3.0,22.0,0.0,0.0,0.0,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League,0.0,0.5,0.6666666666666667
2,2,2,2,2,2,2,2022-01-02,Sun,Premier League,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,43.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,21.0,31.0,67.7,1.0,6.0,0.0,0.0,0.0,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,2022-01-09,Sun,FA Cup,Third round proper,Away,L 0–2,Leeds United,West Ham,Y,DM,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/b5e5de2f/West-Ham-United-Leeds-United-January-9-2022-FA-Cup,0.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,2022-01-16,Sun,Premier League,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,DM,90,0,0,0,0,0,0,1,0,37.0,0.0,0,2.0,0.0,0.0,0.0,3.0,0.0,21.0,32.0,65.6,1.0,11.0,0.0,0.0,0.0,/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,2022-01-22,Sat,Premier League,Matchweek 23,Home,L 0–1,Leeds United,Newcastle Utd,Y,DM,90,0,0,0,0,3,1,0,0,43.0,0.0,2,0.0,0.1,0.1,0.0,2.0,0.0,24.0,35.0,68.6,4.0,22.0,0.0,0.0,0.0,/en/matches/07df6328/Leeds-United-Newcastle-United-January-22-2022-Premier-League,0.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,2022-02-09,Wed,Premier League,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,Y,DM,90,0,0,0,0,0,0,0,0,44.0,0.0,0,1.0,0.0,0.0,0.0,3.0,1.0,36.0,39.0,92.3,4.0,22.0,0.0,0.0,0.0,/en/matches/f1e84229/Aston-Villa-Leeds-United-February-9-2022-Premier-League,0.5,0.3333333333333333,0.5
7,7,7,7,7,7,7,2022-02-12,Sat,Premier League,Matchweek 25,Away,L 0–3,Leeds United,Everton,Y,CB,90,0,0,0,0,1,0,0,0,66.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,45.0,54.0,83.3,1.0,38.0,0.0,0.0,0.0,/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League,0.0,0.5,0.5
8,8,8,8,8,8,8,2022-02-20,Sun,Premier League,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y,DM,30,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,6.0,0.0,0.0,0.0,/en/matches/002f0ff0/Leeds-United-Manchester-United-February-20-2022-Premier-League,0.0,0.1666666666666666,0.5
9,9,9,9,9,9,9,2022-02-26,Sat,Premier League,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,Y,"CB,DM",90,0,0,0,0,2,0,0,0,55.0,0.0,3,2.0,0.1,0.1,0.0,2.0,0.0,40.0,47.0,85.1,5.0,24.0,1.0,0.0,0.0,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League,0.0,0.1666666666666666,0.5
