,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2020-09-24,Thu,EFL Cup,Third round,Away,W 7–2,Liverpool,Lincoln City,Y,FW,90,1,1,0,0,3.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/25f4d180/Lincoln-City-Liverpool-September-24-2020-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,2020-10-01,Thu,EFL Cup,Fourth round,Home,D 0 (4)–0 (5),Liverpool,Arsenal,N,,30,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/4235190c/Liverpool-Arsenal-October-1-2020-EFL-Cup,0.5,0.5,0.5
2,2,2,2,2,2,2020-10-08,Thu,Friendlies (M),Friendlies (M),Home,D 1–1,be Belgium,ci Côte d'Ivoire,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c329ddca/Belgium-Cote-dIvoire-October-8-2020-Friendlies-M,0.5,0.5,0.5
3,3,3,3,3,3,2020-10-27,Tue,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,dk Midtjylland,Y,"LW,FW",59,0,0,0,0,0.0,0.0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,0.0,16.0,1.0,2.0,1.0,/en/matches/26a68a35/Liverpool-Midtjylland-October-27-2020-Champions-League,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,2020-11-22,Sun,Premier League,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,N,"LW,RW",2,0,0,0,0,0.0,0.0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League,1.0,0.6666666666666666,0.9230769230769232
5,5,5,5,5,5,2020-11-25,Wed,Champions Lg,Group stage,Home,L 0–2,eng Liverpool,it Atalanta,Y,FW,60,0,0,0,0,0.0,0.0,0,0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,1.0,14.0,0.0,3.0,0.0,/en/matches/827bc8a4/Liverpool-Atalanta-November-25-2020-Champions-League,0.0,0.8333333333333334,0.5
6,6,6,6,6,6,2020-12-09,Wed,Champions Lg,Group stage,Away,D 1–1,eng Liverpool,dk Midtjylland,Y,"FW,LW",70,0,0,0,0,1.0,0.0,0,0,22.0,2.0,0.0,1.0,0.1,0.1,0.1,1.0,0.0,12.0,15.0,80.0,1.0,12.0,0.0,0.0,0.0,/en/matches/a6b14ad5/Midtjylland-Liverpool-December-9-2020-Champions-League,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,2020-12-13,Sun,Premier League,Matchweek 12,Away,D 1–1,Liverpool,Fulham,N,RW,7,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League,0.5,0.5,0.3333333333333333
8,8,8,8,8,8,2020-12-27,Sun,Premier League,Matchweek 15,Home,D 1–1,Liverpool,West Brom,N,FW,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League,0.5,0.3333333333333333,0.15476190476190468
9,9,9,9,9,9,2021-01-08,Fri,FA Cup,Third round proper,Away,W 4–1,Liverpool,Aston Villa,N,,17,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/24cfaad6/Aston-Villa-Liverpool-January-8-2021-FA-Cup,1.0,0.5,0.5
