,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-02,Tue,Copa América,Semi-finals,Neutral,W 2–0,br Brazil,ar Argentina,Y,FW,90,1,1,0,0,1.0,1.0,0,0,46.0,2.0,0.0,2.0,0.6,0.6,0.5,1.0,1.0,23.0,29.0,79.3,4.0,29.0,1.0,5.0,3.0,/en/matches/95ab0ab2/Brazil-Argentina-July-2-2019-Copa-America,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-07-07,Sun,Copa América,Final,Neutral,W 3–1,br Brazil,pe Peru,Y,FW,74,0,0,0,0,3.0,0.0,0,0,45.0,2.0,0.0,1.0,0.2,0.2,0.1,2.0,1.0,25.0,32.0,78.1,1.0,24.0,0.0,3.0,1.0,/en/matches/33ec99f1/Brazil-Peru-July-7-2019-Copa-America,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-04,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (5),Liverpool,Manchester City,Y,FW,78,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a0579b11/Liverpool-Manchester-City-August-4-2019-FA-Community-Shield,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-09,Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,FW,85,0,1,0,0,4.0,1.0,0,0,42.0,1.0,0.0,1.0,0.8,0.8,0.3,3.0,1.0,23.0,30.0,76.7,1.0,26.0,4.0,5.0,4.0,/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-14,Wed,Super Cup,UEFA Super Cup,Home,D 2 (5)–2 (4),eng Liverpool,eng Chelsea,N,,75,0,1,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/4a69dd20/Liverpool-Chelsea-August-14-2019-UEFA-Super-Cup,0.5,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-08-17,Sat,Premier League,Matchweek 2,Away,W 2–1,Liverpool,Southampton,Y,FW,90,1,0,0,0,2.0,1.0,0,0,42.0,0.0,1.0,1.0,0.4,0.4,0.0,2.0,1.0,21.0,28.0,75.0,0.0,28.0,0.0,3.0,3.0,/en/matches/b2a48847/Southampton-Liverpool-August-17-2019-Premier-League,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-08-24,Sat,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,FW,85,0,0,0,0,6.0,1.0,0,0,62.0,2.0,0.0,1.0,0.3,0.3,0.0,4.0,0.0,35.0,45.0,77.8,0.0,42.0,4.0,4.0,2.0,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League,1.0,0.8333333333333334,0.5357142857142857
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-08-31,Sat,Premier League,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,FW,84,1,1,0,0,5.0,2.0,0,0,50.0,1.0,0.0,1.0,0.4,0.4,0.3,6.0,2.0,22.0,33.0,66.7,6.0,32.0,2.0,6.0,3.0,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League,1.0,0.8333333333333334,0.361111111111111
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-06,Fri,Friendlies (M),Friendlies (M),Neutral,D 2–2,br Brazil,co Colombia,Y,FW,82,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3797cc3d/Brazil-Colombia-September-6-2019-Friendlies-M,0.5,1.0,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-09-10,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,br Brazil,pe Peru,Y,FW,62,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/780f9197/Brazil-Peru-September-10-2019-Friendlies-M,0.0,0.8333333333333334,0.5
