,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2021-07-02,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,RW,90,0,0.0,0,0,1.0,0.0,0,0,46.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,27.0,35.0,77.1,1.0,34.0,3.0,2.0,0.0,/en/matches/18c4e831/Switzerland-Spain-July-2-2021-UEFA-Euro,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,2021-07-06,Tue,UEFA Euro,Semi-finals,Away,D 1 (2)–1 (4),es Spain,it Italy,Y,LW,61,0,0.0,0,0,2.0,0.0,0,0,32.0,0.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,21.0,26.0,80.8,0.0,24.0,1.0,3.0,3.0,/en/matches/997fefb3/Italy-Spain-July-6-2021-UEFA-Euro,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2021-08-07,Sat,Community Shield,FA Community Shield,Neutral,L 0–1,Manchester City,Leicester City,Y,FW,73,0,,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/6a1fc101/Leicester-City-Manchester-City-August-7-2021-FA-Community-Shield,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,2021-08-15,Sun,Premier League,Matchweek 1,Away,L 0–1,Manchester City,Tottenham,Y,"FW,RW",90,0,0.0,0,0,2.0,1.0,0,0,26.0,1.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,13.0,20.0,65.0,2.0,12.0,1.0,1.0,1.0,/en/matches/ff51efc7/Tottenham-Hotspur-Manchester-City-August-15-2021-Premier-League,0.0,0.3333333333333333,0.5357142857142857
4,4,4,4,4,4,4,4,4,2021-08-21,Sat,Premier League,Matchweek 2,Home,W 5–0,Manchester City,Norwich City,Y,FW,60,0,0.0,0,0,3.0,0.0,0,0,19.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,12.0,15.0,80.0,0.0,13.0,1.0,2.0,2.0,/en/matches/ab6db0d6/Manchester-City-Norwich-City-August-21-2021-Premier-League,1.0,0.1666666666666666,0.5
5,5,5,5,5,5,5,5,5,2021-08-28,Sat,Premier League,Matchweek 3,Home,W 5–0,Manchester City,Arsenal,Y,FW,90,2,1.0,0,0,4.0,2.0,0,0,36.0,1.0,0.0,0.0,1.5,1.5,0.0,2.0,2.0,22.0,28.0,78.6,2.0,21.0,2.0,3.0,1.0,/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League,1.0,0.3333333333333333,0.4761904761904761
6,6,6,6,6,6,6,6,6,2021-09-02,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,FW,90,0,0.0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a2c7d162/Sweden-Spain-September-2-2021-WCQ----UEFA-M,0.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,2021-09-05,Sun,WCQ,First round,Home,W 4–0,es Spain,ge Georgia,Y,FW,59,1,0.0,0,0,3.0,2.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/c964cf05/Spain-Georgia-September-5-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,2021-09-08,Wed,WCQ,First round,Away,W 2–0,es Spain,xk Kosovo,Y,FW,90,1,0.0,0,0,3.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/d17ef599/Kosovo-Spain-September-8-2021-WCQ----UEFA-M,1.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,2021-09-11,Sat,Premier League,Matchweek 4,Away,W 1–0,Manchester City,Leicester City,Y,FW,63,0,0.0,0,0,4.0,1.0,0,0,19.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,7.0,11.0,63.6,0.0,11.0,1.0,0.0,0.0,/en/matches/8dd69c8d/Leicester-City-Manchester-City-September-11-2021-Premier-League,1.0,0.6666666666666666,0.6904761904761905
