,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-17,Sat,Premier League,Matchweek 2,Away,D 1–1,West Ham,Brighton,N,DM,8,0,0,0,0,0.0,0.0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Watford,N,CM,3,0,0,0,0,0.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,4.0,0.0,0.0,0.0,/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,1.0,0.5,0.511904761904762
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–0,West Ham,Newport County,Y,DM,90,0,0,0,0,0.0,0.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/9e898faf/Newport-County-West-Ham-United-August-27-2019-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 2–0,West Ham,Norwich City,N,DM,6,0,0,0,0,0.0,0.0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,4.0,0.0,0.0,0.0,/en/matches/164148a8/West-Ham-United-Norwich-City-August-31-2019-Premier-League,1.0,0.8333333333333334,0.3452380952380952
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-25,Wed,EFL Cup,Third round,Away,L 0–4,West Ham,Oxford United,Y,DM,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/171578bd/Oxford-United-West-Ham-United-September-25-2019-EFL-Cup,0.0,1.0,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-11-23,Sat,Premier League,Matchweek 13,Home,L 2–3,West Ham,Tottenham,N,CM,27,0,0,0,0,0.0,0.0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,2.0,8.0,0.0,0.0,0.0,/en/matches/a7dc884b/West-Ham-United-Tottenham-Hotspur-November-23-2019-Premier-League,0.0,0.6666666666666666,0.6904761904761906
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-12-14,Sat,Premier League,Matchweek 17,Away,W 1–0,West Ham,Southampton,N,"CM,DM",12,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,0.0,1.0,0.0,0.0,0.0,/en/matches/a47901a8/Southampton-West-Ham-United-December-14-2019-Premier-League,1.0,0.3333333333333333,0.6071428571428571
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-12-28,Sat,Premier League,Matchweek 20,Home,L 1–2,West Ham,Leicester City,Y,DM,61,0,0,0,0,0.0,0.0,0,0,32.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,28.0,78.6,1.0,10.0,0.0,1.0,1.0,/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League,0.0,0.3333333333333333,0.4404761904761904
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-01-05,Sun,FA Cup,Third round,Away,W 2–0,West Ham,Gillingham,N,,1,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/37ecbd37/Gillingham-West-Ham-United-January-5-2020-FA-Cup,1.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-01-25,Sat,FA Cup,Fourth round,Home,L 0–1,West Ham,West Brom,Y,CM,45,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/4d27ec44/West-Ham-United-West-Bromwich-Albion-January-25-2020-FA-Cup,0.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2020-03-02,Mon,PL2 — Div. 2,Matchweek 18,Home,W 4–0,West Ham,Norwich City,Y,DM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/a6942c8c/West-Ham-United-U23-Norwich-City-U23-March-2-2020-Premier-League-2----Division-2,1.0,0.3333333333333333,0.5
