,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-05,Fri,Ligue 1,Matchweek 1,Home,W 2–1,Lyon,Ajaccio,Y,"CM,RM",74,0,0,0,0,1.0,0.0,0,0,64.0,2.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,48.0,54.0,88.9,2.0,52.0,0.0,1.0,0.0,/en/matches/47ab569b/Lyon-Ajaccio-August-5-2022-Ligue-1,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-19,Fri,Ligue 1,Matchweek 3,Home,W 4–1,Lyon,Troyes,Y,RM,85,0,0,0,0,4.0,1.0,0,0,82.0,3.0,1.0,2.0,0.3,0.3,0.2,8.0,1.0,62.0,72.0,86.1,6.0,69.0,3.0,2.0,1.0,/en/matches/a1baf3a5/Lyon-Troyes-August-19-2022-Ligue-1,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-31,Wed,Premier League,Matchweek 5,Home,D 1–1,West Ham,Tottenham,N,AM,24,0,0,0,0,0.0,0.0,1,0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,0.0,7.0,0.0,1.0,0.0,/en/matches/9f221621/West-Ham-United-Tottenham-Hotspur-August-31-2022-Premier-League,0.5,0.5,0.8055555555555555
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-09-03,Sat,Premier League,Matchweek 6,Away,L 1–2,West Ham,Chelsea,Y,"AM,LM",82,0,0,0,0,1.0,1.0,0,0,42.0,2.0,2.0,3.0,0.2,0.2,0.0,3.0,1.0,20.0,25.0,80.0,2.0,20.0,0.0,4.0,2.0,/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,0.0,0.8333333333333334,0.38541666666666663
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-09-08,Thu,Conf Lg,Group stage,Home,W 3–1,eng West Ham,ro FCSB,N,LM,45,0,0,0,0,1.0,0.0,0,0,31.0,1.0,0.0,0.0,0.1,0.1,0.1,3.0,1.0,18.0,26.0,69.2,4.0,20.0,1.0,1.0,0.0,/en/matches/174368b2/West-Ham-United-FCSB-September-8-2022-Europa-Conference-League,1.0,0.5,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-15,Thu,Conf Lg,Group stage,Away,W 3–2,eng West Ham,dk Silkeborg,Y,AM,62,0,0,0,0,2.0,0.0,0,0,46.0,2.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,34.0,38.0,89.5,3.0,21.0,1.0,0.0,0.0,/en/matches/c48dba9f/Silkeborg-West-Ham-United-September-15-2022-Europa-Conference-League,1.0,0.5,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-18,Sun,Premier League,Matchweek 8,Away,L 0–1,West Ham,Everton,Y,AM,60,0,0,0,0,1.0,1.0,0,0,29.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,21.0,23.0,91.3,3.0,18.0,0.0,0.0,0.0,/en/matches/96e9dc0f/Everton-West-Ham-United-September-18-2022-Premier-League,0.0,0.6666666666666666,0.511904761904762
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-09-23,Fri,Friendlies (M),Friendlies (M),Neutral,W 3–0,br Brazil,gh Ghana,Y,CM,78,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/756dc6e1/Brazil-Ghana-September-23-2022-Friendlies-M,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-09-27,Tue,Friendlies (M),Friendlies (M),Neutral,W 5–1,br Brazil,tn Tunisia,Y,AM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/963b2d1a/Brazil-Tunisia-September-27-2022-Friendlies-M,1.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-01,Sat,Premier League,Matchweek 9,Home,W 2–0,West Ham,Wolves,Y,AM,73,0,0,0,0,1.0,0.0,0,0,55.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,43.0,83.7,4.0,19.0,0.0,1.0,0.0,/en/matches/89ff6cd8/West-Ham-United-Wolverhampton-Wanderers-October-1-2022-Premier-League,1.0,0.6666666666666666,0.5111111111111112
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2022-10-06,Thu,Conf Lg,Group stage,Away,W 1–0,eng West Ham,be Anderlecht,N,AM,22,0,1,0,0,0.0,0.0,0,0,30.0,0.0,1.0,1.0,0.0,0.0,0.1,2.0,1.0,21.0,27.0,77.8,4.0,13.0,1.0,1.0,0.0,/en/matches/e89660f6/Anderlecht-West-Ham-United-October-6-2022-Europa-Conference-League,1.0,1.0,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-10-09,Sun,Premier League,Matchweek 10,Home,W 3–1,West Ham,Fulham,Y,AM,83,0,1,0,0,4.0,1.0,0,0,65.0,1.0,0.0,0.0,0.2,0.2,0.4,5.0,1.0,46.0,56.0,82.1,3.0,30.0,1.0,1.0,1.0,/en/matches/42e38f9d/West-Ham-United-Fulham-October-9-2022-Premier-League,1.0,1.0,0.3444444444444443
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2022-10-13,Thu,Conf Lg,Group stage,Home,W 2–1,eng West Ham,be Anderlecht,Y,FW,45,0,0,0,0,1.0,0.0,1,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,28.0,96.4,1.0,17.0,2.0,2.0,0.0,/en/matches/ee2454c5/West-Ham-United-Anderlecht-October-13-2022-Europa-Conference-League,1.0,1.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-10-16,Sun,Premier League,Matchweek 11,Away,D 1–1,West Ham,Southampton,Y,LW,86,0,0,0,0,8.0,2.0,0,0,62.0,2.0,1.0,0.0,0.5,0.5,0.0,4.0,0.0,31.0,47.0,66.0,10.0,25.0,2.0,0.0,0.0,/en/matches/2f5adfad/Southampton-West-Ham-United-October-16-2022-Premier-League,0.5,1.0,0.1249999999999999
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-11-06,Sun,Premier League,Matchweek 15,Home,L 1–2,West Ham,Crystal Palace,Y,AM,89,0,1,0,0,0.0,0.0,0,0,54.0,6.0,0.0,3.0,0.0,0.0,0.1,1.0,1.0,31.0,45.0,68.9,2.0,31.0,1.0,1.0,1.0,/en/matches/2586fb04/West-Ham-United-Crystal-Palace-November-6-2022-Premier-League,0.0,0.8333333333333334,0.638888888888889
