,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,Sheffield Utd,Y,WB,90,0,0,0,0,1,0,0,0,71.0,5.0,3,0.0,0.0,0.0,0.0,1.0,0.0,34.0,56.0,60.7,7.0,39.0,1.0,1.0,1.0,/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-28,Wed,EFL Cup,Second round,Home,D 0 (3)–0 (0),Bournemouth,FG Rovers,Y,LB,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/7622c110/Bournemouth-Forest-Green-Rovers-August-28-2019-EFL-Cup,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-09-15,Sun,Premier League,Matchweek 5,Home,W 3–1,Bournemouth,Everton,Y,LB,89,0,1,0,0,0,0,0,0,72.0,1.0,3,0.0,0.0,0.0,0.4,3.0,1.0,35.0,60.0,58.3,4.0,29.0,2.0,1.0,1.0,/en/matches/886c59ae/Bournemouth-Everton-September-15-2019-Premier-League,1.0,0.5,0.6904761904761905
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-09-20,Fri,Premier League,Matchweek 6,Away,W 3–1,Bournemouth,Southampton,Y,LB,90,0,1,0,0,1,0,0,0,79.0,1.0,5,2.0,0.0,0.0,0.1,1.0,1.0,39.0,57.0,68.4,5.0,33.0,1.0,3.0,2.0,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,1.0,0.6666666666666666,0.75
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Bournemouth,West Ham,Y,LB,90,0,0,0,0,0,0,1,0,80.0,1.0,1,0.0,0.0,0.0,0.6,7.0,1.0,55.0,69.0,79.7,7.0,29.0,0.0,0.0,0.0,/en/matches/704e536e/Bournemouth-West-Ham-United-September-28-2019-Premier-League,0.5,0.8333333333333334,0.6428571428571429
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Bournemouth,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,85.0,2.0,4,0.0,0.0,0.0,0.2,4.0,0.0,36.0,65.0,55.4,9.0,34.0,2.0,1.0,0.0,/en/matches/9575566f/Arsenal-Bournemouth-October-6-2019-Premier-League,0.0,0.8333333333333334,0.8214285714285714
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-10-19,Sat,Premier League,Matchweek 9,Home,D 0–0,Bournemouth,Norwich City,Y,LB,90,0,0,0,0,1,0,0,0,71.0,0.0,1,0.0,0.0,0.0,0.1,5.0,0.0,47.0,66.0,71.2,12.0,38.0,3.0,2.0,1.0,/en/matches/d71c01eb/Bournemouth-Norwich-City-October-19-2019-Premier-League,0.5,0.5,0.1785714285714285
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-26,Sat,Premier League,Matchweek 10,Away,D 0–0,Bournemouth,Watford,Y,LB,90,0,0,0,0,3,1,1,0,94.0,5.0,3,2.0,0.1,0.1,0.1,3.0,0.0,49.0,76.0,64.5,6.0,46.0,4.0,1.0,1.0,/en/matches/1ef8e186/Watford-Bournemouth-October-26-2019-Premier-League,0.5,0.3333333333333333,0.4404761904761904
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-11-02,Sat,Premier League,Matchweek 11,Home,W 1–0,Bournemouth,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,67.0,3.0,7,2.0,0.0,0.0,0.0,1.0,0.0,35.0,49.0,71.4,7.0,31.0,1.0,1.0,0.0,/en/matches/9e35d172/Bournemouth-Manchester-United-November-2-2019-Premier-League,1.0,0.3333333333333333,0.9047619047619048
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-11-09,Sat,Premier League,Matchweek 12,Away,L 1–2,Bournemouth,Newcastle Utd,Y,LB,65,0,0,0,0,0,0,0,0,51.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,31.0,44.0,70.5,3.0,16.0,1.0,2.0,0.0,/en/matches/698f846d/Newcastle-United-Bournemouth-November-9-2019-Premier-League,0.0,0.6666666666666666,0.5238095238095238
