,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-18,Sat,Premier League,Matchweek 5,Home,W 3–0,Liverpool,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,65.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,49.0,56.0,87.5,5.0,42.0,1.0,0.0,0.0,/en/matches/59ef8c18/Liverpool-Crystal-Palace-September-18-2021-Premier-League,1.0,0.5,0.619047619047619
1,1,1,1,1,1,1,1,1,1,1,1,1,2021-09-21,Tue,EFL Cup,Third round,Away,W 3–0,Liverpool,Norwich City,Y,CB,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/1d32b710/Norwich-City-Liverpool-September-21-2021-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2021-10-24,Sun,Premier League,Matchweek 9,Away,W 5–0,Liverpool,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,59.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,48.0,91.7,2.0,33.0,0.0,0.0,0.0,/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League,1.0,0.5,0.5714285714285714
3,3,3,3,3,3,3,3,3,3,3,3,3,2021-10-30,Sat,Premier League,Matchweek 10,Home,D 2–2,Liverpool,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,85.0,1.0,4,0.0,0.0,0.0,0.0,2.0,1.0,60.0,75.0,80.0,5.0,36.0,0.0,0.0,0.0,/en/matches/c68998b5/Liverpool-Brighton-and-Hove-Albion-October-30-2021-Premier-League,0.5,1.0,0.4166666666666666
4,4,4,4,4,4,4,4,4,4,4,4,4,2021-11-24,Wed,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,pt Porto,Y,CB,90,0,0,0,0,0,0,1,0,71.0,2.0,0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,65.0,84.6,0.0,44.0,0.0,0.0,0.0,/en/matches/a8898813/Liverpool-Porto-November-24-2021-Champions-League,1.0,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,2021-11-27,Sat,Premier League,Matchweek 13,Home,W 4–0,Liverpool,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,64.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,43.0,52.0,82.7,0.0,21.0,0.0,0.0,0.0,/en/matches/aa9b882d/Liverpool-Southampton-November-27-2021-Premier-League,1.0,0.8333333333333334,0.6547619047619048
6,6,6,6,6,6,6,6,6,6,6,6,6,2021-12-07,Tue,Champions Lg,Group stage,Away,W 2–1,eng Liverpool,it Milan,Y,CB,90,0,0,0,0,2,0,0,0,61.0,2.0,3,1.0,0.1,0.1,0.0,1.0,0.0,41.0,47.0,87.2,3.0,35.0,0.0,0.0,0.0,/en/matches/dd8d2903/Milan-Liverpool-December-7-2021-Champions-League,1.0,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,2021-12-16,Thu,Premier League,Matchweek 17,Home,W 3–1,Liverpool,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,0,0,95.0,1.0,3,0.0,0.0,0.0,0.0,1.0,0.0,81.0,89.0,91.0,6.0,65.0,1.0,0.0,0.0,/en/matches/5aec4772/Liverpool-Newcastle-United-December-16-2021-Premier-League,1.0,1.0,0.4166666666666667
8,8,8,8,8,8,8,8,8,8,8,8,8,2021-12-19,Sun,Premier League,Matchweek 18,Away,D 2–2,Liverpool,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,61.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0,89.3,4.0,32.0,2.0,0.0,0.0,/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League,0.5,1.0,0.7142857142857143
9,9,9,9,9,9,9,9,9,9,9,9,9,2021-12-22,Wed,EFL Cup,Quarter-finals,Home,D 3 (5)–3 (4),Liverpool,Leicester City,N,,45,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/7d868ad3/Liverpool-Leicester-City-December-22-2021-EFL-Cup,0.5,0.8333333333333334,0.5
