,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,2022-02-13,Sun,Premier League,Matchweek 25,Home,L 0–1,Burnley,Liverpool,Y,RB,90,0,0,0,0,0.0,0.0,0,0,54.0,0.0,3.0,1.0,0.0,0.0,0.2,1.0,0.0,29.0,41.0,70.7,1.0,17.0,1.0,0.0,0.0,/en/matches/ee0b72dd/Burnley-Liverpool-February-13-2022-Premier-League,0.0,0.5,0.5
11,11,11,11,11,11,2022-02-19,Sat,Premier League,Matchweek 26,Away,W 3–0,Burnley,Brighton,Y,RB,90,0,1,0,0,1.0,0.0,1,0,41.0,0.0,1.0,2.0,0.0,0.0,0.1,1.0,1.0,21.0,34.0,61.8,4.0,18.0,0.0,0.0,0.0,/en/matches/b1df8cfd/Brighton-and-Hove-Albion-Burnley-February-19-2022-Premier-League,1.0,0.3333333333333333,0.5
12,12,12,12,12,12,2022-02-23,Wed,Premier League,Matchweek 13,Home,W 1–0,Burnley,Tottenham,Y,RB,90,0,0,0,0,0.0,0.0,0,0,47.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,33.0,37.0,89.2,2.0,27.0,1.0,3.0,3.0,/en/matches/f8d646cb/Burnley-Tottenham-Hotspur-February-23-2022-Premier-League,1.0,0.5,0.5
13,13,13,13,13,13,2022-02-26,Sat,Premier League,Matchweek 27,Away,D 1–1,Burnley,Crystal Palace,Y,RB,90,0,0,0,0,0.0,0.0,0,0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,56.0,58.9,4.0,21.0,0.0,0.0,0.0,/en/matches/086dcb8d/Crystal-Palace-Burnley-February-26-2022-Premier-League,0.5,0.6666666666666666,0.5
14,14,14,14,14,14,2022-03-01,Tue,Premier League,Matchweek 22,Home,L 0–2,Burnley,Leicester City,Y,RB,90,0,0,0,0,1.0,1.0,0,0,66.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,55.0,60.0,1.0,14.0,2.0,0.0,0.0,/en/matches/a47f5f21/Burnley-Leicester-City-March-1-2022-Premier-League,0.0,0.8333333333333334,0.5
15,15,15,15,15,15,2022-03-05,Sat,Premier League,Matchweek 28,Home,L 0–4,Burnley,Chelsea,Y,RB,90,0,0,0,0,0.0,0.0,0,0,53.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,43.0,65.1,6.0,17.0,0.0,1.0,0.0,/en/matches/926192f8/Burnley-Chelsea-March-5-2022-Premier-League,0.0,0.5,0.5
16,16,16,16,16,16,2022-03-12,Sat,Premier League,Matchweek 29,Away,L 0–2,Burnley,Brentford,Y,RB,90,0,0,0,0,0.0,0.0,0,0,69.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,59.0,52.5,4.0,31.0,1.0,0.0,0.0,/en/matches/9718a901/Brentford-Burnley-March-12-2022-Premier-League,0.0,0.1666666666666666,0.5
17,17,17,17,17,17,2022-03-24,Thu,WCQ,Semi-finals,Home,W 2–1,wls Wales,at Austria,Y,LB,90,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a5b025eb/Wales-Austria-March-24-2022-WCQ----UEFA-M,1.0,0.0,0.5
18,18,18,18,18,18,2022-04-02,Sat,Premier League,Matchweek 31,Home,L 0–2,Burnley,Manchester City,Y,RB,90,0,0,0,0,0.0,0.0,0,0,37.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,63.0,0.0,14.0,1.0,0.0,0.0,/en/matches/c294f564/Burnley-Manchester-City-April-2-2022-Premier-League,0.0,0.3333333333333333,0.5
19,19,19,19,19,19,2022-04-06,Wed,Premier League,Matchweek 19,Home,W 3–2,Burnley,Everton,Y,RB,71,0,0,0,0,0.0,0.0,0,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.0,61.0,2.0,23.0,0.0,2.0,0.0,/en/matches/8ee025e7/Burnley-Everton-April-6-2022-Premier-League,1.0,0.3333333333333333,0.5
