,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-13,Fri,Premier League,Matchweek 1,Home,W 2–0,Brentford,Arsenal,N,FW,5,0,0,0,0,0.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,1.0,1.0,0.0,/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-24,Tue,EFL Cup,Second round,Home,W 3–1,Brentford,FG Rovers,Y,FW,90,1,0,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/7f1ff137/Brentford-Forest-Green-Rovers-August-24-2021-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-09-01,Wed,Friendlies (M),Friendlies (M),Home,D 0–0,fi Finland,wls Wales,Y,FW,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/678222a1/Finland-Wales-September-1-2021-Friendlies-M,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-04,Sat,WCQ,First round,Home,W 1–0,fi Finland,kz Kazakhstan,N,,1,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/efa8688d/Finland-Kazakhstan-September-4-2021-WCQ----UEFA-M,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-21,Tue,EFL Cup,Third round,Home,W 7–0,Brentford,Oldham Athletic,Y,FW,90,4,0,1,1,5.0,4.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/85244b49/Brentford-Oldham-Athletic-September-21-2021-EFL-Cup,1.0,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-16,Sat,Premier League,Matchweek 8,Home,L 0–1,Brentford,Chelsea,N,CM,24,0,0,0,0,2.0,0.0,0,0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,6.0,50.0,1.0,5.0,0.0,0.0,0.0,/en/matches/866cfb1f/Brentford-Chelsea-October-16-2021-Premier-League,0.0,0.8333333333333334,0.6309523809523808
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-24,Sun,Premier League,Matchweek 9,Home,L 1–2,Brentford,Leicester City,N,FW,34,0,0,0,0,0.0,0.0,0,0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,6.0,0.0,0.0,0.0,/en/matches/b5c25937/Brentford-Leicester-City-October-24-2021-Premier-League,0.0,0.6666666666666666,0.7976190476190477
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-27,Wed,EFL Cup,Fourth round,Away,W 2–1,Brentford,Stoke City,Y,FW,71,0,1,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/9a33ffe9/Stoke-City-Brentford-October-27-2021-EFL-Cup,1.0,0.3333333333333333,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-30,Sat,Premier League,Matchweek 10,Away,L 1–3,Brentford,Burnley,Y,FW,90,0,0,0,0,1.0,0.0,0,0,25.0,1.0,0.0,3.0,0.1,0.1,0.0,0.0,0.0,9.0,13.0,69.2,4.0,8.0,1.0,1.0,0.0,/en/matches/c8915e9e/Burnley-Brentford-October-30-2021-Premier-League,0.0,0.3333333333333333,0.2638888888888888
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-11-06,Sat,Premier League,Matchweek 11,Home,L 1–2,Brentford,Norwich City,N,"FW,WB",22,0,0,0,0,0.0,0.0,0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,3.0,0.0,1.0,1.0,/en/matches/0f029791/Brentford-Norwich-City-November-6-2021-Premier-League,0.0,0.3333333333333333,0.2023809523809523
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-11-13,Sat,WCQ,First round,Away,W 3–1,fi Finland,ba Bosnia & Herz'na,Y,CB,45,1,0,0,0,2.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/f4380c31/Bosnia-and-Herzegovina-Finland-November-13-2021-WCQ----UEFA-M,1.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-11-16,Tue,WCQ,First round,Home,L 0–2,fi Finland,fr France,N,,27,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0072e300/Finland-France-November-16-2021-WCQ----UEFA-M,0.0,0.3333333333333333,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-12-10,Fri,Premier League,Matchweek 16,Home,W 2–1,Brentford,Watford,N,FW,22,0,1,0,0,1.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,/en/matches/49a36a4e/Brentford-Watford-December-10-2021-Premier-League,1.0,0.3333333333333333,0.0476190476190476
13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-12-22,Wed,EFL Cup,Quarter-finals,Home,L 0–2,Brentford,Chelsea,N,,10,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/195bfa06/Brentford-Chelsea-December-22-2021-EFL-Cup,0.0,0.6666666666666666,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-01-08,Sat,FA Cup,Third round proper,Away,W 4–1,Brentford,Port Vale,Y,FW,90,1,0,0,0,2.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/266a7ddd/Port-Vale-Brentford-January-8-2022-FA-Cup,1.0,0.3333333333333333,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,2022-01-22,Sat,Premier League,Matchweek 23,Home,L 1–2,Brentford,Wolves,N,"RW,CM",12,0,0,0,0,1.0,0.0,0,0,8.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,5.0,60.0,1.0,1.0,0.0,0.0,0.0,/en/matches/9f91ec9b/Brentford-Wolverhampton-Wanderers-January-22-2022-Premier-League,0.0,0.6666666666666666,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,2022-02-05,Sat,Championship,Matchweek 30,Home,L 0–1,Hull City,Preston,N,LW,37,0,0,0,0,1.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,7.0,0.0,0.0,0.0,/en/matches/15f3aeb8/Hull-City-Preston-North-End-February-5-2022-Championship,0.0,0.3333333333333333,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-02-08,Tue,Championship,Matchweek 31,Away,L 1–3,Hull City,Derby County,Y,FW,90,0,0,0,0,2.0,1.0,0,0,17.0,0.0,0.0,1.0,0.3,0.3,0.2,2.0,0.0,4.0,10.0,40.0,1.0,5.0,0.0,0.0,0.0,/en/matches/0e114a6c/Derby-County-Hull-City-February-8-2022-Championship,0.0,0.3333333333333333,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,2022-02-12,Sat,Championship,Matchweek 32,Home,L 0–1,Hull City,Fulham,Y,FW,71,0,0,0,0,2.0,0.0,0,0,23.0,2.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,8.0,13.0,61.5,0.0,9.0,0.0,1.0,0.0,/en/matches/0ae28b09/Hull-City-Fulham-February-12-2022-Championship,0.0,0.0,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,2022-02-15,Tue,Championship,Matchweek 25,Away,D 0–0,Hull City,Sheffield Utd,Y,FW,55,0,0,0,0,1.0,0.0,0,0,9.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,6.0,50.0,0.0,4.0,0.0,0.0,0.0,/en/matches/cb50405a/Sheffield-United-Hull-City-February-15-2022-Championship,0.5,0.0,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022-02-19,Sat,Championship,Matchweek 33,Away,D 1–1,Hull City,QPR,Y,FW,80,1,0,0,0,1.0,1.0,1,0,14.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,3.0,7.0,42.9,1.0,12.0,0.0,0.0,0.0,/en/matches/d905907e/Queens-Park-Rangers-Hull-City-February-19-2022-Championship,0.5,0.1666666666666666,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,2022-02-22,Tue,Championship,Matchweek 34,Home,L 0–2,Hull City,Barnsley,Y,FW,59,0,0,0,0,0.0,0.0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,3.0,0.0,0.0,0.0,/en/matches/ee5f49ac/Hull-City-Barnsley-February-22-2022-Championship,0.0,0.3333333333333333,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,2022-03-12,Sat,Championship,Matchweek 37,Away,D 0–0,Hull City,Birmingham City,N,FW,25,0,0,0,0,1.0,0.0,0,0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,2.0,5.0,0.0,0.0,0.0,/en/matches/ce0652d3/Birmingham-City-Hull-City-March-12-2022-Championship,0.5,0.3333333333333333,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,2022-03-19,Sat,Championship,Matchweek 39,Home,L 1–3,Hull City,Luton Town,N,WB,16,0,1,0,0,1.0,0.0,0,0,6.0,0.0,0.0,0.0,0.2,0.2,0.7,2.0,1.0,4.0,4.0,100.0,0.0,3.0,0.0,1.0,0.0,/en/matches/0a2e251b/Hull-City-Luton-Town-March-19-2022-Championship,0.0,0.3333333333333333,0.5
