,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-04,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (5),Liverpool,Manchester City,Y,CM,120,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a0579b11/Liverpool-Manchester-City-August-4-2019-FA-Community-Shield,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-09,Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,"LM,AM",90,0,0,0,0,0,0,0,0,44.0,0.0,1,0.0,0.0,0.0,0.0,4.0,1.0,37.0,40.0,92.5,6.0,37.0,3.0,1.0,1.0,/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-14,Wed,Super Cup,UEFA Super Cup,Home,D 2 (5)–2 (4),eng Liverpool,eng Chelsea,N,,57,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/4a69dd20/Liverpool-Chelsea-August-14-2019-UEFA-Super-Cup,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-17,Sat,Premier League,Matchweek 2,Away,W 2–1,Liverpool,Southampton,Y,"CM,LM",90,0,0,0,0,0,0,0,0,53.0,2.0,1,0.0,0.0,0.0,0.0,4.0,1.0,35.0,41.0,85.4,2.0,33.0,1.0,1.0,0.0,/en/matches/b2a48847/Southampton-Liverpool-August-17-2019-Premier-League,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-24,Sat,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,LM,68,0,0,0,0,2,0,0,0,65.0,1.0,2,0.0,0.1,0.1,0.0,2.0,1.0,57.0,58.0,98.3,9.0,54.0,1.0,3.0,1.0,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League,1.0,0.8333333333333334,0.5357142857142857
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-08-31,Sat,Premier League,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,LM,90,0,0,0,0,1,1,0,0,51.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,48.0,85.4,5.0,40.0,2.0,2.0,1.0,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League,1.0,0.8333333333333334,0.361111111111111
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-06,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–2,nl Netherlands,de Germany,Y,CM,90,1,1,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7548d2e8/Germany-Netherlands-September-6-2019-UEFA-Euro-Qualifying,1.0,1.0,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-09,Mon,UEFA Euro Qualifying,Group stage,Away,W 4–0,nl Netherlands,ee Estonia,Y,CM,90,1,0,0,0,3,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2b920b1b/Estonia-Netherlands-September-9-2019-UEFA-Euro-Qualifying,1.0,1.0,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,Y,"LM,RM",83,0,0,0,0,2,1,0,0,93.0,2.0,0,1.0,0.1,0.1,0.0,1.0,0.0,78.0,82.0,95.1,9.0,72.0,0.0,0.0,0.0,/en/matches/cde24fee/Liverpool-Newcastle-United-September-14-2019-Premier-League,1.0,1.0,0.5357142857142857
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-09-17,Tue,Champions Lg,Group stage,Away,L 0–2,eng Liverpool,it Napoli,N,LM,25,0,0,0,0,0,0,0,0,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,95.0,1.0,17.0,0.0,0.0,0.0,/en/matches/83579d2e/Napoli-Liverpool-September-17-2019-Champions-League,0.0,1.0,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2019-09-22,Sun,Premier League,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,Y,"LM,LW,RM",90,0,0,0,0,1,0,0,0,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,85.2,1.0,18.0,0.0,0.0,0.0,/en/matches/02e3ae79/Chelsea-Liverpool-September-22-2019-Premier-League,1.0,0.6666666666666666,0.5833333333333333
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2019-09-28,Sat,Premier League,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,Y,"LM,DM",90,1,0,0,0,4,1,0,0,60.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,50.0,51.0,98.0,5.0,44.0,3.0,2.0,0.0,/en/matches/1224c8ae/Sheffield-United-Liverpool-September-28-2019-Premier-League,1.0,0.6666666666666666,0.4743589743589743
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2019-10-02,Wed,Champions Lg,Group stage,Home,W 4–3,eng Liverpool,at RB Salzburg,Y,LM,63,0,0,0,0,1,0,0,0,47.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,43.0,43.0,100.0,6.0,25.0,4.0,2.0,2.0,/en/matches/ca11ab0f/Liverpool-Red-Bull-Salzburg-October-2-2019-Champions-League,1.0,0.6666666666666666,0.5
