,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,AM,85,0,0,0,0,2,0,0,0,44.0,4.0,0,1.0,0.1,0.1,0.1,5.0,1.0,24.0,31.0,77.4,6.0,16.0,1.0,2.0,1.0,/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,"RW,FW",15,0,0,0,0,1,1,0,0,9.0,0.0,1,0.0,0.1,0.1,0.0,2.0,0.0,6.0,7.0,85.7,0.0,7.0,1.0,1.0,1.0,/en/matches/44b9a07c/West-Ham-United-Chelsea-August-20-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,CM,7,0,0,0,0,0,0,0,0,8.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,1.0,6.0,0.0,1.0,0.0,/en/matches/ba68d60c/Brighton-and-Hove-Albion-West-Ham-United-August-26-2023-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,LW,19,0,0,0,0,0,0,0,0,11.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,8.0,0.0,1.0,0.0,/en/matches/e929e225/Luton-Town-West-Ham-United-September-1-2023-Premier-League,1.0,0.8333333333333334,0.3958333333333333
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-21,Thu,Europa Lg,Group stage,Home,W 3–1,eng West Ham,rs TSC Bačka Top,Y,AM,60,0,0,0,0,3,1,0,0,47.0,0.0,1,0.0,0.1,0.1,0.2,4.0,0.0,31.0,40.0,77.5,6.0,27.0,2.0,1.0,0.0,/en/matches/c376e97b/West-Ham-United-TSC-Backa-Top-September-21-2023-Europa-League,1.0,1.0,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,West Ham,Liverpool,N,LW,17,0,0,0,0,2,1,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,88.9,0.0,9.0,0.0,1.0,1.0,/en/matches/90adf8b3/Liverpool-West-Ham-United-September-24-2023-Premier-League,0.0,1.0,0.9
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-27,Wed,EFL Cup,Third round,Away,W 1–0,West Ham,Lincoln City,Y,DM,65,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/733dee90/Lincoln-City-West-Ham-United-September-27-2023-EFL-Cup,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–0,West Ham,Sheffield Utd,N,"RM,FW",1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,/en/matches/b82be6d7/West-Ham-United-Sheffield-United-September-30-2023-Premier-League,1.0,0.6666666666666666,0.2604166666666666
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-05,Thu,Europa Lg,Group stage,Away,W 2–1,eng West Ham,de Freiburg,Y,LW,70,0,0,0,0,0,0,0,0,34.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,71.4,3.0,23.0,2.0,3.0,1.0,/en/matches/734e1b51/Freiburg-West-Ham-United-October-5-2023-Europa-League,1.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-22,Sun,Premier League,Matchweek 9,Away,L 1–4,West Ham,Aston Villa,N,LW,1,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,2.0,1.0,0.0,0.0,0.0,/en/matches/7efcc598/Aston-Villa-West-Ham-United-October-22-2023-Premier-League,0.0,1.0,0.6923076923076922
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-26,Thu,Europa Lg,Group stage,Away,L 1–2,eng West Ham,gr Olympiacos,Y,LW,57,0,0,0,0,1,1,0,0,34.0,1.0,1,0.0,0.0,0.0,0.0,2.0,0.0,22.0,30.0,73.3,4.0,20.0,0.0,0.0,0.0,/en/matches/a945ca05/Olympiacos-West-Ham-United-October-26-2023-Europa-League,0.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 2–3,West Ham,Brentford,N,LM,27,0,0,0,0,1,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,19.0,68.4,3.0,17.0,0.0,2.0,2.0,/en/matches/3235dd6e/Brentford-West-Ham-United-November-4-2023-Premier-League,0.0,0.3333333333333333,0.7083333333333333
