,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Away,L 1–3,Aston Villa,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,28.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,1.0,11.0,0.0,1.0,1.0,/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Home,L 1–2,Aston Villa,Bournemouth,Y,CB,90,0,0,0,0,1,0,0,0,65.0,0.0,2,1.0,0.2,0.2,0.0,3.0,0.0,53.0,60.0,88.3,6.0,35.0,0.0,0.0,0.0,/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-23,Fri,Premier League,Matchweek 3,Home,W 2–0,Aston Villa,Everton,Y,CB,90,0,0,0,0,0,0,0,0,48.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,80.0,2.0,20.0,0.0,0.0,0.0,/en/matches/3e805eff/Aston-Villa-Everton-August-23-2019-Premier-League,1.0,0.5,0.5357142857142857
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–1,Aston Villa,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,81.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,67.0,73.0,91.8,7.0,58.0,1.0,0.0,0.0,/en/matches/230f4fac/Crystal-Palace-Aston-Villa-August-31-2019-Premier-League,0.0,0.3333333333333333,0.5238095238095238
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-16,Mon,Premier League,Matchweek 5,Home,D 0–0,Aston Villa,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,52.0,0.0,3,1.0,0.0,0.0,0.0,1.0,0.0,36.0,43.0,83.7,2.0,30.0,0.0,0.0,0.0,/en/matches/b26df467/Aston-Villa-West-Ham-United-September-16-2019-Premier-League,0.5,0.3333333333333333,0.7738095238095238
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-22,Sun,Premier League,Matchweek 6,Away,L 2–3,Aston Villa,Arsenal,Y,CB,90,0,0,0,0,0,0,1,0,38.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,75.9,2.0,14.0,0.0,0.0,0.0,/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League,0.0,0.5,0.5833333333333333
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Aston Villa,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,59.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,56.0,80.4,4.0,36.0,2.0,0.0,0.0,/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League,0.5,0.1666666666666666,0.5256410256410257
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-05,Sat,Premier League,Matchweek 8,Away,W 5–1,Aston Villa,Norwich City,Y,CB,74,0,0,0,0,1,0,0,0,34.0,1.0,2,1.0,0.1,0.0,0.0,0.0,0.0,21.0,23.0,91.3,0.0,14.0,0.0,0.0,0.0,/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League,1.0,0.3333333333333333,0.2738095238095238
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-10-19,Sat,Premier League,Matchweek 9,Home,W 2–1,Aston Villa,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,58.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,47.0,52.0,90.4,2.0,41.0,1.0,0.0,0.0,/en/matches/34685c72/Aston-Villa-Brighton-and-Hove-Albion-October-19-2019-Premier-League,1.0,0.5,0.5357142857142857
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-26,Sat,Premier League,Matchweek 10,Away,L 0–3,Aston Villa,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,50.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,32.0,39.0,82.1,2.0,24.0,0.0,0.0,0.0,/en/matches/e0a4db2d/Manchester-City-Aston-Villa-October-26-2019-Premier-League,0.0,0.8333333333333334,0.7976190476190476
