,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2020-09-14,Mon,Premier League,Matchweek 1,Away,W 3–1,Chelsea,Brighton,Y,LB,90,0,0,0,0,0,0,0,0,99.0,0.0,5,1.0,0.0,0.0,0.0,1.0,0.0,68.0,83.0,81.9,5.0,44.0,1.0,0.0,0.0,/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–2,Chelsea,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,59.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,44.0,52.0,84.6,3.0,36.0,2.0,2.0,1.0,/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,0.0,0.5,0.5714285714285714
2,2,2,2,2,2,2,2020-09-26,Sat,Premier League,Matchweek 3,Away,D 3–3,Chelsea,West Brom,Y,LB,45,0,0,0,0,2,0,1,0,41.0,1.0,0,1.0,0.1,0.1,0.0,1.0,0.0,27.0,32.0,84.4,1.0,20.0,2.0,0.0,0.0,/en/matches/d725a16c/West-Bromwich-Albion-Chelsea-September-26-2020-Premier-League,0.5,0.5,0.4523809523809524
3,3,3,3,3,3,3,2021-01-31,Sun,Premier League,Matchweek 21,Home,W 2–0,Chelsea,Burnley,Y,WB,90,1,0,0,0,2,1,0,0,79.0,1.0,0,2.0,0.3,0.3,0.0,5.0,1.0,58.0,68.0,85.3,3.0,41.0,4.0,2.0,0.0,/en/matches/3372f3f3/Chelsea-Burnley-January-31-2021-Premier-League,1.0,0.5,0.5
4,4,4,4,4,4,4,2021-02-04,Thu,Premier League,Matchweek 22,Away,W 1–0,Chelsea,Tottenham,Y,WB,90,0,0,0,0,2,0,0,0,62.0,1.0,3,2.0,0.1,0.1,0.0,3.0,0.0,41.0,51.0,80.4,5.0,32.0,1.0,5.0,4.0,/en/matches/7d98a679/Tottenham-Hotspur-Chelsea-February-4-2021-Premier-League,1.0,0.5,0.5
5,5,5,5,5,5,5,2021-02-07,Sun,Premier League,Matchweek 23,Away,W 2–1,Chelsea,Sheffield Utd,N,WB,29,0,0,0,0,0,0,0,0,24.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,0.0,13.0,2.0,0.0,0.0,/en/matches/d3467620/Sheffield-United-Chelsea-February-7-2021-Premier-League,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,2021-02-11,Thu,FA Cup,Fifth round proper,Away,W 1–0,Chelsea,Barnsley,Y,LM,45,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/a8b5d7dc/Barnsley-Chelsea-February-11-2021-FA-Cup,1.0,1.0,0.5
7,7,7,7,7,7,7,2021-02-15,Mon,Premier League,Matchweek 24,Home,W 2–0,Chelsea,Newcastle Utd,Y,WB,90,0,0,0,0,5,2,0,0,78.0,1.0,1,2.0,0.2,0.2,0.4,7.0,0.0,48.0,63.0,76.2,8.0,39.0,4.0,0.0,0.0,/en/matches/dd033287/Chelsea-Newcastle-United-February-15-2021-Premier-League,1.0,1.0,0.5
8,8,8,8,8,8,8,2021-02-20,Sat,Premier League,Matchweek 25,Away,D 1–1,Chelsea,Southampton,Y,WB,90,0,0,0,0,2,0,1,0,70.0,4.0,2,0.0,0.1,0.1,0.1,3.0,0.0,44.0,58.0,75.9,7.0,38.0,5.0,4.0,1.0,/en/matches/9e4c8c99/Southampton-Chelsea-February-20-2021-Premier-League,0.5,1.0,0.5
9,9,9,9,9,9,9,2021-02-23,Tue,Champions Lg,Round of 16,Away,W 1–0,eng Chelsea,es Atlético Madrid,Y,WB,90,0,0,0,0,1,1,0,0,68.0,1.0,0,1.0,0.0,0.0,0.1,4.0,1.0,48.0,59.0,81.4,1.0,32.0,1.0,2.0,0.0,/en/matches/70de7028/Atletico-Madrid-Chelsea-February-23-2021-Champions-League,1.0,0.8333333333333334,0.5
