,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-08-15,Mon,Serie A,Matchweek 1,Home,W 3–0,Juventus,Sassuolo,Y,"CM,LM,RW",75,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,2,0,21,25,84.0,5,16,3,0,https://fbref.com/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A,299,101,0.0,1,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,1,1,0,3,0,,0,,0,1,0,20,3,0,0,0,0,0,6,0,0.0
37,2022-08-22,Mon,Serie A,Matchweek 2,Away,D 0–0,Juventus,Sampdoria,Y,RM,60,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,12,16,75.0,1,14,1,2,https://fbref.com/en/matches/3181dd80/Sampdoria-Juventus-August-22-2022-Serie-A,165,53,0.0,0,2,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,100.0,0,0.0,0,2,1,15,4,0,0,0,0,0,3,0,0.0
38,2022-08-27,Sat,Serie A,Matchweek 3,Home,D 1–1,Juventus,Roma,N,RM,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,3,1,https://fbref.com/en/matches/23a2abe6/Juventus-Roma-August-27-2022-Serie-A,72,31,0.0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,100.0,0,0.0,1,1,0,8,1,0,1,0,0,0,0,0,
39,2022-09-03,Sat,Serie A,Matchweek 5,Away,D 1–1,Juventus,Fiorentina,Y,"LM,RW,RM",90,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,17,19,89.5,1,5,2,2,https://fbref.com/en/matches/cc24f0a1/Fiorentina-Juventus-September-3-2022-Serie-A,325,138,0.0,0,1,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,1,3,0,6,1,100.0,0,0.0,0,1,1,14,2,0,0,0,0,0,4,0,0.0
40,2022-09-06,Tue,Champions Lg,Group stage,Away,L 1–2,it Juventus,fr Paris S-G,N,CM,45,1,0,0,0,2,1,0,0,28,2,0,0,0.2,0.2,0.0,1,0,19,21,90.5,2,22,1,1,https://fbref.com/en/matches/a1157ba5/Paris-Saint-Germain-Juventus-September-6-2022-Champions-League,298,43,0.0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,100.0,0,0,2,0,0,0,2,100.0,0,0.0,0,3,2,22,2,0,2,0,0,0,4,1,100.0
41,2022-09-11,Sun,Serie A,Matchweek 6,Home,D 2–2,Juventus,Salernitana,Y,RM,84,0,0,0,0,1,0,0,0,43,0,2,2,0.1,0.1,0.0,1,0,27,32,84.4,3,17,1,0,https://fbref.com/en/matches/d30f4885/Juventus-Salernitana-September-11-2022-Serie-A,491,97,0.1,1,2,0,0,30,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,2,0,0,0,1,,0,,0,1,1,28,2,0,2,0,0,0,2,0,0.0
42,2022-09-14,Wed,Champions Lg,Group stage,Home,L 1–2,it Juventus,pt Benfica,Y,"CM,RM",90,0,0,0,0,0,0,0,0,40,2,2,2,0.0,0.0,0.0,0,0,20,30,66.7,2,12,1,0,https://fbref.com/en/matches/ad5c6cfb/Juventus-Benfica-September-14-2022-Champions-League,294,54,0.0,0,1,0,0,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,33.3,2,1,4,1,0,2,1,,0,,0,0,1,26,1,0,1,0,0,0,2,1,25.0
43,2022-09-18,Sun,Serie A,Matchweek 7,Away,L 0–1,Juventus,Monza,Y,"RM,CM",90,0,0,0,0,0,0,0,0,43,0,1,4,0.0,0.0,0.3,3,0,22,31,71.0,2,18,1,1,https://fbref.com/en/matches/7f6b336d/Monza-Juventus-September-18-2022-Serie-A,302,102,0.3,2,3,2,2,30,1,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,0,3,1,4,0,5,0,100.0,0,0.0,0,3,0,29,6,0,2,0,0,0,3,2,40.0
44,2022-09-23,Fri,Friendlies (M),Friendlies (M),Neutral,L 0–2,us United States,jp Japan,Y,CM,66,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,https://fbref.com/en/matches/676aab42/Japan-United-States-September-23-2022-Friendlies-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,
45,2022-09-27,Tue,Friendlies (M),Friendlies (M),Neutral,D 0–0,us United States,sa Saudi Arabia,Y,CM,75,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,https://fbref.com/en/matches/56bde19a/Saudi-Arabia-United-States-September-27-2022-Friendlies-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,
46,2022-10-02,Sun,Serie A,Matchweek 8,Home,W 3–0,Juventus,Bologna,Y,RM,59,0,1,0,0,2,1,0,0,36,2,0,1,0.2,0.2,0.1,1,1,20,27,74.1,1,15,1,0,https://fbref.com/en/matches/1b6d7e97/Juventus-Bologna-October-2-2022-Serie-A,297,52,0.1,1,1,1,1,27,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,100.0,0,1,2,1,0,1,4,,0,,0,2,1,25,4,0,0,0,0,0,4,1,50.0
47,2022-10-05,Wed,Champions Lg,Group stage,Home,W 3–1,it Juventus,il Maccabi Haifa,Y,RM,90,0,0,0,0,0,0,0,0,52,1,0,3,0.0,0.0,0.0,1,0,35,45,77.8,2,28,2,0,https://fbref.com/en/matches/c8e326ed/Juventus-Maccabi-Haifa-October-5-2022-Champions-League,513,196,0.0,0,3,0,0,42,2,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,50.0,1,2,1,1,0,2,1,0.0,0,0.0,1,0,1,37,2,0,0,0,0,0,3,0,0.0
48,2022-10-08,Sat,Serie A,Matchweek 9,Away,L 0–2,Juventus,Milan,N,RM,45,0,0,0,0,1,0,0,0,29,2,0,1,0.1,0.1,0.0,1,0,20,22,90.9,3,16,0,0,https://fbref.com/en/matches/2336a6d4/Milan-Juventus-October-8-2022-Serie-A,282,89,0.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,66.7,1,1,2,0,0,0,1,,0,,0,2,1,23,6,0,0,0,0,0,3,0,
49,2022-10-11,Tue,Champions Lg,Group stage,Away,L 0–2,it Juventus,il Maccabi Haifa,Y,RM,45,0,0,0,0,0,0,1,0,24,1,1,2,0.0,0.0,0.0,1,0,11,19,57.9,3,9,0,0,https://fbref.com/en/matches/ce38fc56/Maccabi-Haifa-Juventus-October-11-2022-Champions-League,150,32,0.0,0,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,100.0,0,2,2,0,0,1,0,0.0,1,100.0,0,1,0,16,1,0,3,0,0,0,3,0,
50,2022-10-15,Sat,Serie A,Matchweek 10,Away,W 1–0,Juventus,Torino,Y,CM,90,0,0,0,0,2,1,0,0,30,0,0,2,0.3,0.3,0.0,2,0,17,22,77.3,1,6,0,0,https://fbref.com/en/matches/b183d7de/Torino-Juventus-October-15-2022-Serie-A,234,64,0.0,0,0,0,0,21,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,1,3,,0,,0,2,1,20,5,0,1,0,0,0,3,1,100.0
