,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,2020-08-29,Sat,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (5),Liverpool,Arsenal,N,,62,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/1f445267/Arsenal-Liverpool-August-29-2020-FA-Community-Shield,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,2020-09-12,Sat,Premier League,Matchweek 1,Home,W 4–3,Liverpool,Leeds United,Y,RM,57,0,0,0,0,1.0,0.0,0,0,40.0,0.0,3.0,2.0,0.1,0.1,0.0,3.0,0.0,22.0,27.0,81.5,4.0,25.0,3.0,1.0,1.0,/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2020-09-20,Sun,Premier League,Matchweek 2,Away,W 2–0,Liverpool,Chelsea,Y,RM,63,0,0,0,0,0.0,0.0,0,0,55.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,48.0,50.0,96.0,5.0,36.0,1.0,2.0,2.0,/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,1.0,0.5,0.5476190476190477
3,3,3,3,3,3,3,3,3,3,3,3,2020-09-24,Thu,EFL Cup,Third round,Away,W 7–2,Liverpool,Lincoln City,N,,16,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/25f4d180/Lincoln-City-Liverpool-September-24-2020-EFL-Cup,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,2020-09-28,Mon,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,RM,78,0,0,0,0,2.0,0.0,0,0,53.0,0.0,0.0,3.0,0.1,0.1,0.1,5.0,0.0,39.0,42.0,92.9,1.0,43.0,1.0,1.0,1.0,/en/matches/ebe4e309/Liverpool-Arsenal-September-28-2020-Premier-League,1.0,1.0,0.880952380952381
5,5,5,5,5,5,5,5,5,5,5,5,2020-10-04,Sun,Premier League,Matchweek 4,Away,L 2–7,Liverpool,Aston Villa,Y,RM,45,0,0,0,0,2.0,0.0,0,0,40.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,28.0,31.0,90.3,4.0,28.0,1.0,0.0,0.0,/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League,0.0,1.0,0.7738095238095237
6,6,6,6,6,6,6,6,6,6,6,6,2020-11-03,Tue,Champions Lg,Group stage,Away,W 5–0,eng Liverpool,it Atalanta,N,LM,25,0,0,0,0,0.0,0.0,0,0,21.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,18.0,20.0,90.0,1.0,15.0,2.0,1.0,1.0,/en/matches/687460ab/Atalanta-Liverpool-November-3-2020-Champions-League,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,2020-11-11,Wed,Africa Cup of Nations qualification,Group stage,Home,W 1–0,gn Guinea,td Chad,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c888dfa9/Guinea-Chad-November-11-2020-Africa-Cup-of-Nations-qualification,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,2020-11-15,Sun,Africa Cup of Nations qualification,Group stage,Away,D 1–1,gn Guinea,td Chad,Y*,CM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3ca5fc26/Chad-Guinea-November-15-2020-Africa-Cup-of-Nations-qualification,0.5,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,2020-11-22,Sun,Premier League,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,Y,LM,52,0,0,0,0,2.0,1.0,0,0,41.0,1.0,1.0,0.0,0.1,0.1,0.1,2.0,0.0,30.0,35.0,85.7,3.0,25.0,1.0,1.0,1.0,/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League,1.0,0.8333333333333334,0.9230769230769232
10,10,10,10,10,10,10,10,10,10,10,10,2020-12-06,Sun,Premier League,Matchweek 11,Home,W 4–0,Liverpool,Wolves,N,LM,10,0,0,0,0,0.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,2.0,0.0,1.0,0.0,/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League,1.0,0.8333333333333334,0.6428571428571427
11,11,11,11,11,11,11,11,11,11,11,11,2020-12-09,Wed,Champions Lg,Group stage,Away,D 1–1,eng Liverpool,dk Midtjylland,Y,RM,61,0,0,0,0,1.0,1.0,0,0,41.0,1.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,27.0,31.0,87.1,2.0,23.0,1.0,1.0,0.0,/en/matches/a6b14ad5/Midtjylland-Liverpool-December-9-2020-Champions-League,0.5,0.8333333333333334,0.5
12,12,12,12,12,12,12,12,12,12,12,12,2020-12-19,Sat,Premier League,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,Y,RM,90,0,0,0,0,0.0,0.0,0,0,85.0,5.0,4.0,0.0,0.0,0.0,0.3,3.0,1.0,63.0,73.0,86.3,7.0,49.0,3.0,2.0,2.0,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League,1.0,0.8333333333333334,0.5833333333333333
13,13,13,13,13,13,13,13,13,13,13,13,2021-02-28,Sun,Premier League,Matchweek 26,Away,W 2–0,Liverpool,Sheffield Utd,N,LM,11,0,0,0,0,0.0,0.0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,1.0,9.0,4.0,0.0,0.0,/en/matches/3826d9aa/Sheffield-United-Liverpool-February-28-2021-Premier-League,1.0,0.8333333333333334,0.5
14,14,14,14,14,14,14,14,14,14,14,14,2021-03-07,Sun,Premier League,Matchweek 27,Home,L 0–1,Liverpool,Fulham,Y,"LM,CM",90,0,0,0,0,2.0,1.0,1,0,85.0,1.0,1.0,2.0,0.1,0.1,0.0,2.0,0.0,66.0,76.0,86.8,5.0,58.0,4.0,2.0,1.0,/en/matches/5826a836/Liverpool-Fulham-March-7-2021-Premier-League,0.0,0.8333333333333334,0.5
15,15,15,15,15,15,15,15,15,15,15,15,2021-03-10,Wed,Champions Lg,Round of 16,Home,W 2–0,eng Liverpool,de RB Leipzig,N,RM,19,0,0,0,0,0.0,0.0,0,0,15.0,1.0,1.0,1.0,0.0,0.0,0.1,3.0,1.0,10.0,12.0,83.3,4.0,10.0,0.0,0.0,0.0,/en/matches/0120c1ad/Liverpool-RB-Leipzig-March-10-2021-Champions-League,1.0,0.6666666666666666,0.5
