,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2021-08-08,Sun,Ligue 1,Matchweek 1,Home,D 0–0,Nice,Reims,Y,LB,78,0,0,0,0,1.0,0.0,0,0,69.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,51.0,67.0,76.1,4.0,49.0,8.0,1.0,1.0,/en/matches/ed6f883d/Nice-Reims-August-8-2021-Ligue-1,0.5,0.5,0.5
1,1,1,1,2021-08-14,Sat,Ligue 1,Matchweek 2,Away,W 4–0,Nice,Lille,N,LM,18,0,0,0,0,0.0,0.0,0,0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,3.0,0.0,0.0,0.0,/en/matches/61344945/Lille-Nice-August-14-2021-Ligue-1,1.0,0.5,0.5
2,2,2,2,2021-08-28,Sat,Ligue 1,Matchweek 4,Home,W 4–0,Nice,Bordeaux,N,"LM,FW",7,0,0,0,0,1.0,0.0,0,0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.0,6.0,100.0,2.0,6.0,1.0,0.0,0.0,/en/matches/b43eb4eb/Nice-Bordeaux-August-28-2021-Ligue-1,1.0,0.5,0.5
3,3,3,3,2021-09-03,Fri,WCQ,Second round,Away,D 0–0,ci Côte d'Ivoire,mz Mozambique,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2ec29b57/Mozambique-Cote-dIvoire-September-3-2021-WCQ----CAF-M,0.5,0.8333333333333334,0.5
4,4,4,4,2021-09-12,Sun,Ligue 1,Matchweek 5,Away,W 2–0,Nice,Nantes,N,RM,7,0,0,0,0,1.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,/en/matches/3b874209/Nantes-Nice-September-12-2021-Ligue-1,1.0,0.8333333333333334,0.5
5,5,5,5,2021-09-25,Sat,Ligue 1,Matchweek 8,Away,W 3–0,Nice,Saint-Étienne,Y,LM,78,0,0,0,0,3.0,1.0,1,0,32.0,3.0,1.0,1.0,0.4,0.4,0.3,2.0,0.0,13.0,20.0,65.0,2.0,23.0,2.0,1.0,1.0,/en/matches/e7b921ad/Saint-Etienne-Nice-September-25-2021-Ligue-1,1.0,0.8333333333333334,0.5
6,6,6,6,2021-10-02,Sat,Ligue 1,Matchweek 9,Home,W 2–1,Nice,Brest,Y,"LM,LB",90,0,0,0,0,0.0,0.0,0,0,59.0,2.0,4.0,1.0,0.0,0.0,0.6,2.0,0.0,47.0,54.0,87.0,2.0,40.0,1.0,0.0,0.0,/en/matches/9bcf3129/Nice-Brest-October-2-2021-Ligue-1,1.0,0.8333333333333334,0.5
7,7,7,7,2021-10-08,Fri,WCQ,Second round,Away,W 3–0,ci Côte d'Ivoire,mw Malawi,Y,LM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/a97bf369/Malawi-Cote-dIvoire-October-8-2021-WCQ----CAF-M,1.0,1.0,0.5
8,8,8,8,2021-10-17,Sun,Ligue 1,Matchweek 10,Away,L 0–1,Nice,Troyes,Y,LB,90,0,0,0,0,2.0,0.0,0,0,84.0,2.0,3.0,2.0,0.1,0.1,0.0,0.0,0.0,57.0,69.0,82.6,1.0,57.0,2.0,2.0,0.0,/en/matches/37e45dd5/Troyes-Nice-October-17-2021-Ligue-1,0.0,1.0,0.5
9,9,9,9,2021-10-27,Wed,Ligue 1,Matchweek 3,Home,D 1–1,Nice,Marseille,Y,LM,66,0,0,0,0,3.0,0.0,0,0,20.0,2.0,1.0,0.0,0.4,0.4,0.0,1.0,1.0,11.0,13.0,84.6,0.0,11.0,1.0,1.0,1.0,/en/matches/cc1c0429/Nice-Marseille-October-27-2021-Ligue-1,0.5,0.6666666666666666,0.5
10,10,10,10,2021-10-31,Sun,Ligue 1,Matchweek 12,Away,W 2–1,Nice,Angers,Y,LM,64,0,0,0,0,0.0,0.0,1,0,44.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,37.0,86.5,1.0,24.0,3.0,3.0,1.0,/en/matches/aeffeb83/Angers-Nice-October-31-2021-Ligue-1,1.0,0.5,0.5
11,11,11,11,2021-11-07,Sun,Ligue 1,Matchweek 13,Home,L 0–1,Nice,Montpellier,Y,LM,45,0,0,0,0,2.0,0.0,0,0,28.0,1.0,0.0,3.0,0.1,0.1,0.0,0.0,0.0,14.0,21.0,66.7,0.0,19.0,0.0,1.0,0.0,/en/matches/b1d925e7/Nice-Montpellier-November-7-2021-Ligue-1,0.0,0.5,0.5
12,12,12,12,2021-11-13,Sat,WCQ,Second round,Home,W 3–0,ci Côte d'Ivoire,mz Mozambique,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c06077ae/Cote-dIvoire-Mozambique-November-13-2021-WCQ----CAF-M,1.0,0.5,0.5
13,13,13,13,2021-11-21,Sun,Ligue 1,Matchweek 14,Away,W 2–1,Nice,Clermont Foot,N,LM,1,0,0,0,0,0.0,0.0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,/en/matches/70097d4d/Clermont-Foot-Nice-November-21-2021-Ligue-1,1.0,0.6666666666666666,0.5
14,14,14,14,2022-01-15,Sat,Premier League,Matchweek 22,Away,D 1–1,Watford,Newcastle Utd,Y,LB,90,0,0,0,0,0.0,0.0,0,0,71.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,41.0,60.0,68.3,3.0,26.0,4.0,2.0,2.0,/en/matches/64dd3e3f/Newcastle-United-Watford-January-15-2022-Premier-League,0.5,0.6666666666666666,0.5
15,15,15,15,2022-01-21,Fri,Premier League,Matchweek 23,Home,L 0–3,Watford,Norwich City,Y,LB,83,0,0,0,0,0.0,0.0,0,0,69.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,49.0,63.0,77.8,4.0,45.0,4.0,1.0,1.0,/en/matches/5c592680/Watford-Norwich-City-January-21-2022-Premier-League,0.0,0.8333333333333334,0.5
16,16,16,16,2022-02-05,Sat,Premier League,Matchweek 17,Away,D 0–0,Watford,Burnley,Y,LB,90,0,0,0,0,0.0,0.0,0,0,74.0,4.0,5.0,1.0,0.0,0.0,0.1,2.0,0.0,33.0,58.0,56.9,3.0,40.0,2.0,1.0,1.0,/en/matches/5c31d723/Burnley-Watford-February-5-2022-Premier-League,0.5,0.5,0.5
17,17,17,17,2022-02-08,Tue,Premier League,Matchweek 24,Away,L 0–1,Watford,West Ham,Y,LB,90,0,0,0,0,1.0,0.0,0,0,79.0,4.0,4.0,3.0,0.0,0.0,0.1,1.0,0.0,33.0,53.0,62.3,3.0,23.0,0.0,1.0,0.0,/en/matches/3778ac3f/West-Ham-United-Watford-February-8-2022-Premier-League,0.0,0.3333333333333333,0.5
18,18,18,18,2022-02-12,Sat,Premier League,Matchweek 25,Home,L 0–2,Watford,Brighton,Y,LB,90,0,0,0,0,0.0,0.0,1,0,54.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,25.0,41.0,61.0,2.0,22.0,0.0,1.0,0.0,/en/matches/e04d98c4/Watford-Brighton-and-Hove-Albion-February-12-2022-Premier-League,0.0,0.1666666666666666,0.5
19,19,19,19,2022-02-19,Sat,Premier League,Matchweek 26,Away,W 1–0,Watford,Aston Villa,Y,LB,90,0,0,0,0,0.0,0.0,1,0,87.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,73.0,78.1,8.0,48.0,1.0,1.0,0.0,/en/matches/28c4ee0a/Aston-Villa-Watford-February-19-2022-Premier-League,1.0,0.1666666666666666,0.5
