,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,Sheffield Utd,Y,FW,89,0,0,0,0,1,1,0,0,18.0,0.0,0,1.0,0.7,0.7,0.0,2.0,1.0,6.0,13.0,46.2,1.0,16.0,2.0,0.0,0.0,/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Away,W 2–1,Bournemouth,Aston Villa,Y,FW,90,0,0,0,0,1,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.2,6.0,1.0,12.0,17.0,70.6,1.0,24.0,3.0,0.0,0.0,/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-25,Sun,Premier League,Matchweek 3,Home,L 1–3,Bournemouth,Manchester City,Y,FW,68,0,0,0,0,1,1,0,0,11.0,0.0,0,1.0,0.4,0.4,0.2,3.0,1.0,4.0,5.0,80.0,0.0,7.0,0.0,1.0,0.0,/en/matches/7728bd7e/Bournemouth-Manchester-City-August-25-2019-Premier-League,0.0,0.5,0.6428571428571429
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-28,Wed,EFL Cup,Second round,Home,D 0 (3)–0 (0),Bournemouth,FG Rovers,Y,FW,60,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7622c110/Bournemouth-Forest-Green-Rovers-August-28-2019-EFL-Cup,0.5,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 1–3,Bournemouth,Leicester City,Y,"FW,AM",90,1,0,0,0,1,1,1,0,25.0,0.0,1,0.0,0.4,0.4,0.1,4.0,0.0,14.0,18.0,77.8,3.0,21.0,5.0,3.0,0.0,/en/matches/3d899563/Leicester-City-Bournemouth-August-31-2019-Premier-League,0.0,0.5,0.630952380952381
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-15,Sun,Premier League,Matchweek 5,Home,W 3–1,Bournemouth,Everton,Y,FW,90,2,0,0,0,2,2,0,0,23.0,0.0,1,0.0,0.8,0.8,0.0,0.0,0.0,8.0,14.0,57.1,3.0,15.0,3.0,1.0,0.0,/en/matches/886c59ae/Bournemouth-Everton-September-15-2019-Premier-League,1.0,0.1666666666666666,0.6904761904761905
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-20,Fri,Premier League,Matchweek 6,Away,W 3–1,Bournemouth,Southampton,Y,FW,90,1,0,0,0,1,1,0,0,23.0,2.0,0,0.0,0.7,0.7,0.0,1.0,1.0,7.0,14.0,50.0,2.0,14.0,2.0,7.0,3.0,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,1.0,0.5,0.75
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-25,Wed,EFL Cup,Third round,Away,L 0–2,Bournemouth,Burton Albion,N,,30,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a33fa522/Burton-Albion-Bournemouth-September-25-2019-EFL-Cup,0.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Bournemouth,West Ham,Y,FW,90,1,0,0,0,6,4,0,0,32.0,0.0,0,0.0,1.2,1.2,0.1,4.0,0.0,9.0,20.0,45.0,2.0,17.0,0.0,1.0,1.0,/en/matches/704e536e/Bournemouth-West-Ham-United-September-28-2019-Premier-League,0.5,0.6666666666666666,0.6428571428571429
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Bournemouth,Arsenal,Y,FW,90,0,0,0,0,1,1,0,0,27.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,19.0,57.9,2.0,10.0,2.0,2.0,2.0,/en/matches/9575566f/Arsenal-Bournemouth-October-6-2019-Premier-League,0.0,0.5,0.8214285714285714
