,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-05,Fri,Premier League,Matchweek 1,Away,W 2–0,Arsenal,Crystal Palace,Y,CM,90,0,0,0,0,1,0,0,0,64.0,6.0,1,3.0,0.1,0.1,0.1,1.0,0.0,38.0,47.0,80.9,6.0,37.0,0.0,0.0,0.0,/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League,1.0,0.5,0.5111111111111111
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Home,W 4–2,Arsenal,Leicester City,Y,"CM,DM",90,0,0,0,0,3,0,0,0,56.0,1.0,2,1.0,0.4,0.4,0.0,3.0,0.0,31.0,45.0,68.9,2.0,29.0,0.0,2.0,2.0,/en/matches/7483b97f/Arsenal-Leicester-City-August-13-2022-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-20,Sat,Premier League,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,Y,"CM,DM",90,0,0,0,0,0,0,0,0,78.0,2.0,0,0.0,0.0,0.0,0.0,4.0,0.0,61.0,70.0,87.1,4.0,61.0,1.0,3.0,3.0,/en/matches/7f11dd9e/Bournemouth-Arsenal-August-20-2022-Premier-League,1.0,0.5,0.4761904761904761
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-09-18,Sun,Premier League,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,CM,77,0,0,0,0,0,0,0,0,92.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,85.0,85.9,2.0,62.0,1.0,4.0,1.0,/en/matches/fd5626e6/Brentford-Arsenal-September-18-2022-Premier-League,1.0,1.0,0.6666666666666666
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-10-01,Sat,Premier League,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,Y,CM,72,1,0,0,0,2,1,0,0,65.0,1.0,3,0.0,0.1,0.1,0.2,6.0,1.0,54.0,57.0,94.7,11.0,41.0,0.0,1.0,1.0,/en/matches/aefe3b90/North-London-Derby-Arsenal-Tottenham-Hotspur-October-1-2022-Premier-League,1.0,1.0,0.7604166666666667
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-10-09,Sun,Premier League,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,Y,CM,90,0,0,0,0,0,0,0,0,63.0,2.0,2,1.0,0.0,0.0,0.1,2.0,0.0,42.0,45.0,93.3,8.0,25.0,0.0,0.0,0.0,/en/matches/84a48413/Arsenal-Liverpool-October-9-2022-Premier-League,1.0,1.0,0.7604166666666669
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-10-13,Thu,Europa Lg,Group stage,Away,W 1–0,eng Arsenal,no Bodø/Glimt,N,DM,7,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,4.0,1.0,0.0,0.0,/en/matches/04e59775/BodoGlimt-Arsenal-October-13-2022-Europa-League,1.0,1.0,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-10-16,Sun,Premier League,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,Y,"CM,DM",90,0,0,0,0,0,0,0,0,61.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,46.0,53.0,86.8,5.0,26.0,0.0,1.0,0.0,/en/matches/92885cfc/Leeds-United-Arsenal-October-16-2022-Premier-League,1.0,1.0,0.3444444444444443
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-20,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,nl PSV Eindhoven,N,DM,24,0,0,0,0,0,0,0,0,18.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,17.0,88.2,0.0,14.0,0.0,0.0,0.0,/en/matches/ba3ab652/Arsenal-PSV-Eindhoven-October-20-2022-Europa-League,1.0,1.0,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-23,Sun,Premier League,Matchweek 13,Away,D 1–1,Arsenal,Southampton,Y,CM,90,0,0,0,0,0,0,0,0,89.0,1.0,2,0.0,0.0,0.0,0.1,4.0,0.0,70.0,81.0,86.4,10.0,56.0,0.0,0.0,0.0,/en/matches/d8138438/Southampton-Arsenal-October-23-2022-Premier-League,0.5,1.0,0.4880952380952381
