,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,2019-08-10,Sat,PL2 — Div. 1,Matchweek 1,Home,L 0–4,Liverpool,Tottenham,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/73aa6ae6/Liverpool-U23-Tottenham-Hotspur-U23-August-10-2019-Premier-League-2----Division-1,0.0,0.5,0.5
1,1,1,1,1,2019-08-19,Mon,PL2 — Div. 1,Matchweek 2,Away,L 0–3,Liverpool,Chelsea,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/5041411d/Chelsea-U23-Liverpool-U23-August-19-2019-Premier-League-2----Division-1,0.0,0.5,0.5
2,2,2,2,2,2019-08-26,Mon,PL2 — Div. 1,Matchweek 3,Away,W 4–2,Liverpool,Southampton,Y*,FW,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/546a2791/Southampton-U23-Liverpool-U23-August-26-2019-Premier-League-2----Division-1,1.0,0.5,0.5
3,3,3,3,3,2019-08-31,Sat,PL2 — Div. 1,Matchweek 4,Home,L 1–4,Liverpool,Manchester City,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c146a080/Liverpool-U23-Manchester-City-U23-August-31-2019-Premier-League-2----Division-1,0.0,0.3333333333333333,0.5
4,4,4,4,4,2019-09-14,Sat,PL2 — Div. 1,Matchweek 5,Home,D 3–3,Liverpool,Derby County,Y*,FW,90,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/ee8dbcc1/Liverpool-U23-Derby-County-U23-September-14-2019-Premier-League-2----Division-1,0.5,0.3333333333333333,0.5
5,5,5,5,5,2019-09-20,Fri,PL2 — Div. 1,Matchweek 6,Away,D 2–2,Liverpool,Leicester City,Y*,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c0ae360c/Leicester-City-U23-Liverpool-U23-September-20-2019-Premier-League-2----Division-1,0.5,0.5,0.5
6,6,6,6,6,2019-09-25,Wed,EFL Cup,Third round,Away,W 2–0,Liverpool,MK Dons,Y,FW,90,0,0,0,0,4.0,2.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/9ed57dde/Milton-Keynes-Dons-Liverpool-September-25-2019-EFL-Cup,1.0,0.3333333333333333,0.5
7,7,7,7,7,2019-09-28,Sat,PL2 — Div. 1,Matchweek 7,Away,D 2–2,Liverpool,Arsenal,Y*,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b357bb20/Arsenal-U23-Liverpool-U23-September-28-2019-Premier-League-2----Division-1,0.5,0.6666666666666666,0.5
8,8,8,8,8,2019-10-20,Sun,PL2 — Div. 1,Matchweek 8,Home,W 4–3,Liverpool,Wolves,Y,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/0c849d03/Liverpool-U23-Wolverhampton-Wanderers-U23-October-20-2019-Premier-League-2----Division-1,1.0,0.6666666666666666,0.5
9,9,9,9,9,2019-10-26,Sat,PL2 — Div. 1,Matchweek 9,Home,D 0–0,Liverpool,Blackburn,Y*,RM,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/cc8ec5a4/Liverpool-U23-Blackburn-Rovers-U23-October-26-2019-Premier-League-2----Division-1,0.5,0.8333333333333334,0.5
10,10,10,10,10,2019-10-30,Wed,EFL Cup,Fourth round,Home,D 5 (5)–5 (4),Liverpool,Arsenal,N,,66,0,1,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8d8c441c/Liverpool-Arsenal-October-30-2019-EFL-Cup,0.5,0.6666666666666666,0.5
