,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2022-08-06,Sun,Matchweek 3,Home,W 3–0,Leeds United,Chelsea,Y,RB,90,2,2,1,0,1,1,2,50.0,1,3,1,2,2,4,4,0,/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League
1,2022-08-06,Sat,Matchweek 4,Away,L 0–1,Leeds United,Brighton,Y,RB,90,2,1,1,1,0,2,2,100.0,0,2,1,1,2,4,1,0,/en/matches/77c70160/Brighton-and-Hove-Albion-Leeds-United-August-27-2022-Premier-League
2,2022-08-06,Tue,Matchweek 5,Home,D 1–1,Leeds United,Everton,Y,RB,90,4,2,1,2,1,3,4,75.0,1,1,1,0,2,6,0,0,/en/matches/42d294e5/Leeds-United-Everton-August-30-2022-Premier-League
3,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022-08-06,Sun,Matchweek 9,Home,D 0–0,Leeds United,Aston Villa,Y,RB,67,2,1,2,0,0,2,3,66.7,1,0,0,0,2,4,3,0,/en/matches/627d2279/Leeds-United-Aston-Villa-October-2-2022-Premier-League
5,2022-08-06,Sun,Matchweek 10,Away,L 1–2,Leeds United,Crystal Palace,Y,RB,83,4,0,3,1,0,1,2,50.0,1,4,2,2,4,8,2,0,/en/matches/f9563020/Crystal-Palace-Leeds-United-October-9-2022-Premier-League
6,2022-08-06,Sun,Matchweek 11,Home,L 0–1,Leeds United,Arsenal,Y,RB,90,6,2,4,2,0,3,3,100.0,0,0,0,0,3,9,1,0,/en/matches/92885cfc/Leeds-United-Arsenal-October-16-2022-Premier-League
7,2022-08-06,Thu,Matchweek 12,Away,L 0–2,Leeds United,Leicester City,Y,RB,90,6,4,3,2,1,3,3,100.0,0,0,0,0,0,6,4,0,/en/matches/6356af5a/Leicester-City-Leeds-United-October-20-2022-Premier-League
8,2022-08-06,Sun,Matchweek 13,Home,L 2–3,Leeds United,Fulham,N,"On matchday squad, but did not play",/en/matches/d7b30e2b/Leeds-United-Fulham-October-23-2022-Premier-League,,,,,,,,,,,,,,,,,
9,2022-08-06,Sat,Matchweek 14,Away,W 2–1,Leeds United,Liverpool,Y,RB,90,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,6,0,/en/matches/b5b1e744/Liverpool-Leeds-United-October-29-2022-Premier-League
10,2022-08-06,Sat,Matchweek 15,Home,W 4–3,Leeds United,Bournemouth,Y,RB,90,5,3,2,1,2,4,5,80.0,1,2,0,2,0,5,3,0,/en/matches/63975c3e/Leeds-United-Bournemouth-November-5-2022-Premier-League
11,2022-08-06,Sat,Matchweek 16,Away,L 3–4,Leeds United,Tottenham,Y,RB,88,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,3,0,/en/matches/0030e686/Tottenham-Hotspur-Leeds-United-November-12-2022-Premier-League
12,2022-08-06,Wed,Matchweek 17,Home,L 1–3,Leeds United,Manchester City,Y,RB,64,2,1,1,1,0,2,2,100.0,0,4,3,1,0,2,3,0,/en/matches/a85ef749/Leeds-United-Manchester-City-December-28-2022-Premier-League
13,2022-08-06,Sat,Matchweek 18,Away,D 0–0,Leeds United,Newcastle Utd,N,RB,21,2,1,0,2,0,2,5,40.0,3,0,0,0,0,2,1,0,/en/matches/0facecde/Newcastle-United-Leeds-United-December-31-2022-Premier-League
14,2022-08-06,Wed,Matchweek 19,Home,D 2–2,Leeds United,West Ham,N,"On matchday squad, but did not play",/en/matches/068406dc/Leeds-United-West-Ham-United-January-4-2023-Premier-League,,,,,,,,,,,,,,,,,
15,2022-08-06,Fri,Matchweek 20,Away,L 1–2,Leeds United,Aston Villa,N,"On matchday squad, but did not play",/en/matches/ea58bf24/Aston-Villa-Leeds-United-January-13-2023-Premier-League,,,,,,,,,,,,,,,,,
16,2022-08-06,Sun,Matchweek 21,Home,D 0–0,Leeds United,Brentford,N,"On matchday squad, but did not play",/en/matches/f0e7d8a8/Leeds-United-Brentford-January-22-2023-Premier-League,,,,,,,,,,,,,,,,,
17,2022-08-06,Sun,Matchweek 22,Away,L 0–1,Leeds United,Nott'ham Forest,N,"On matchday squad, but did not play",/en/matches/7c47cb5e/Nottingham-Forest-Leeds-United-February-5-2023-Premier-League,,,,,,,,,,,,,,,,,
18,2022-08-06,Wed,Matchweek 8,Away,D 2–2,Leeds United,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/80532a54/Manchester-United-Leeds-United-February-8-2023-Premier-League,,,,,,,,,,,,,,,,,
19,2022-08-06,Sun,Matchweek 23,Home,L 0–2,Leeds United,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/3386146f/Leeds-United-Manchester-United-February-12-2023-Premier-League,,,,,,,,,,,,,,,,,
